Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.019283076923076924,0.00248,0.02568,0.0,0.07588,0.0,0.0,0.0,0.113,0.0,0.0,0.03364,0.0,0.0
NN-1,0.020812307692307692,0.00292,0.03344,0.0,0.07976,0.0,0.0,0.0,0.11876,0.0,0.0,0.03568,0.0,0.0
NN-2,0.019018461538461536,0.00224,0.0208,0.0,0.07608,0.0,0.0,0.0,0.11492,0.0,0.0,0.0332,0.0,0.0
NN-3,0.020381538461538465,0.003,0.0308,0.0,0.07844,0.0,0.0,0.0,0.11784,0.0,0.0,0.03488,0.0,0.0
NN-4,0.01902153846153846,0.002,0.02284,0.0,0.07592,0.0,0.0,0.0,0.11288,0.0,0.0,0.03364,0.0,0.0
NN-5,0.019735384615384616,0.00236,0.02924,0.0,0.07652,0.0,0.0,0.0,0.11464,0.0,0.0,0.0338,0.0,0.0
NN-6,0.019723076923076923,0.00252,0.02452,0.0,0.078,0.0,0.0,0.0,0.11612,0.0,0.0,0.03524,0.0,0.0
NN-7,0.020196923076923078,0.00216,0.02984,0.0,0.07844,0.0,0.0,0.0,0.11696,0.0,0.0,0.03516,0.0,0.0
NN-8,0.019824615384615385,0.0026,0.02828,0.0,0.07672,0.0,0.0,0.0,0.1154,0.0,0.0,0.03472,0.0,0.0
NN-9,0.019775384615384615,0.00296,0.02036,0.0,0.07924,0.0,0.0,0.0,0.1188,0.0,0.0,0.03572,0.0,0.0
NN-10,0.018996923076923078,0.0026,0.01884,0.0,0.0762,0.0,0.0,0.0,0.11456,0.0,0.0,0.03476,0.0,0.0
NN-11,0.019756923076923078,0.0028,0.02616,0.0,0.07696,0.0,0.0,0.0,0.11612,0.0,0.0,0.0348,0.0,0.0
NN-12,0.01888923076923077,0.00248,0.02616,0.0,0.0738,0.0,0.0,0.0,0.11136,0.0,0.0,0.03176,0.0,0.0
NN-13,0.018975384615384616,0.00248,0.02524,0.0,0.07532,0.0,0.0,0.0,0.11116,0.0,0.0,0.03248,0.0,0.0
NN-14,0.01882769230769231,0.00268,0.02092,0.0,0.0754,0.0,0.0,0.0,0.11304,0.0,0.0,0.03272,0.0,0.0
NN-15,0.018363076923076923,0.0026,0.02384,0.0,0.07192,0.0,0.0,0.0,0.1094,0.0,0.0,0.03096,0.0,0.0
NN-16,0.01823076923076923,0.00252,0.01904,0.0,0.07328,0.0,0.0,0.0,0.10984,0.0,0.0,0.03232,0.0,0.0
NN-17,0.018603076923076924,0.00236,0.02372,0.0,0.07384,0.0,0.0,0.0,0.10968,0.0,0.0,0.03224,0.0,0.0
NN-18,0.020120000000000002,0.00248,0.02692,0.0,0.07908,0.0,0.0,0.0,0.11784,0.0,0.0,0.03524,0.0,0.0
NN-19,0.019609230769230768,0.00264,0.0288,0.0,0.07536,0.0,0.0,0.0,0.11492,0.0,0.0,0.0332,0.0,0.0
Random Choice,0.09991076923076923,0.01916,0.61136,0.0,0.22604,0.0,0.0,0.0,0.3212,0.0,0.0,0.12108,0.0,0.0
Borda ranking,0.012507692307692306,0.0,0.12128,0.0,0.01576,0.0,0.0,0.0,0.0218,0.0,0.0,0.00376,0.0,0.0
Plurality ranking,0.03420307692307692,0.00072,0.44376,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.0,0.0,0.0,0.0
STV,0.03104923076923077,0.0004,0.4032,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.04387076923076923,0.0,0.29668,0.0,0.10016,0.0,0.0,0.0,0.12624,0.0,0.0,0.04724,0.0,0.0
Proportional Approval Voting (PAV),0.04476615384615385,0.0,0.30612,0.0,0.09988,0.0,0.0,0.0,0.12812,0.0,0.0,0.04784,0.0,0.0
Approval Chamberlin-Courant (CC),0.10089538461538462,0.01824,0.61388,0.0,0.22936,0.0,0.0,0.0,0.32552,0.0,0.0,0.12464,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.052473846153846156,0.0,0.37328,0.0,0.11088,0.0,0.0,0.0,0.14172,0.0,0.0,0.05628,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.08627384615384616,0.00216,0.58512,0.0,0.18088,0.0,0.0,0.0,0.26076,0.0,0.0,0.09264,0.0,0.0
Monroe's Approval Rule (Monroe),0.10089538461538462,0.01824,0.61388,0.0,0.22936,0.0,0.0,0.0,0.32552,0.0,0.0,0.12464,0.0,0.0
Greedy Monroe,0.06899076923076923,0.0004,0.48768,0.0,0.13844,0.0,0.0,0.0,0.20096,0.0,0.0,0.0694,0.0,0.0
Minimax Approval Voting (MAV),0.10089538461538462,0.01824,0.61388,0.0,0.22936,0.0,0.0,0.0,0.32552,0.0,0.0,0.12464,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.05040307692307692,0.0,0.35388,0.0,0.10956,0.0,0.0,0.0,0.13972,0.0,0.0,0.05208,0.0,0.0
E Pluribus Hugo (EPH),0.04387384615384615,0.0,0.29656,0.0,0.10068,0.0,0.0,0.0,0.12564,0.0,0.0,0.04748,0.0,0.0
Random Serial Dictator,0.08973538461538462,0.01004,0.5826,0.0,0.19196,0.0,0.0,0.0,0.27848,0.0,0.0,0.10348,0.0,0.0
