Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Min Violations Committee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Violations Committee,0.7029384615384615,0.99224,1.0,0.9994,0.9994,0.8166,0.44508,0.0,0.99988,0.00416,0.88644,0.995,1.0,0.0
Random Choice,0.3752984615384615,0.06688,0.93108,0.20344,0.58444,0.19068,0.41504,0.0,0.56464,0.0014,0.58996,0.53156,0.79976,0.0
Borda ranking,1.2307692307692308e-05,0.0,8e-05,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.007864615384615385,0.0,0.0464,0.0,0.0,0.0,0.01736,0.0,0.0,0.0,0.01484,0.0,0.02364,0.0
STV,2.4615384615384616e-05,0.0,0.0002,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0
Approval Voting (AV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),6.153846153846154e-06,0.0,4e-05,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.37566769230769226,0.06728,0.93496,0.20448,0.58444,0.1916,0.41432,0.0,0.56192,0.0012,0.59312,0.52928,0.80108,0.0
Lexicographic Chamberlin-Courant (lex-CC),1.2307692307692308e-05,0.0,8e-05,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.36089538461538456,0.00024,0.93512,0.15588,0.57632,0.15588,0.41692,0.0,0.55368,0.00112,0.57572,0.5188,0.80196,0.0
Monroe's Approval Rule (Monroe),0.24382769230769233,0.022,0.76624,0.04452,0.41496,0.03164,0.27716,0.0,0.38592,0.00076,0.24948,0.37056,0.60652,0.0
Greedy Monroe,0.0016615384615384617,0.0,0.01348,0.0,0.00052,0.0,0.00304,0.0,0.00076,0.0,0.00204,0.00016,0.0016,0.0
Minimax Approval Voting (MAV),0.1756646153846154,0.0,0.74988,0.0,0.0578,0.0,0.33312,0.0,0.02932,0.0,0.33432,0.02932,0.74988,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,1.2307692307692308e-05,0.0,8e-05,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.07629538461538461,0.0,0.49744,0.0,0.03508,0.0,0.19344,0.0,0.05696,0.0,0.19152,0.0174,0.0,0.0
