Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.019258461538461537,8e-05,0.0004,0.0,0.08324,0.0,0.0,0.0,0.0824,0.0,0.0,0.0824,0.00184,0.0
NN-1,0.019412307692307694,0.00016,0.00064,0.0,0.08372,0.0,0.0,0.0,0.08288,0.0,0.0,0.08288,0.00208,0.0
NN-2,0.019323076923076922,0.00036,0.00032,0.0,0.08348,0.0,0.0,0.0,0.08268,0.0,0.0,0.08268,0.00168,0.0
NN-3,0.019476923076923076,0.00044,0.00064,0.0,0.08416,0.0,0.0,0.0,0.08324,0.0,0.0,0.08324,0.00148,0.0
NN-4,0.01959076923076923,0.00036,0.00152,0.0,0.08424,0.0,0.0,0.0,0.08344,0.0,0.0,0.08344,0.00168,0.0
NN-5,0.019433846153846152,0.00028,0.0006,0.0,0.084,0.0,0.0,0.0,0.08308,0.0,0.0,0.08308,0.0016,0.0
NN-6,0.01944923076923077,0.0002,0.00072,0.0,0.08412,0.0,0.0,0.0,0.08316,0.0,0.0,0.08316,0.00148,0.0
NN-7,0.019470769230769232,0.00024,0.00088,0.0,0.08412,0.0,0.0,0.0,0.08312,0.0,0.0,0.08312,0.00164,0.0
NN-8,0.019184615384615387,0.00028,0.00044,0.0,0.083,0.0,0.0,0.0,0.0822,0.0,0.0,0.0822,0.00128,0.0
NN-9,0.01933846153846154,0.00048,0.00076,0.0,0.0834,0.0,0.0,0.0,0.08256,0.0,0.0,0.08256,0.00164,0.0
NN-10,0.01941230769230769,0.00016,0.0006,0.0,0.08396,0.0,0.0,0.0,0.08308,0.0,0.0,0.08308,0.00148,0.0
NN-11,0.019363076923076924,0.0002,0.00028,0.0,0.08388,0.0,0.0,0.0,0.08304,0.0,0.0,0.08304,0.00128,0.0
NN-12,0.019353846153846152,0.00016,0.00084,0.0,0.08364,0.0,0.0,0.0,0.08268,0.0,0.0,0.08268,0.0016,0.0
NN-13,0.019575384615384613,0.00048,0.00072,0.0,0.08448,0.0,0.0,0.0,0.08348,0.0,0.0,0.08348,0.00184,0.0
NN-14,0.019286153846153845,0.00024,0.00036,0.0,0.08352,0.0,0.0,0.0,0.08252,0.0,0.0,0.08252,0.00156,0.0
NN-15,0.019587692307692306,0.00052,0.00052,0.0,0.08452,0.0,0.0,0.0,0.0836,0.0,0.0,0.0836,0.00188,0.0
NN-16,0.019360000000000002,0.0004,0.00064,0.0,0.08364,0.0,0.0,0.0,0.08272,0.0,0.0,0.08272,0.00156,0.0
NN-17,0.01943076923076923,0.00032,0.00044,0.0,0.08412,0.0,0.0,0.0,0.08316,0.0,0.0,0.08316,0.0014,0.0
NN-18,0.01957846153846154,0.0004,0.00132,0.0,0.08428,0.0,0.0,0.0,0.0834,0.0,0.0,0.0834,0.00172,0.0
