Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.028021538461538462,0.0002,0.07768,0.0,0.05672,0.0,0.0,0.0,0.20564,0.0,0.0,0.02404,0.0,0.0
NN-1,0.026387692307692303,0.00016,0.06336,0.0,0.0552,0.0,0.0,0.0,0.20084,0.0,0.0,0.02348,0.0,0.0
NN-2,0.025135384615384615,8e-05,0.05752,0.0,0.053,0.0,0.0,0.0,0.19424,0.0,0.0,0.02192,0.0,0.0
NN-3,0.024523076923076922,8e-05,0.05188,0.0,0.05316,0.0,0.0,0.0,0.19156,0.0,0.0,0.02212,0.0,0.0
NN-4,0.026655384615384616,8e-05,0.06564,0.0,0.05616,0.0,0.0,0.0,0.20112,0.0,0.0,0.02352,0.0,0.0
NN-5,0.02724,0.00012,0.071,0.0,0.05652,0.0,0.0,0.0,0.20336,0.0,0.0,0.02312,0.0,0.0
NN-6,0.025793846153846153,0.00012,0.06388,0.0,0.05388,0.0,0.0,0.0,0.19512,0.0,0.0,0.02232,0.0,0.0
NN-7,0.023655384615384613,8e-05,0.05108,0.0,0.0504,0.0,0.0,0.0,0.18544,0.0,0.0,0.02052,0.0,0.0
NN-8,0.024024615384615384,0.00012,0.04792,0.0,0.05196,0.0,0.0,0.0,0.19104,0.0,0.0,0.02128,0.0,0.0
NN-9,0.028956923076923078,0.00016,0.0784,0.0,0.05948,0.0,0.0,0.0,0.21308,0.0,0.0,0.02532,0.0,0.0
NN-10,0.026433846153846155,0.00012,0.0652,0.0,0.05532,0.0,0.0,0.0,0.19968,0.0,0.0,0.02332,0.0,0.0
NN-11,0.027929230769230765,0.00012,0.07228,0.0,0.05792,0.0,0.0,0.0,0.20824,0.0,0.0,0.02452,0.0,0.0
NN-12,0.02562769230769231,4e-05,0.05928,0.0,0.05444,0.0,0.0,0.0,0.19676,0.0,0.0,0.02264,0.0,0.0
NN-13,0.027529230769230768,0.0002,0.07276,0.0,0.05668,0.0,0.0,0.0,0.20484,0.0,0.0,0.0234,0.0,0.0
NN-14,0.025972307692307687,0.00012,0.06176,0.0,0.05468,0.0,0.0,0.0,0.19824,0.0,0.0,0.02284,0.0,0.0
NN-15,0.030581538461538462,0.00032,0.0872,0.0,0.06216,0.0,0.0,0.0,0.22188,0.0,0.0,0.026,0.0,0.0
NN-16,0.028280000000000003,0.00016,0.07536,0.0,0.05808,0.0,0.0,0.0,0.20968,0.0,0.0,0.02436,0.0,0.0
NN-17,0.027086153846153847,0.00024,0.0668,0.0,0.05632,0.0,0.0,0.0,0.20532,0.0,0.0,0.02344,0.0,0.0
NN-18,0.02501230769230769,8e-05,0.0556,0.0,0.05376,0.0,0.0,0.0,0.19316,0.0,0.0,0.02256,0.0,0.0
NN-19,0.028347692307692303,0.00016,0.07608,0.0,0.05832,0.0,0.0,0.0,0.20976,0.0,0.0,0.0242,0.0,0.0
Random Choice,0.08777846153846153,0.00572,0.50656,0.0,0.13776,0.0,0.0,0.0,0.42764,0.0,0.0,0.06344,0.0,0.0
Borda ranking,0.011784615384615385,0.0,0.10556,0.0,0.00796,0.0,0.0,0.0,0.03796,0.0,0.0,0.00172,0.0,0.0
Plurality ranking,0.031584615384615385,8e-05,0.40708,0.0,0.0,0.0,0.0,0.0,0.00344,0.0,0.0,0.0,0.0,0.0
STV,0.028910769230769233,0.0,0.3754,0.0,0.0,0.0,0.0,0.0,0.00044,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.03662153846153846,0.0,0.25948,0.0,0.04768,0.0,0.0,0.0,0.15156,0.0,0.0,0.01736,0.0,0.0
Proportional Approval Voting (PAV),0.03752615384615385,0.0,0.27844,0.0,0.04908,0.0,0.0,0.0,0.1422,0.0,0.0,0.01812,0.0,0.0
Approval Chamberlin-Courant (CC),0.08801538461538462,0.00452,0.50824,0.0,0.13624,0.0,0.0,0.0,0.43124,0.0,0.0,0.06396,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.05411692307692307,0.0,0.41816,0.0,0.07236,0.0,0.0,0.0,0.18296,0.0,0.0,0.03004,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.07116615384615385,0.00016,0.48612,0.0,0.09572,0.0,0.0,0.0,0.30296,0.0,0.0,0.0402,0.0,0.0
Monroe's Approval Rule (Monroe),0.08801538461538462,0.00452,0.50824,0.0,0.13624,0.0,0.0,0.0,0.43124,0.0,0.0,0.06396,0.0,0.0
Greedy Monroe,0.057236923076923074,0.0,0.42144,0.0,0.07132,0.0,0.0,0.0,0.22296,0.0,0.0,0.02836,0.0,0.0
Minimax Approval Voting (MAV),0.0846,0.004,0.49968,0.0,0.12956,0.0,0.0,0.0,0.4062,0.0,0.0,0.06036,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.04108615384615385,0.0,0.31844,0.0,0.05236,0.0,0.0,0.0,0.1442,0.0,0.0,0.01912,0.0,0.0
E Pluribus Hugo (EPH),0.036489230769230774,0.0,0.26228,0.0,0.04724,0.0,0.0,0.0,0.14756,0.0,0.0,0.01728,0.0,0.0
Random Serial Dictator,0.08209846153846154,0.00192,0.49236,0.0,0.12148,0.0,0.0,0.0,0.39552,0.0,0.0,0.056,0.0,0.0
