Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.03296307692307693,0.0,0.00148,0.0,0.18192,0.0,0.0,0.0,0.12236,0.0,0.0,0.12236,0.0004,0.0
NN-1,0.03289846153846154,0.0,0.00116,0.0,0.18144,0.0,0.0,0.0,0.12236,0.0,0.0,0.12236,0.00036,0.0
NN-2,0.03305538461538461,0.0,0.00212,0.0,0.18152,0.0,0.0,0.0,0.12264,0.0,0.0,0.12264,0.0008,0.0
NN-3,0.03298461538461538,0.0,0.00196,0.0,0.18156,0.0,0.0,0.0,0.12244,0.0,0.0,0.12244,0.0004,0.0
NN-4,0.03305538461538461,0.0,0.0026,0.0,0.18108,0.0,0.0,0.0,0.12244,0.0,0.0,0.12244,0.00116,0.0
NN-5,0.03317230769230769,0.00016,0.0018,0.0,0.18172,0.0,0.0,0.0,0.123,0.0,0.0,0.123,0.00156,0.0
NN-6,0.032959999999999996,0.0,0.00328,0.0,0.1808,0.0,0.0,0.0,0.12188,0.0,0.0,0.12188,0.00064,0.0
NN-7,0.03303076923076923,0.0,0.0024,0.0,0.1814,0.0,0.0,0.0,0.12232,0.0,0.0,0.12232,0.00096,0.0
NN-8,0.032981538461538465,0.0,0.00276,0.0,0.18108,0.0,0.0,0.0,0.12228,0.0,0.0,0.12228,0.00036,0.0
NN-9,0.032732307692307686,0.0,0.00236,0.0,0.17988,0.0,0.0,0.0,0.12132,0.0,0.0,0.12132,0.00064,0.0
NN-10,0.033030769230769225,0.0,0.00364,0.0,0.1812,0.0,0.0,0.0,0.12204,0.0,0.0,0.12204,0.00048,0.0
NN-11,0.033030769230769225,0.00036,0.00148,0.0,0.18188,0.0,0.0,0.0,0.1222,0.0,0.0,0.1222,0.00128,0.0
NN-12,0.03272,0.0,0.00152,0.0,0.18056,0.0,0.0,0.0,0.12144,0.0,0.0,0.12144,0.0004,0.0
NN-13,0.03269538461538461,0.0,0.00204,0.0,0.17976,0.0,0.0,0.0,0.12116,0.0,0.0,0.12116,0.00092,0.0
NN-14,0.032679999999999994,0.0,0.00132,0.0,0.18056,0.0,0.0,0.0,0.12104,0.0,0.0,0.12104,0.00088,0.0
NN-15,0.03297846153846154,0.0,0.0026,0.0,0.18076,0.0,0.0,0.0,0.12236,0.0,0.0,0.12236,0.00064,0.0
NN-16,0.03282769230769231,0.0,0.00192,0.0,0.18092,0.0,0.0,0.0,0.1212,0.0,0.0,0.1212,0.00152,0.0
NN-17,0.03282461538461538,0.0,0.00128,0.0,0.18092,0.0,0.0,0.0,0.12184,0.0,0.0,0.12184,0.00084,0.0
NN-18,0.03310153846153847,0.0,0.00188,0.0,0.18172,0.0,0.0,0.0,0.12296,0.0,0.0,0.12296,0.0008,0.0
NN-19,0.03312307692307692,0.0,0.00352,0.0,0.18144,0.0,0.0,0.0,0.12232,0.0,0.0,0.12232,0.001,0.0
Random Choice,0.20769846153846153,0.12368,0.82132,0.0,0.42384,0.0,0.12588,0.0,0.33168,0.00072,0.12588,0.33168,0.4154,0.0
Borda ranking,0.03035384615384616,0.0,0.17488,0.0,0.0918,0.0,0.00952,0.0,0.05436,0.0,0.00952,0.05436,0.00016,0.0
Plurality ranking,0.09692307692307692,0.03556,0.66648,0.0,0.00976,0.0,0.10592,0.0,0.0,0.0,0.10592,0.0,0.33636,0.0
STV,0.06640923076923078,0.01164,0.53224,0.0,0.0,0.0,0.07484,0.0,0.0,0.0,0.07484,0.0,0.16976,0.0
Approval Voting (AV),0.07058461538461538,0.00052,0.21576,0.0,0.28388,0.0,0.0,0.0,0.20872,0.0,0.0,0.20872,0.0,0.0
Proportional Approval Voting (PAV),0.07058461538461538,0.00052,0.21576,0.0,0.28388,0.0,0.0,0.0,0.20872,0.0,0.0,0.20872,0.0,0.0
Approval Chamberlin-Courant (CC),0.2054430769230769,0.1194,0.82368,0.0,0.41512,0.0,0.12608,0.0,0.32128,0.00068,0.12608,0.32128,0.41716,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.07058461538461538,0.00052,0.21576,0.0,0.28388,0.0,0.0,0.0,0.20872,0.0,0.0,0.20872,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.21116615384615384,0.1284,0.83648,0.0,0.43224,0.0,0.12724,0.0,0.33712,0.0008,0.12724,0.33712,0.41852,0.0
Monroe's Approval Rule (Monroe),0.2054430769230769,0.1194,0.82368,0.0,0.41512,0.0,0.12608,0.0,0.32128,0.00068,0.12608,0.32128,0.41716,0.0
Greedy Monroe,0.10135692307692307,0.00244,0.43664,0.0,0.31928,0.0,0.03412,0.0,0.2454,0.00024,0.03412,0.2454,0.0,0.0
Minimax Approval Voting (MAV),0.2054430769230769,0.1194,0.82368,0.0,0.41512,0.0,0.12608,0.0,0.32128,0.00068,0.12608,0.32128,0.41716,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.06981230769230769,0.00108,0.21172,0.0,0.28188,0.0,0.0,0.0,0.20644,0.0,0.0,0.20644,0.0,0.0
E Pluribus Hugo (EPH),0.07058461538461538,0.00052,0.21576,0.0,0.28388,0.0,0.0,0.0,0.20872,0.0,0.0,0.20872,0.0,0.0
Random Serial Dictator,0.12408307692307693,0.00788,0.56168,0.0,0.35256,0.0,0.06948,0.0,0.27584,0.00032,0.06948,0.27584,0.0,0.0
