,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0003328,0.0,0.4,0.32136,0.064176,0.1804,0.08368,0.17896,0.17896,0.17896,0.17896,0.1804,0.17896,0.1804,0.312112,0.1804,0.17896,0.275312,0.216816,0.101632,0.152976,0.100864,0.030432,0.027008,0.112272,0.03912,0.03136,0.030704,0.028736,0.109744,0.032016,0.033104,0.018672,0.03512,0.03744,0.028768,0.031008,0.035104,0.031008,0.03512,0.036384,0.031264,0.036608,0.031024,0.019552,0.030688,0.03096,0.037008,0.037008,0.016816,0.016816,0.030448,0.031376,0.021392,0.027776,0.028704,0.0332,0.030688,0.02528,0.02792,0.01736,0.031136,0.084288,0.12656,0.057664,0.034672,0.020512
Max Violations Committee,0.3999824,0.4,0.0,0.320864,0.398704,0.38584,0.397984,0.387136,0.387136,0.387136,0.387136,0.38584,0.387136,0.38584,0.329408,0.38584,0.387136,0.350224,0.392928,0.397344,0.396048,0.396544,0.399696,0.399552,0.395968,0.399488,0.399824,0.399856,0.399904,0.366992,0.399808,0.399696,0.399808,0.39936,0.390528,0.399824,0.399776,0.39944,0.399728,0.39936,0.399104,0.399776,0.39848,0.399696,0.3996,0.399872,0.399856,0.39544,0.39544,0.399952,0.399952,0.399856,0.39936,0.399744,0.399392,0.39944,0.399584,0.399872,0.398672,0.399904,0.399936,0.399824,0.39808,0.394336,0.398896,0.399392,0.399776
Random Choice,0.3213856,0.32136,0.320864,0.0,0.320848,0.320928,0.32136,0.320912,0.320912,0.320912,0.320912,0.320928,0.320912,0.320928,0.318464,0.320928,0.320912,0.320304,0.320768,0.320192,0.320848,0.321072,0.320992,0.320384,0.321152,0.320816,0.321056,0.32104,0.320848,0.320576,0.321008,0.32056,0.321216,0.32072,0.320784,0.320768,0.320896,0.32088,0.320912,0.32072,0.320672,0.320864,0.320512,0.320944,0.321472,0.320992,0.320992,0.320656,0.320656,0.320864,0.320864,0.321024,0.32104,0.321184,0.32056,0.320496,0.320688,0.320992,0.320608,0.3208,0.321232,0.320944,0.319952,0.321024,0.321024,0.32088,0.3204
Borda ranking,0.0640944,0.064176,0.398704,0.320848,0.0,0.215312,0.125888,0.215088,0.215088,0.215088,0.215088,0.215312,0.215088,0.215312,0.32112,0.215312,0.215088,0.283936,0.176976,0.092576,0.110528,0.129296,0.063968,0.066768,0.146064,0.064368,0.063264,0.062768,0.062096,0.130736,0.063648,0.064992,0.046336,0.063584,0.073184,0.061744,0.062544,0.064416,0.062624,0.063584,0.064432,0.062688,0.065408,0.06264,0.064288,0.06232,0.062464,0.071152,0.071152,0.05568,0.05568,0.062672,0.066144,0.042784,0.067088,0.067056,0.065024,0.06232,0.074576,0.061488,0.049136,0.060832,0.080448,0.124528,0.056832,0.08528,0.069408
Plurality ranking,0.18042879999999997,0.1804,0.38584,0.320928,0.215312,0.0,0.140784,0.027408,0.027408,0.027408,0.027408,0.0,0.027408,0.0,0.32704,0.0,0.027408,0.255488,0.307024,0.226656,0.28352,0.135056,0.176368,0.173648,0.116832,0.187872,0.178448,0.178624,0.178864,0.206352,0.17856,0.177456,0.18584,0.179456,0.186384,0.179408,0.178912,0.179168,0.17888,0.179456,0.179536,0.178704,0.18024,0.17896,0.179776,0.178704,0.178624,0.184288,0.184288,0.183792,0.183792,0.178768,0.171632,0.186992,0.17256,0.173168,0.17728,0.178704,0.1552,0.179232,0.184752,0.179232,0.222624,0.215968,0.194976,0.159248,0.1688
STV,0.08369679999999999,0.08368,0.397984,0.32136,0.125888,0.140784,0.0,0.13832,0.13832,0.13832,0.13832,0.140784,0.13832,0.140784,0.312224,0.140784,0.13832,0.264912,0.25016,0.150112,0.206464,0.034576,0.094048,0.08792,0.075872,0.105328,0.0968,0.09632,0.09544,0.154848,0.097232,0.094768,0.092544,0.097952,0.10368,0.095648,0.096512,0.09936,0.096592,0.097952,0.099136,0.09656,0.099744,0.096608,0.091744,0.09608,0.096208,0.102688,0.102688,0.092032,0.092032,0.09624,0.09328,0.093456,0.08656,0.087824,0.094512,0.09608,0.087536,0.095456,0.09192,0.096704,0.140896,0.162528,0.114512,0.073248,0.083872
Approval Voting (AV),0.17900399999999997,0.17896,0.387136,0.320912,0.215088,0.027408,0.13832,0.0,0.0,0.0,0.0,0.027408,0.0,0.027408,0.31552,0.027408,0.0,0.255008,0.310816,0.227232,0.283616,0.135968,0.17688,0.174192,0.119648,0.18792,0.179104,0.179248,0.179296,0.210928,0.179312,0.178208,0.185392,0.180384,0.187056,0.179952,0.179616,0.180112,0.179584,0.180384,0.180496,0.179376,0.181184,0.179648,0.17968,0.179376,0.179296,0.185184,0.185184,0.183472,0.183472,0.179424,0.172176,0.186384,0.173072,0.173824,0.178,0.179376,0.157568,0.179632,0.184304,0.179888,0.223008,0.221056,0.194992,0.15888,0.169216
Proportional Approval Voting (PAV),0.17900399999999997,0.17896,0.387136,0.320912,0.215088,0.027408,0.13832,0.0,0.0,0.0,0.0,0.027408,0.0,0.027408,0.31552,0.027408,0.0,0.255008,0.310816,0.227232,0.283616,0.135968,0.17688,0.174192,0.119648,0.18792,0.179104,0.179248,0.179296,0.210928,0.179312,0.178208,0.185392,0.180384,0.187056,0.179952,0.179616,0.180112,0.179584,0.180384,0.180496,0.179376,0.181184,0.179648,0.17968,0.179376,0.179296,0.185184,0.185184,0.183472,0.183472,0.179424,0.172176,0.186384,0.173072,0.173824,0.178,0.179376,0.157568,0.179632,0.184304,0.179888,0.223008,0.221056,0.194992,0.15888,0.169216
Approval Chamberlin-Courant (CC),0.17900399999999997,0.17896,0.387136,0.320912,0.215088,0.027408,0.13832,0.0,0.0,0.0,0.0,0.027408,0.0,0.027408,0.31552,0.027408,0.0,0.255008,0.310816,0.227232,0.283616,0.135968,0.17688,0.174192,0.119648,0.18792,0.179104,0.179248,0.179296,0.210928,0.179312,0.178208,0.185392,0.180384,0.187056,0.179952,0.179616,0.180112,0.179584,0.180384,0.180496,0.179376,0.181184,0.179648,0.17968,0.179376,0.179296,0.185184,0.185184,0.183472,0.183472,0.179424,0.172176,0.186384,0.173072,0.173824,0.178,0.179376,0.157568,0.179632,0.184304,0.179888,0.223008,0.221056,0.194992,0.15888,0.169216
Lexicographic Chamberlin-Courant (lex-CC),0.17900399999999997,0.17896,0.387136,0.320912,0.215088,0.027408,0.13832,0.0,0.0,0.0,0.0,0.027408,0.0,0.027408,0.31552,0.027408,0.0,0.255008,0.310816,0.227232,0.283616,0.135968,0.17688,0.174192,0.119648,0.18792,0.179104,0.179248,0.179296,0.210928,0.179312,0.178208,0.185392,0.180384,0.187056,0.179952,0.179616,0.180112,0.179584,0.180384,0.180496,0.179376,0.181184,0.179648,0.17968,0.179376,0.179296,0.185184,0.185184,0.183472,0.183472,0.179424,0.172176,0.186384,0.173072,0.173824,0.178,0.179376,0.157568,0.179632,0.184304,0.179888,0.223008,0.221056,0.194992,0.15888,0.169216
