,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Random Choice,0.31806799999999996,0.0,0.318688,0.319584,0.31952,0.319008,0.319008,0.319008,0.319008,0.319584,0.319008,0.319584,0.319824,0.319584,0.319008,0.317824,0.319088,0.31928,0.319072,0.319328,0.31816,0.318496,0.318992,0.318432,0.31824,0.318224,0.318224,0.318704,0.31816,0.318688,0.318128,0.318112,0.318096,0.318672,0.31848,0.31864,0.318336,0.318096,0.318192,0.318336,0.318432,0.318352,0.318288,0.318368,0.318352,0.318384,0.318384,0.318448,0.318448,0.318288,0.318592,0.318304,0.318656,0.318656,0.318672,0.318368,0.318592,0.318448,0.318384,0.31832,0.31944,0.319504,0.318352,0.3188,0.318256
Borda ranking,0.054872000000000004,0.318688,0.0,0.160752,0.106816,0.164048,0.164048,0.164048,0.164048,0.160752,0.164048,0.160752,0.299856,0.160752,0.164048,0.248032,0.20064,0.11624,0.118816,0.106688,0.052144,0.055488,0.110768,0.053584,0.051184,0.05024,0.048704,0.122752,0.052528,0.053616,0.03328,0.053248,0.066112,0.046976,0.049472,0.054672,0.050368,0.05328,0.054896,0.050464,0.057856,0.050928,0.054896,0.048272,0.048768,0.06144,0.06144,0.041552,0.041552,0.050992,0.054256,0.026672,0.055888,0.055664,0.053744,0.048256,0.059072,0.0464,0.034448,0.045648,0.079296,0.131616,0.0392,0.066816,0.052864
Plurality ranking,0.14580080000000006,0.319584,0.160752,0.0,0.115936,0.03016,0.03016,0.03016,0.03016,0.0,0.03016,0.0,0.304272,0.0,0.03016,0.229504,0.281712,0.199376,0.24704,0.106976,0.13552,0.13432,0.0944,0.150352,0.139888,0.139696,0.139792,0.17744,0.1404,0.137808,0.143744,0.142128,0.150864,0.140608,0.140352,0.142384,0.14064,0.142144,0.142704,0.14032,0.144368,0.141152,0.143312,0.139568,0.139328,0.146352,0.146352,0.142304,0.142304,0.140288,0.12592,0.144432,0.133424,0.134768,0.137504,0.139568,0.112032,0.139904,0.142944,0.1396,0.172768,0.179712,0.150816,0.125808,0.13184
STV,0.07574799999999998,0.31952,0.106816,0.115936,0.0,0.111584,0.111584,0.111584,0.111584,0.115936,0.111584,0.115936,0.289904,0.115936,0.111584,0.236976,0.250096,0.152976,0.198112,0.034928,0.083792,0.076144,0.069216,0.098384,0.086928,0.087072,0.08632,0.150928,0.087728,0.081648,0.084208,0.0924,0.099184,0.086752,0.088272,0.093856,0.088608,0.092416,0.094208,0.088048,0.095952,0.089104,0.085008,0.08744,0.087632,0.09752,0.09752,0.083408,0.083408,0.085952,0.085536,0.086784,0.074944,0.076704,0.08096,0.08744,0.081136,0.086016,0.083856,0.087632,0.1212,0.15368,0.101872,0.0672,0.075664
Approval Voting (AV),0.14221999999999999,0.319008,0.164048,0.03016,0.111584,0.0,0.0,0.0,0.0,0.03016,0.0,0.03016,0.29128,0.03016,0.0,0.229424,0.289024,0.203472,0.250688,0.111616,0.139744,0.138864,0.101952,0.1544,0.144384,0.144032,0.144,0.186336,0.145072,0.142432,0.146944,0.147904,0.155184,0.145072,0.145344,0.148208,0.145728,0.14792,0.148736,0.14512,0.150464,0.146128,0.145024,0.14416,0.14408,0.152576,0.152576,0.145664,0.145664,0.144624,0.132224,0.147696,0.138032,0.139808,0.142096,0.14416,0.120912,0.14392,0.146272,0.144288,0.17656,0.18952,0.153472,0.126704,0.135936
Proportional Approval Voting (PAV),0.14221999999999999,0.319008,0.164048,0.03016,0.111584,0.0,0.0,0.0,0.0,0.03016,0.0,0.03016,0.29128,0.03016,0.0,0.229424,0.289024,0.203472,0.250688,0.111616,0.139744,0.138864,0.101952,0.1544,0.144384,0.144032,0.144,0.186336,0.145072,0.142432,0.146944,0.147904,0.155184,0.145072,0.145344,0.148208,0.145728,0.14792,0.148736,0.14512,0.150464,0.146128,0.145024,0.14416,0.14408,0.152576,0.152576,0.145664,0.145664,0.144624,0.132224,0.147696,0.138032,0.139808,0.142096,0.14416,0.120912,0.14392,0.146272,0.144288,0.17656,0.18952,0.153472,0.126704,0.135936
Approval Chamberlin-Courant (CC),0.14221999999999999,0.319008,0.164048,0.03016,0.111584,0.0,0.0,0.0,0.0,0.03016,0.0,0.03016,0.29128,0.03016,0.0,0.229424,0.289024,0.203472,0.250688,0.111616,0.139744,0.138864,0.101952,0.1544,0.144384,0.144032,0.144,0.186336,0.145072,0.142432,0.146944,0.147904,0.155184,0.145072,0.145344,0.148208,0.145728,0.14792,0.148736,0.14512,0.150464,0.146128,0.145024,0.14416,0.14408,0.152576,0.152576,0.145664,0.145664,0.144624,0.132224,0.147696,0.138032,0.139808,0.142096,0.14416,0.120912,0.14392,0.146272,0.144288,0.17656,0.18952,0.153472,0.126704,0.135936
Lexicographic Chamberlin-Courant (lex-CC),0.14221999999999999,0.319008,0.164048,0.03016,0.111584,0.0,0.0,0.0,0.0,0.03016,0.0,0.03016,0.29128,0.03016,0.0,0.229424,0.289024,0.203472,0.250688,0.111616,0.139744,0.138864,0.101952,0.1544,0.144384,0.144032,0.144,0.186336,0.145072,0.142432,0.146944,0.147904,0.155184,0.145072,0.145344,0.148208,0.145728,0.14792,0.148736,0.14512,0.150464,0.146128,0.145024,0.14416,0.14408,0.152576,0.152576,0.145664,0.145664,0.144624,0.132224,0.147696,0.138032,0.139808,0.142096,0.14416,0.120912,0.14392,0.146272,0.144288,0.17656,0.18952,0.153472,0.126704,0.135936
Sequential Approval Chamberlin-Courant (seq-CC),0.14580080000000006,0.319584,0.160752,0.0,0.115936,0.03016,0.03016,0.03016,0.03016,0.0,0.03016,0.0,0.304272,0.0,0.03016,0.229504,0.281712,0.199376,0.24704,0.106976,0.13552,0.13432,0.0944,0.150352,0.139888,0.139696,0.139792,0.17744,0.1404,0.137808,0.143744,0.142128,0.150864,0.140608,0.140352,0.142384,0.14064,0.142144,0.142704,0.14032,0.144368,0.141152,0.143312,0.139568,0.139328,0.146352,0.146352,0.142304,0.142304,0.140288,0.12592,0.144432,0.133424,0.134768,0.137504,0.139568,0.112032,0.139904,0.142944,0.1396,0.172768,0.179712,0.150816,0.125808,0.13184
Monroe's Approval Rule (Monroe),0.14221999999999999,0.319008,0.164048,0.03016,0.111584,0.0,0.0,0.0,0.0,0.03016,0.0,0.03016,0.29128,0.03016,0.0,0.229424,0.289024,0.203472,0.250688,0.111616,0.139744,0.138864,0.101952,0.1544,0.144384,0.144032,0.144,0.186336,0.145072,0.142432,0.146944,0.147904,0.155184,0.145072,0.145344,0.148208,0.145728,0.14792,0.148736,0.14512,0.150464,0.146128,0.145024,0.14416,0.14408,0.152576,0.152576,0.145664,0.145664,0.144624,0.132224,0.147696,0.138032,0.139808,0.142096,0.14416,0.120912,0.14392,0.146272,0.144288,0.17656,0.18952,0.153472,0.126704,0.135936
