,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.00024399024039038444,0.0,0.6884364625414984,0.4794688212471501,0.18477660893564257,0.31640334386624536,0.2546618135274589,0.23707851685932563,0.25926962921483143,0.2958441662333507,0.29330026798928044,0.31238750449982,0.2956681732730691,0.3106595736170553,0.3502739890404384,0.27923683052677895,0.2424383024679013,0.44719811207551696
Max Violations Committee,0.6884508619655214,0.6884364625414984,0.0,0.48105275788968443,0.6093196272149114,0.5534338626454942,0.5992880284788609,0.6181192752289908,0.6041358345666173,0.5949522019119236,0.5839926402943882,0.555753769849206,0.5951921923123075,0.557033718651254,0.6805647774089036,0.5816247350105995,0.6118315267389305,0.5017239310427583
Random Choice,0.4794416223351065,0.4794688212471501,0.48105275788968443,0.0,0.48169273229070836,0.4781728730850766,0.47748490060397586,0.47887684492620297,0.481388744450222,0.48186872525098995,0.48186872525098995,0.4811007559697612,0.48180472781088757,0.4811327546898124,0.47580496780128795,0.48066877324907004,0.4790688372465101,0.48031678732850686
Borda ranking,0.18472941082356706,0.18477660893564257,0.6093196272149114,0.48169273229070836,0.0,0.2520379184832607,0.20571977120915164,0.17783288668453262,0.19772009119635214,0.25016599336026557,0.23546258149674013,0.2407903683852646,0.2500859965601376,0.23933442662293508,0.48804447822087116,0.20906363745450182,0.17996080156793728,0.43588656453741853
Plurality ranking,0.316479340826367,0.31640334386624536,0.5534338626454942,0.4781728730850766,0.2520379184832607,0.0,0.17591296348146074,0.2982280708771649,0.30277188912443503,0.33405063797448104,0.32427502899884003,0.3225950961961522,0.33406663733450664,0.3215871365145394,0.5122515099396024,0.3060357585696572,0.29587616495340185,0.44820607175712973
STV,0.25468661253549857,0.2546618135274589,0.5992880284788609,0.47748490060397586,0.20571977120915164,0.17591296348146074,0.0,0.23706251749930002,0.23722251109955603,0.26653333866645335,0.25872565097396105,0.2686932522699092,0.26651733930642774,0.26816527338906443,0.4682052717891284,0.24477420903163874,0.23383064677412904,0.44491020359185635
Approval Voting (AV),0.2369801207951682,0.23707851685932563,0.6181192752289908,0.47887684492620297,0.17783288668453262,0.2982280708771649,0.23706251749930002,0.0,0.10333986640534379,0.19885604575816967,0.16986520539178432,0.19503219871205152,0.1985520579176833,0.19327226910923562,0.4514219431222751,0.1390664373425063,0.018639254429822807,0.43294268229270827
Proportional Approval Voting (PAV),0.25918883244670216,0.25926962921483143,0.6041358345666173,0.481388744450222,0.19772009119635214,0.30277188912443503,0.23722251109955603,0.10333986640534379,0.0,0.10991560337586496,0.07362905483780649,0.12249110035598576,0.10961161553537858,0.12298708051677933,0.46311747530098796,0.0594376224951002,0.09585216591336347,0.43476660933562655
Approval Chamberlin-Courant (CC),0.2958073677052917,0.2958441662333507,0.5949522019119236,0.48186872525098995,0.25016599336026557,0.33405063797448104,0.26653333866645335,0.19885604575816967,0.10991560337586496,0.0,0.04459021639134435,0.12383504659813607,0.0004959801607935683,0.1266349346026159,0.45218991240350387,0.11372345106195753,0.19301627934882604,0.4372465101395944
Lexicographic Chamberlin-Courant (lex-CC),0.29325786968521256,0.29330026798928044,0.5839926402943882,0.48186872525098995,0.23546258149674013,0.32427502899884003,0.25872565097396105,0.16986520539178432,0.07362905483780649,0.04459021639134435,0.0,0.08620455181792729,0.044446222151113955,0.09300427982880685,0.47735690572377104,0.07505299788008479,0.162617495300188,0.4347346106155754
Sequential Approval Chamberlin-Courant (seq-CC),0.31236830526778925,0.31238750449982,0.555753769849206,0.4811007559697612,0.2407903683852646,0.3225950961961522,0.2686932522699092,0.19503219871205152,0.12249110035598576,0.12383504659813607,0.08620455181792729,0.0,0.12381904723811048,0.01547138114475421,0.5103795848166074,0.06580536778528859,0.1876084956601736,0.4358065677372905
Monroe's Approval Rule (Monroe),0.2956313747450102,0.2956681732730691,0.5951921923123075,0.48180472781088757,0.2500859965601376,0.33406663733450664,0.26651733930642774,0.1985520579176833,0.10961161553537858,0.0004959801607935683,0.044446222151113955,0.12381904723811048,0.0,0.1266829326826927,0.45233390664373424,0.11341946322147115,0.19271229150833966,0.43708651653933844
