,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.4799320000000001,0.0,0.48016,0.479872,0.478896,0.479296,0.477088,0.477056,0.477056,0.47704,0.477184,0.477248,0.477056,0.477424,0.479584,0.47568
Borda ranking,0.04250160000000001,0.48016,0.0,0.404912,0.325136,0.296656,0.397344,0.399984,0.399984,0.396048,0.398304,0.393616,0.399984,0.390208,0.29776,0.423712
Plurality ranking,0.42193440000000004,0.479872,0.404912,0.0,0.243472,0.40224,0.474016,0.47608,0.47608,0.474352,0.474832,0.47256,0.47608,0.4704,0.411456,0.451168
STV,0.33626480000000003,0.478896,0.325136,0.243472,0.0,0.308224,0.331856,0.334256,0.334256,0.339408,0.332816,0.335888,0.334256,0.333696,0.307232,0.427488
Approval Voting (AV),0.29048880000000005,0.479296,0.296656,0.40224,0.308224,0.0,0.13928,0.141984,0.141984,0.139616,0.140432,0.137072,0.141984,0.13296,0.015968,0.390896
Proportional Approval Voting (PAV),0.3972568000000002,0.477088,0.397344,0.474016,0.331856,0.13928,0.0,0.002768,0.002768,0.01776,0.007472,0.01392,0.002768,0.01296,0.1256,0.399696
Approval Chamberlin-Courant (CC),0.3999928000000001,0.477056,0.399984,0.47608,0.334256,0.141984,0.002768,0.0,0.0,0.015712,0.00728,0.012144,0.0,0.013328,0.12832,0.4
Lexicographic Chamberlin-Courant (lex-CC),0.3999928000000001,0.477056,0.399984,0.47608,0.334256,0.141984,0.002768,0.0,0.0,0.015712,0.00728,0.012144,0.0,0.013328,0.12832,0.4
Sequential Approval Chamberlin-Courant (seq-CC),0.3969207999999999,0.47704,0.396048,0.474352,0.339408,0.139616,0.01776,0.015712,0.015712,0.0,0.022992,0.0044,0.015712,0.0076,0.124976,0.400512
Monroe's Approval Rule (Monroe),0.3978968,0.477184,0.398304,0.474832,0.332816,0.140432,0.007472,0.00728,0.00728,0.022992,0.0,0.019264,0.00728,0.016992,0.127216,0.400144
Greedy Monroe,0.3943767999999999,0.477248,0.393616,0.47256,0.335888,0.137072,0.01392,0.012144,0.012144,0.0044,0.019264,0.0,0.012144,0.00496,0.122048,0.399536
Minimax Approval Voting (MAV),0.3999928000000001,0.477056,0.399984,0.47608,0.334256,0.141984,0.002768,0.0,0.0,0.015712,0.00728,0.012144,0.0,0.013328,0.12832,0.4
Method of Equal Shares (aka Rule X) with Phragmén phase,0.3908088000000002,0.477424,0.390208,0.4704,0.333696,0.13296,0.01296,0.013328,0.013328,0.0076,0.016992,0.00496,0.013328,0.0,0.117712,0.399168
E Pluribus Hugo (EPH),0.2951927999999999,0.479584,0.29776,0.411456,0.307232,0.015968,0.1256,0.12832,0.12832,0.124976,0.127216,0.122048,0.12832,0.117712,0.0,0.392464
Random Serial Dictator,0.41824559999999994,0.47568,0.423712,0.451168,0.427488,0.390896,0.399696,0.4,0.4,0.400512,0.400144,0.399536,0.4,0.399168,0.392464,0.0
NN,,0.4799320000000001,0.04250160000000001,0.42193440000000004,0.33626480000000003,0.29048880000000005,0.3972568000000002,0.3999928000000001,0.3999928000000001,0.3969207999999999,0.3978968,0.3943767999999999,0.3999928000000001,0.3908088000000002,0.2951927999999999,0.41824559999999994
