,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
Max Violations Committee,0.8000000000000002,0.8,0.0,0.480816,0.8,0.8,0.8,0.8,0.8,0.618496,0.8,0.530704,0.8,0.8,0.8,0.8,0.8,0.8
Random Choice,0.4810559999999998,0.481056,0.480816,0.0,0.481056,0.481056,0.481056,0.481056,0.481056,0.478864,0.481056,0.479168,0.481056,0.481056,0.481056,0.481056,0.481056,0.481056
Borda ranking,0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
STV,0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.35985599999999984,0.359856,0.618496,0.478864,0.359856,0.359856,0.359856,0.359856,0.359856,0.0,0.359856,0.71896,0.359856,0.359856,0.359856,0.359856,0.359856,0.359856
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.35910400000000003,0.359104,0.530704,0.479168,0.359104,0.359104,0.359104,0.359104,0.359104,0.71896,0.359104,0.0,0.359104,0.359104,0.359104,0.359104,0.359104,0.359104
Monroe's Approval Rule (Monroe),0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.0,0.0,0.8,0.481056,0.0,0.0,0.0,0.0,0.0,0.359856,0.0,0.359104,0.0,0.0,0.0,0.0,0.0,0.0
NN,,0.0,0.8000000000000002,0.4810559999999998,0.0,0.0,0.0,0.0,0.0,0.35985599999999984,0.0,0.35910400000000003,0.0,0.0,0.0,0.0,0.0,0.0
