,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.31939839999999997,0.0,0.319936,0.32016,0.319744,0.319024,0.319024,0.319536,0.319024,0.320448,0.319344,0.320176,0.319536,0.319024,0.319024,0.319872
Borda ranking,0.06468320000000001,0.319936,0.0,0.197024,0.130176,0.096336,0.096336,0.321952,0.096336,0.310208,0.3196,0.148864,0.321952,0.095408,0.096336,0.214896
Plurality ranking,0.23103279999999998,0.32016,0.197024,0.0,0.121024,0.251088,0.251088,0.330176,0.251088,0.308512,0.3288,0.262672,0.330176,0.24992,0.251088,0.285376
STV,0.1702608,0.319744,0.130176,0.121024,0.0,0.200768,0.200768,0.31944,0.200768,0.315264,0.317088,0.220656,0.31944,0.200288,0.200768,0.254736
Approval Voting (AV),0.06856799999999999,0.319024,0.096336,0.251088,0.200768,0.0,0.0,0.316336,0.0,0.316624,0.313984,0.125008,0.316336,0.01768,0.0,0.205376
Proportional Approval Voting (PAV),0.06856799999999999,0.319024,0.096336,0.251088,0.200768,0.0,0.0,0.316336,0.0,0.316624,0.313984,0.125008,0.316336,0.01768,0.0,0.205376
Approval Chamberlin-Courant (CC),0.3134744,0.319536,0.321952,0.330176,0.31944,0.316336,0.316336,0.0,0.316336,0.4,0.002352,0.331424,0.0,0.323296,0.316336,0.319264
Lexicographic Chamberlin-Courant (lex-CC),0.06856799999999999,0.319024,0.096336,0.251088,0.200768,0.0,0.0,0.316336,0.0,0.316624,0.313984,0.125008,0.316336,0.01768,0.0,0.205376
Sequential Approval Chamberlin-Courant (seq-CC),0.3202744,0.320448,0.310208,0.308512,0.315264,0.316624,0.316624,0.4,0.316624,0.0,0.39944,0.29824,0.4,0.309088,0.316624,0.311216
Monroe's Approval Rule (Monroe),0.3111224,0.319344,0.3196,0.3288,0.317088,0.313984,0.313984,0.002352,0.313984,0.39944,0.0,0.329104,0.002352,0.320944,0.313984,0.317568
Greedy Monroe,0.140636,0.320176,0.148864,0.262672,0.220656,0.125008,0.125008,0.331424,0.125008,0.29824,0.329104,0.0,0.331424,0.121952,0.125008,0.218608
Minimax Approval Voting (MAV),0.3134744,0.319536,0.321952,0.330176,0.31944,0.316336,0.316336,0.0,0.316336,0.4,0.002352,0.331424,0.0,0.323296,0.316336,0.319264
Method of Equal Shares (aka Rule X) with Phragmén phase,0.07205439999999999,0.319024,0.095408,0.24992,0.200288,0.01768,0.01768,0.323296,0.01768,0.309088,0.320944,0.121952,0.323296,0.0,0.01768,0.205408
E Pluribus Hugo (EPH),0.06856799999999999,0.319024,0.096336,0.251088,0.200768,0.0,0.0,0.316336,0.0,0.316624,0.313984,0.125008,0.316336,0.01768,0.0,0.205376
Random Serial Dictator,0.21156400000000003,0.319872,0.214896,0.285376,0.254736,0.205376,0.205376,0.319264,0.205376,0.311216,0.317568,0.218608,0.319264,0.205408,0.205376,0.0
NN,,0.31939839999999997,0.06468320000000001,0.23103279999999998,0.1702608,0.06856799999999999,0.06856799999999999,0.3134744,0.06856799999999999,0.3202744,0.3111224,0.140636,0.3134744,0.07205439999999999,0.06856799999999999,0.21156400000000003
