,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0039120000000000005,0.0,0.6467733333333333,0.4447333333333333,0.04022666666666667,0.08386666666666667,0.05344,0.05368,0.058706666666666664,0.14969333333333334,0.09081333333333333,0.14556,0.07768,0.08018666666666667,0.33041333333333334,0.062053333333333335,0.054066666666666666,0.23324
Max Violations Committee,0.6467366666666667,0.6467733333333333,0.0,0.44592,0.64128,0.6339066666666666,0.64176,0.64296,0.64128,0.6291866666666667,0.6386,0.6213333333333333,0.6409733333333333,0.6357733333333333,0.5344533333333333,0.6392,0.64224,0.58804
Random Choice,0.44482333333333335,0.4447333333333333,0.44592,0.0,0.44434666666666667,0.44508,0.44493333333333335,0.44528,0.44476,0.44569333333333333,0.44548,0.44481333333333334,0.44608,0.44476,0.4455733333333333,0.4448,0.44505333333333336,0.44468
Borda ranking,0.040584,0.04022666666666667,0.64128,0.44434666666666667,0.0,0.07170666666666667,0.04552,0.04152,0.04513333333333333,0.13901333333333332,0.07722666666666667,0.13045333333333334,0.06722666666666667,0.06516,0.35504,0.04714666666666667,0.04174666666666667,0.23088
Plurality ranking,0.08399266666666665,0.08386666666666667,0.6339066666666666,0.44508,0.07170666666666667,0.0,0.05770666666666667,0.07805333333333334,0.07950666666666667,0.15862666666666667,0.10205333333333333,0.14493333333333333,0.09274666666666667,0.09030666666666666,0.36421333333333333,0.07946666666666667,0.07814666666666667,0.23890666666666666
STV,0.05352733333333333,0.05344,0.64176,0.44493333333333335,0.04552,0.05770666666666667,0.0,0.05216,0.05152,0.13778666666666667,0.07788,0.13129333333333335,0.06637333333333334,0.06686666666666667,0.3514,0.052373333333333334,0.052226666666666664,0.23158666666666666
Approval Voting (AV),0.05401533333333333,0.05368,0.64296,0.44528,0.04152,0.07805333333333334,0.05216,0.0,0.022306666666666666,0.12749333333333332,0.06272,0.12090666666666666,0.054626666666666664,0.05516,0.34902666666666665,0.029666666666666668,0.00264,0.22944
Proportional Approval Voting (PAV),0.05891399999999999,0.058706666666666664,0.64128,0.44476,0.04513333333333333,0.07950666666666667,0.05152,0.022306666666666666,0.0,0.10777333333333333,0.04154666666666667,0.1028,0.035493333333333335,0.03884,0.3508266666666667,0.012373333333333333,0.02136,0.22945333333333334
Approval Chamberlin-Courant (CC),0.149698,0.14969333333333334,0.6291866666666667,0.44569333333333333,0.13901333333333332,0.15862666666666667,0.13778666666666667,0.12749333333333332,0.10777333333333333,0.0,0.06837333333333333,0.12297333333333334,0.07352,0.10716,0.2959466666666667,0.10797333333333334,0.12664,0.27729333333333334
Lexicographic Chamberlin-Courant (lex-CC),0.09096866666666664,0.09081333333333333,0.6386,0.44548,0.07722666666666667,0.10205333333333333,0.07788,0.06272,0.04154666666666667,0.06837333333333333,0.0,0.07112,0.030933333333333334,0.04352,0.34682666666666667,0.04157333333333333,0.06166666666666667,0.23717333333333335
Sequential Approval Chamberlin-Courant (seq-CC),0.14586399999999997,0.14556,0.6213333333333333,0.44481333333333334,0.13045333333333334,0.14493333333333333,0.13129333333333335,0.12090666666666666,0.1028,0.12297333333333334,0.07112,0.0,0.09932,0.07790666666666667,0.38765333333333335,0.09281333333333333,0.11969333333333333,0.27401333333333333
Monroe's Approval Rule (Monroe),0.077688,0.07768,0.6409733333333333,0.44608,0.06722666666666667,0.09274666666666667,0.06637333333333334,0.054626666666666664,0.035493333333333335,0.07352,0.030933333333333334,0.09932,0.0,0.04024,0.34590666666666664,0.0354,0.05378666666666667,0.23298666666666668
Greedy Monroe,0.08049933333333333,0.08018666666666667,0.6357733333333333,0.44476,0.06516,0.09030666666666666,0.06686666666666667,0.05516,0.03884,0.10716,0.04352,0.07790666666666667,0.04024,0.0,0.36185333333333336,0.02904,0.053946666666666664,0.23285333333333333
Minimax Approval Voting (MAV),0.3292446666666667,0.33041333333333334,0.5344533333333333,0.4455733333333333,0.35504,0.36421333333333333,0.3514,0.34902666666666665,0.3508266666666667,0.2959466666666667,0.34682666666666667,0.38765333333333335,0.34590666666666664,0.36185333333333336,0.0,0.35545333333333334,0.34989333333333333,0.36728
Method of Equal Shares (aka Rule X) with Phragmén phase,0.06235333333333333,0.062053333333333335,0.6392,0.4448,0.04714666666666667,0.07946666666666667,0.052373333333333334,0.029666666666666668,0.012373333333333333,0.10797333333333334,0.04157333333333333,0.09281333333333333,0.0354,0.02904,0.35545333333333334,0.0,0.028533333333333334,0.22998666666666667
E Pluribus Hugo (EPH),0.05443,0.054066666666666666,0.64224,0.44505333333333336,0.04174666666666667,0.07814666666666667,0.052226666666666664,0.00264,0.02136,0.12664,0.06166666666666667,0.11969333333333333,0.05378666666666667,0.053946666666666664,0.34989333333333333,0.028533333333333334,0.0,0.22956
Random Serial Dictator,0.23336933333333337,0.23324,0.58804,0.44468,0.23088,0.23890666666666666,0.23158666666666666,0.22944,0.22945333333333334,0.27729333333333334,0.23717333333333335,0.27401333333333333,0.23298666666666668,0.23285333333333333,0.36728,0.22998666666666667,0.22956,0.0
NN,,0.0039120000000000005,0.6467366666666667,0.44482333333333335,0.040584,0.08399266666666665,0.05352733333333333,0.05401533333333333,0.05891399999999999,0.149698,0.09096866666666664,0.14586399999999997,0.077688,0.08049933333333333,0.3292446666666667,0.06235333333333333,0.05443,0.23336933333333337
