,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.002215333333333333,0.0,0.68592,0.50064,0.041666666666666664,0.44925333333333334,0.37988,0.002013333333333333,0.029093333333333332,0.4636133333333333,0.06274666666666667,0.41728,0.34841333333333335,0.09597333333333333,0.4636133333333333,0.05517333333333333,0.0076,0.37056
Max Violations Committee,0.68464,0.68592,0.0,0.4996,0.68316,0.6240933333333334,0.5882933333333333,0.6846133333333333,0.6912933333333333,0.51924,0.6884933333333333,0.5486533333333333,0.6405733333333333,0.6786933333333334,0.51924,0.69416,0.67984,0.5656133333333333
Random Choice,0.5005713333333333,0.50064,0.4996,0.0,0.49976,0.5010533333333334,0.50052,0.5005066666666667,0.49906666666666666,0.50228,0.49864,0.50028,0.4992533333333333,0.49934666666666666,0.50228,0.49936,0.5000666666666667,0.4973066666666667
Borda ranking,0.04017666666666666,0.041666666666666664,0.68316,0.49976,0.0,0.43888,0.3741466666666667,0.04024,0.025093333333333332,0.47533333333333333,0.04562666666666667,0.40432,0.35848,0.07708,0.47533333333333333,0.03541333333333333,0.03448,0.3715733333333333
Plurality ranking,0.4498526666666667,0.44925333333333334,0.6240933333333334,0.5010533333333334,0.43888,0.0,0.22785333333333332,0.4498533333333333,0.452,0.5338933333333333,0.45537333333333335,0.4728266666666667,0.48008,0.45084,0.5338933333333333,0.45316,0.45388,0.47473333333333334
STV,0.38054333333333334,0.37988,0.5882933333333333,0.50052,0.3741466666666667,0.22785333333333332,0.0,0.38056,0.38464,0.4690933333333333,0.3877333333333333,0.49672,0.41414666666666666,0.39528,0.4690933333333333,0.3860266666666667,0.38326666666666664,0.45522666666666667
Approval Voting (AV),0.000202,0.002013333333333333,0.6846133333333333,0.5005066666666667,0.04024,0.4498533333333333,0.38056,0.0,0.027546666666666667,0.46382666666666666,0.06125333333333333,0.41684,0.34857333333333335,0.09476,0.46382666666666666,0.053706666666666666,0.005946666666666667,0.3705333333333333
Proportional Approval Voting (PAV),0.027549999999999998,0.029093333333333332,0.6912933333333333,0.49906666666666666,0.025093333333333332,0.452,0.38464,0.027546666666666667,0.0,0.47202666666666665,0.03370666666666667,0.40885333333333335,0.35536,0.07162666666666667,0.47202666666666665,0.02616,0.0216,0.3718666666666667
Approval Chamberlin-Courant (CC),0.46382400000000007,0.4636133333333333,0.51924,0.50228,0.47533333333333333,0.5338933333333333,0.4690933333333333,0.46382666666666666,0.47202666666666665,0.0,0.47296,0.8023466666666667,0.23233333333333334,0.49709333333333333,0.0,0.4739333333333333,0.46448,0.4911466666666667
Lexicographic Chamberlin-Courant (lex-CC),0.061256666666666654,0.06274666666666667,0.6884933333333333,0.49864,0.04562666666666667,0.45537333333333335,0.3877333333333333,0.06125333333333333,0.03370666666666667,0.47296,0.0,0.4107866666666667,0.35652,0.04698666666666667,0.47296,0.01536,0.055306666666666664,0.3742666666666667
Sequential Approval Chamberlin-Courant (seq-CC),0.416812,0.41728,0.5486533333333333,0.50028,0.40432,0.4728266666666667,0.49672,0.41684,0.40885333333333335,0.8023466666666667,0.4107866666666667,0.0,0.6546,0.38666666666666666,0.8023466666666667,0.4086533333333333,0.41501333333333335,0.4604933333333333
Monroe's Approval Rule (Monroe),0.34861600000000004,0.34841333333333335,0.6405733333333333,0.4992533333333333,0.35848,0.48008,0.41414666666666666,0.34857333333333335,0.35536,0.23233333333333334,0.35652,0.6546,0.0,0.38881333333333334,0.23233333333333334,0.35696,0.34964,0.44010666666666665
Greedy Monroe,0.09480733333333331,0.09597333333333333,0.6786933333333334,0.49934666666666666,0.07708,0.45084,0.39528,0.09476,0.07162666666666667,0.49709333333333333,0.04698666666666667,0.38666666666666666,0.38881333333333334,0.0,0.49709333333333333,0.05298666666666667,0.09041333333333333,0.37909333333333334
Minimax Approval Voting (MAV),0.46382400000000007,0.4636133333333333,0.51924,0.50228,0.47533333333333333,0.5338933333333333,0.4690933333333333,0.46382666666666666,0.47202666666666665,0.0,0.47296,0.8023466666666667,0.23233333333333334,0.49709333333333333,0.0,0.4739333333333333,0.46448,0.4911466666666667
Method of Equal Shares (aka Rule X) with Phragmén phase,0.053709999999999994,0.05517333333333333,0.69416,0.49936,0.03541333333333333,0.45316,0.3860266666666667,0.053706666666666666,0.02616,0.4739333333333333,0.01536,0.4086533333333333,0.35696,0.05298666666666667,0.4739333333333333,0.0,0.04776,0.37333333333333335
E Pluribus Hugo (EPH),0.0060473333333333325,0.0076,0.67984,0.5000666666666667,0.03448,0.45388,0.38326666666666664,0.005946666666666667,0.0216,0.46448,0.055306666666666664,0.41501333333333335,0.34964,0.09041333333333333,0.46448,0.04776,0.0,0.3708
Random Serial Dictator,0.3704873333333334,0.37056,0.5656133333333333,0.4973066666666667,0.3715733333333333,0.47473333333333334,0.45522666666666667,0.3705333333333333,0.3718666666666667,0.4911466666666667,0.3742666666666667,0.4604933333333333,0.44010666666666665,0.37909333333333334,0.4911466666666667,0.37333333333333335,0.3708,0.0
NN,,0.002215333333333333,0.68464,0.5005713333333333,0.04017666666666666,0.4498526666666667,0.38054333333333334,0.000202,0.027549999999999998,0.46382400000000007,0.061256666666666654,0.416812,0.34861600000000004,0.09480733333333331,0.46382400000000007,0.053709999999999994,0.0060473333333333325,0.3704873333333334
