,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.44280199999999986,0.0,0.44425333333333333,0.44352,0.44289333333333336,0.44412,0.44337333333333334,0.4457333333333333,0.44248,0.44292,0.4454666666666667,0.44256,0.44544,0.4434133333333333,0.4435733333333333,0.44388
Borda ranking,0.08735333333333334,0.44425333333333333,0.0,0.29172,0.22705333333333333,0.11356,0.1202,0.44405333333333336,0.23201333333333332,0.40416,0.43621333333333334,0.19908,0.34688,0.17090666666666668,0.11254666666666667,0.30905333333333335
Plurality ranking,0.318418,0.44352,0.29172,0.0,0.14490666666666666,0.3390666666666667,0.3383466666666667,0.4607866666666667,0.3666933333333333,0.4162,0.45556,0.36690666666666666,0.42156,0.35008,0.33853333333333335,0.40297333333333335
STV,0.2558793333333333,0.44289333333333336,0.22705333333333333,0.14490666666666666,0.0,0.28089333333333333,0.2846533333333333,0.4397466666666667,0.33086666666666664,0.423,0.43294666666666665,0.32037333333333334,0.38741333333333333,0.3034,0.28012,0.36501333333333336
Approval Voting (AV),0.10029133333333334,0.44412,0.11356,0.3390666666666667,0.28089333333333333,0.0,0.07612,0.4338533333333333,0.22558666666666666,0.41492,0.42594666666666664,0.18494666666666668,0.34329333333333334,0.15949333333333332,0.014906666666666667,0.30392
Proportional Approval Voting (PAV),0.1355633333333333,0.44337333333333334,0.1202,0.3383466666666667,0.2846533333333333,0.07612,0.0,0.44154666666666664,0.16192,0.40770666666666666,0.4336,0.16581333333333334,0.324,0.10234666666666667,0.06530666666666667,0.3051066666666667
Approval Chamberlin-Courant (CC),0.4219153333333333,0.4457333333333333,0.44405333333333336,0.4607866666666667,0.4397466666666667,0.4338533333333333,0.44154666666666664,0.0,0.43896,0.6666666666666666,0.008946666666666667,0.4684,0.18265333333333333,0.4426933333333333,0.43552,0.44393333333333335
Lexicographic Chamberlin-Courant (lex-CC),0.253224,0.44248,0.23201333333333332,0.3666933333333333,0.33086666666666664,0.22558666666666666,0.16192,0.43896,0.0,0.40817333333333333,0.4348,0.19902666666666666,0.25922666666666666,0.12126666666666666,0.21834666666666666,0.32892
Sequential Approval Chamberlin-Courant (seq-CC),0.42415666666666657,0.44292,0.40416,0.4162,0.423,0.41492,0.40770666666666666,0.6666666666666666,0.40817333333333333,0.0,0.66284,0.37752,0.56024,0.4045066666666667,0.4142133333333333,0.40626666666666666
Monroe's Approval Rule (Monroe),0.4141593333333333,0.4454666666666667,0.43621333333333334,0.45556,0.43294666666666665,0.42594666666666664,0.4336,0.008946666666666667,0.4348,0.66284,0.0,0.4621866666666667,0.18317333333333333,0.4359733333333333,0.42761333333333335,0.4397066666666667
Greedy Monroe,0.21399866666666664,0.44256,0.19908,0.36690666666666666,0.32037333333333334,0.18494666666666668,0.16581333333333334,0.4684,0.19902666666666666,0.37752,0.4621866666666667,0.0,0.34898666666666667,0.17041333333333333,0.18296,0.32166666666666666
Minimax Approval Voting (MAV),0.3420313333333333,0.44544,0.34688,0.42156,0.38741333333333333,0.34329333333333334,0.324,0.18265333333333333,0.25922666666666666,0.56024,0.18317333333333333,0.34898666666666667,0.0,0.30937333333333333,0.3429066666666667,0.38812
Method of Equal Shares (aka Rule X) with Phragmén phase,0.19466266666666668,0.4434133333333333,0.17090666666666668,0.35008,0.3034,0.15949333333333332,0.10234666666666667,0.4426933333333333,0.12126666666666666,0.4045066666666667,0.4359733333333333,0.17041333333333333,0.30937333333333333,0.0,0.15197333333333332,0.31578666666666666
E Pluribus Hugo (EPH),0.10542266666666668,0.4435733333333333,0.11254666666666667,0.33853333333333335,0.28012,0.014906666666666667,0.06530666666666667,0.43552,0.21834666666666666,0.4142133333333333,0.42761333333333335,0.18296,0.3429066666666667,0.15197333333333332,0.0,0.30332
Random Serial Dictator,0.30943533333333334,0.44388,0.30905333333333335,0.40297333333333335,0.36501333333333336,0.30392,0.3051066666666667,0.44393333333333335,0.32892,0.40626666666666666,0.4397066666666667,0.32166666666666666,0.38812,0.31578666666666666,0.30332,0.0
NN,,0.44280199999999986,0.08735333333333334,0.318418,0.2558793333333333,0.10029133333333334,0.1355633333333333,0.4219153333333333,0.253224,0.42415666666666657,0.4141593333333333,0.21399866666666664,0.3420313333333333,0.19466266666666668,0.10542266666666668,0.30943533333333334
