,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.44799733333333347,0.0,0.44804,0.44604,0.44622666666666666,0.44696,0.44721333333333335,0.44449333333333335,0.44781333333333334,0.44433333333333336,0.4456,0.4492,0.44605333333333336,0.4471466666666667,0.4468933333333333,0.44388
Borda ranking,0.08326066666666666,0.44804,0.0,0.27625333333333335,0.18077333333333334,0.09197333333333334,0.09096,0.44494666666666666,0.16516,0.4101066666666667,0.38296,0.15954666666666667,0.31576,0.11986666666666666,0.09114666666666667,0.27136
Plurality ranking,0.2993993333333333,0.44604,0.27625333333333335,0.0,0.16257333333333332,0.3114,0.31346666666666667,0.49149333333333334,0.3338,0.3841466666666667,0.44788,0.3263066666666667,0.41273333333333334,0.3195866666666667,0.3115466666666667,0.37406666666666666
STV,0.20484266666666667,0.44622666666666666,0.18077333333333334,0.16257333333333332,0.0,0.22128,0.22426666666666667,0.44028,0.2588533333333333,0.42729333333333336,0.37964,0.2552,0.34342666666666666,0.23581333333333335,0.22106666666666666,0.31592
Approval Voting (AV),0.08945133333333333,0.44696,0.09197333333333334,0.3114,0.22128,0.0,0.04545333333333333,0.4339733333333333,0.15248,0.42314666666666667,0.37134666666666666,0.1522,0.31077333333333335,0.10329333333333333,0.00648,0.26449333333333336
Proportional Approval Voting (PAV),0.11028733333333332,0.44721333333333335,0.09096,0.31346666666666667,0.22426666666666667,0.04545333333333333,0.0,0.43822666666666665,0.11333333333333333,0.41589333333333334,0.376,0.13844,0.30050666666666664,0.0662,0.04050666666666667,0.26588
Approval Chamberlin-Courant (CC),0.40611666666666674,0.44449333333333335,0.44494666666666666,0.49149333333333334,0.44028,0.4339733333333333,0.43822666666666665,0.0,0.43754666666666664,0.6666666666666666,0.06694666666666667,0.46608,0.20108,0.4444666666666667,0.43474666666666667,0.4420133333333333
Lexicographic Chamberlin-Courant (lex-CC),0.19093066666666664,0.44781333333333334,0.16516,0.3338,0.2588533333333333,0.15248,0.11333333333333333,0.43754666666666664,0.0,0.4153866666666667,0.38132,0.16912,0.25912,0.08546666666666666,0.14870666666666665,0.2854
Sequential Approval Chamberlin-Courant (seq-CC),0.44145066666666666,0.44433333333333336,0.4101066666666667,0.3841466666666667,0.42729333333333336,0.42314666666666667,0.41589333333333334,0.6666666666666666,0.4153866666666667,0.0,0.6328,0.38994666666666666,0.57032,0.41046666666666665,0.42178666666666664,0.42178666666666664
Monroe's Approval Rule (Monroe),0.3437873333333332,0.4456,0.38296,0.44788,0.37964,0.37134666666666666,0.376,0.06694666666666667,0.38132,0.6328,0.0,0.40536,0.17021333333333333,0.38298666666666664,0.3721333333333333,0.38842666666666664
Greedy Monroe,0.17863800000000002,0.4492,0.15954666666666667,0.3263066666666667,0.2552,0.1522,0.13844,0.46608,0.16912,0.38994666666666666,0.40536,0.0,0.3266,0.13948,0.15024,0.2789066666666667
Minimax Approval Voting (MAV),0.287926,0.44605333333333336,0.31576,0.41273333333333334,0.34342666666666666,0.31077333333333335,0.30050666666666664,0.20108,0.25912,0.57032,0.17021333333333333,0.3266,0.0,0.2968133333333333,0.3104,0.34381333333333336
Method of Equal Shares (aka Rule X) with Phragmén phase,0.14661933333333335,0.4471466666666667,0.11986666666666666,0.3195866666666667,0.23581333333333335,0.10329333333333333,0.0662,0.4444666666666667,0.08546666666666666,0.41046666666666665,0.38298666666666664,0.13948,0.2968133333333333,0.0,0.09933333333333333,0.27144
E Pluribus Hugo (EPH),0.09208466666666668,0.4468933333333333,0.09114666666666667,0.3115466666666667,0.22106666666666666,0.00648,0.04050666666666667,0.43474666666666667,0.14870666666666665,0.42178666666666664,0.3721333333333333,0.15024,0.3104,0.09933333333333333,0.0,0.26468
Random Serial Dictator,0.27302733333333334,0.44388,0.27136,0.37406666666666666,0.31592,0.26449333333333336,0.26588,0.4420133333333333,0.2854,0.42178666666666664,0.38842666666666664,0.2789066666666667,0.34381333333333336,0.27144,0.26468,0.0
NN,,0.44799733333333347,0.08326066666666666,0.2993993333333333,0.20484266666666667,0.08945133333333333,0.11028733333333332,0.40611666666666674,0.19093066666666664,0.44145066666666666,0.3437873333333332,0.17863800000000002,0.287926,0.14661933333333335,0.09208466666666668,0.27302733333333334
