,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Random Choice,0.24533085714285713,0.0,0.24496,0.24506285714285714,0.24494857142857143,0.24498285714285714,0.24498285714285714,0.24498285714285714,0.24498285714285714,0.24506285714285714,0.24498285714285714,0.24506285714285714,0.24538285714285715,0.24506285714285714,0.24498285714285714,0.24445714285714285,0.24441142857142859,0.2451542857142857,0.24584,0.24544,0.24522285714285713,0.24540571428571428,0.24525714285714287,0.2451657142857143,0.24514285714285713,0.24514285714285713,0.24505142857142856,0.2454742857142857,0.24522285714285713,0.24529142857142858,0.24502857142857143,0.24513142857142858,0.24462857142857142,0.24510857142857143,0.24521142857142858,0.24509714285714285,0.24518857142857142,0.24513142857142858,0.2451657142857143,0.2452342857142857,0.24490285714285714,0.24528,0.24517714285714284,0.24518857142857142,0.24509714285714285,0.24478857142857144,0.24478857142857144,0.24521142857142858,0.24521142857142858,0.24528,0.24536,0.24498285714285714,0.2454742857142857,0.2452457142857143,0.24536,0.2452,0.24505142857142856,0.24517714285714284,0.24506285714285714,0.24522285714285713,0.2453142857142857,0.24502857142857143,0.24554285714285715,0.24537142857142857,0.2452342857142857
Borda ranking,0.025619428571428574,0.24496,0.0,0.043165714285714286,0.02830857142857143,0.042788571428571426,0.042788571428571426,0.042788571428571426,0.042788571428571426,0.043165714285714286,0.042788571428571426,0.043165714285714286,0.2436457142857143,0.043165714285714286,0.042788571428571426,0.14818285714285714,0.15642285714285714,0.03382857142857143,0.04913142857142857,0.02838857142857143,0.02441142857142857,0.02550857142857143,0.03132571428571428,0.026502857142857144,0.024662857142857143,0.023851428571428572,0.022651428571428572,0.07265142857142858,0.025371428571428573,0.02550857142857143,0.01384,0.026411428571428572,0.03497142857142857,0.020902857142857143,0.022765714285714285,0.027085714285714286,0.023428571428571427,0.026445714285714284,0.02769142857142857,0.023965714285714285,0.030377142857142856,0.02414857142857143,0.025245714285714285,0.022377142857142856,0.02302857142857143,0.03387428571428571,0.03387428571428571,0.018594285714285716,0.018594285714285716,0.023942857142857144,0.02654857142857143,0.00936,0.025885714285714286,0.025794285714285714,0.02584,0.022365714285714287,0.0268,0.020582857142857142,0.014651428571428572,0.020594285714285714,0.026182857142857143,0.055908571428571426,0.013748571428571428,0.025497142857142857,0.021577142857142857
Plurality ranking,0.04408,0.24506285714285714,0.043165714285714286,0.0,0.04054857142857143,0.015302857142857142,0.015302857142857142,0.015302857142857142,0.015302857142857142,0.0,0.015302857142857142,0.0,0.24485714285714286,0.0,0.015302857142857142,0.14604571428571428,0.17230857142857142,0.04873142857142857,0.07539428571428572,0.037714285714285714,0.03946285714285714,0.03938285714285714,0.03146285714285714,0.04665142857142857,0.04198857142857143,0.04166857142857143,0.04155428571428572,0.07501714285714285,0.04208,0.04010285714285714,0.04133714285714286,0.04276571428571429,0.04892571428571429,0.04139428571428572,0.04174857142857143,0.043211428571428574,0.04196571428571429,0.04275428571428572,0.04334857142857143,0.041805714285714286,0.04484571428571429,0.04216,0.04292571428571428,0.04131428571428571,0.04133714285714286,0.04797714285714286,0.04797714285714286,0.04086857142857143,0.04086857142857143,0.041794285714285714,0.0304,0.041474285714285714,0.03915428571428571,0.04010285714285714,0.039817142857142857,0.04130285714285714,0.024034285714285713,0.04130285714285714,0.04125714285714286,0.04136,0.052251428571428574,0.06896,0.04432,0.03432,0.036937142857142856
STV,0.014993142857142858,0.24494857142857143,0.02830857142857143,0.04054857142857143,0.0,0.03889142857142857,0.03889142857142857,0.03889142857142857,0.03889142857142857,0.04054857142857143,0.03889142857142857,0.04054857142857143,0.24061714285714286,0.04054857142857143,0.03889142857142857,0.148,0.1656,0.03936,0.06058285714285714,0.015588571428571429,0.020217142857142857,0.0172,0.025702857142857142,0.028137142857142857,0.022308571428571428,0.02185142857142857,0.02126857142857143,0.07233142857142857,0.02313142857142857,0.018811428571428573,0.01782857142857143,0.02656,0.030731428571428573,0.02089142857142857,0.02205714285714286,0.02696,0.022468571428571428,0.026594285714285713,0.02776,0.022434285714285716,0.029154285714285716,0.022937142857142857,0.020285714285714285,0.021714285714285714,0.022228571428571427,0.030102857142857143,0.030102857142857143,0.017074285714285715,0.017074285714285715,0.021234285714285716,0.021405714285714285,0.019622857142857143,0.0168,0.018514285714285716,0.01808,0.021702857142857142,0.02026285714285714,0.02064,0.01784,0.021874285714285714,0.037657142857142854,0.06500571428571429,0.030022857142857143,0.016034285714285713,0.017005714285714287
Approval Voting (AV),0.04203314285714286,0.24498285714285714,0.042788571428571426,0.015302857142857142,0.03889142857142857,0.0,0.0,0.0,0.0,0.015302857142857142,0.0,0.015302857142857142,0.24050285714285713,0.015302857142857142,0.0,0.14589714285714286,0.17350857142857143,0.049325714285714285,0.07619428571428571,0.03893714285714286,0.040285714285714286,0.04041142857142857,0.03402285714285714,0.04726857142857143,0.042902857142857145,0.04229714285714286,0.042011428571428575,0.07939428571428571,0.04323428571428571,0.04109714285714286,0.04092571428571429,0.04481142857142857,0.05014857142857143,0.042114285714285715,0.04269714285714286,0.045154285714285716,0.043051428571428574,0.0448,0.04553142857142857,0.042845714285714286,0.046971428571428574,0.043314285714285715,0.04336,0.04206857142857143,0.042262857142857144,0.04933714285714286,0.04933714285714286,0.04046857142857143,0.04046857142857143,0.04253714285714286,0.0328,0.0412,0.04017142857142857,0.04144,0.04082285714285714,0.042057142857142855,0.029108571428571428,0.041634285714285714,0.04093714285714286,0.042057142857142855,0.05289142857142857,0.07366857142857143,0.04417142857142857,0.03365714285714286,0.03747428571428572
Proportional Approval Voting (PAV),0.04203314285714286,0.24498285714285714,0.042788571428571426,0.015302857142857142,0.03889142857142857,0.0,0.0,0.0,0.0,0.015302857142857142,0.0,0.015302857142857142,0.24050285714285713,0.015302857142857142,0.0,0.14589714285714286,0.17350857142857143,0.049325714285714285,0.07619428571428571,0.03893714285714286,0.040285714285714286,0.04041142857142857,0.03402285714285714,0.04726857142857143,0.042902857142857145,0.04229714285714286,0.042011428571428575,0.07939428571428571,0.04323428571428571,0.04109714285714286,0.04092571428571429,0.04481142857142857,0.05014857142857143,0.042114285714285715,0.04269714285714286,0.045154285714285716,0.043051428571428574,0.0448,0.04553142857142857,0.042845714285714286,0.046971428571428574,0.043314285714285715,0.04336,0.04206857142857143,0.042262857142857144,0.04933714285714286,0.04933714285714286,0.04046857142857143,0.04046857142857143,0.04253714285714286,0.0328,0.0412,0.04017142857142857,0.04144,0.04082285714285714,0.042057142857142855,0.029108571428571428,0.041634285714285714,0.04093714285714286,0.042057142857142855,0.05289142857142857,0.07366857142857143,0.04417142857142857,0.03365714285714286,0.03747428571428572
Approval Chamberlin-Courant (CC),0.04203314285714286,0.24498285714285714,0.042788571428571426,0.015302857142857142,0.03889142857142857,0.0,0.0,0.0,0.0,0.015302857142857142,0.0,0.015302857142857142,0.24050285714285713,0.015302857142857142,0.0,0.14589714285714286,0.17350857142857143,0.049325714285714285,0.07619428571428571,0.03893714285714286,0.040285714285714286,0.04041142857142857,0.03402285714285714,0.04726857142857143,0.042902857142857145,0.04229714285714286,0.042011428571428575,0.07939428571428571,0.04323428571428571,0.04109714285714286,0.04092571428571429,0.04481142857142857,0.05014857142857143,0.042114285714285715,0.04269714285714286,0.045154285714285716,0.043051428571428574,0.0448,0.04553142857142857,0.042845714285714286,0.046971428571428574,0.043314285714285715,0.04336,0.04206857142857143,0.042262857142857144,0.04933714285714286,0.04933714285714286,0.04046857142857143,0.04046857142857143,0.04253714285714286,0.0328,0.0412,0.04017142857142857,0.04144,0.04082285714285714,0.042057142857142855,0.029108571428571428,0.041634285714285714,0.04093714285714286,0.042057142857142855,0.05289142857142857,0.07366857142857143,0.04417142857142857,0.03365714285714286,0.03747428571428572
Lexicographic Chamberlin-Courant (lex-CC),0.04203314285714286,0.24498285714285714,0.042788571428571426,0.015302857142857142,0.03889142857142857,0.0,0.0,0.0,0.0,0.015302857142857142,0.0,0.015302857142857142,0.24050285714285713,0.015302857142857142,0.0,0.14589714285714286,0.17350857142857143,0.049325714285714285,0.07619428571428571,0.03893714285714286,0.040285714285714286,0.04041142857142857,0.03402285714285714,0.04726857142857143,0.042902857142857145,0.04229714285714286,0.042011428571428575,0.07939428571428571,0.04323428571428571,0.04109714285714286,0.04092571428571429,0.04481142857142857,0.05014857142857143,0.042114285714285715,0.04269714285714286,0.045154285714285716,0.043051428571428574,0.0448,0.04553142857142857,0.042845714285714286,0.046971428571428574,0.043314285714285715,0.04336,0.04206857142857143,0.042262857142857144,0.04933714285714286,0.04933714285714286,0.04046857142857143,0.04046857142857143,0.04253714285714286,0.0328,0.0412,0.04017142857142857,0.04144,0.04082285714285714,0.042057142857142855,0.029108571428571428,0.041634285714285714,0.04093714285714286,0.042057142857142855,0.05289142857142857,0.07366857142857143,0.04417142857142857,0.03365714285714286,0.03747428571428572
Sequential Approval Chamberlin-Courant (seq-CC),0.04408,0.24506285714285714,0.043165714285714286,0.0,0.04054857142857143,0.015302857142857142,0.015302857142857142,0.015302857142857142,0.015302857142857142,0.0,0.015302857142857142,0.0,0.24485714285714286,0.0,0.015302857142857142,0.14604571428571428,0.17230857142857142,0.04873142857142857,0.07539428571428572,0.037714285714285714,0.03946285714285714,0.03938285714285714,0.03146285714285714,0.04665142857142857,0.04198857142857143,0.04166857142857143,0.04155428571428572,0.07501714285714285,0.04208,0.04010285714285714,0.04133714285714286,0.04276571428571429,0.04892571428571429,0.04139428571428572,0.04174857142857143,0.043211428571428574,0.04196571428571429,0.04275428571428572,0.04334857142857143,0.041805714285714286,0.04484571428571429,0.04216,0.04292571428571428,0.04131428571428571,0.04133714285714286,0.04797714285714286,0.04797714285714286,0.04086857142857143,0.04086857142857143,0.041794285714285714,0.0304,0.041474285714285714,0.03915428571428571,0.04010285714285714,0.039817142857142857,0.04130285714285714,0.024034285714285713,0.04130285714285714,0.04125714285714286,0.04136,0.052251428571428574,0.06896,0.04432,0.03432,0.036937142857142856
Monroe's Approval Rule (Monroe),0.04203314285714286,0.24498285714285714,0.042788571428571426,0.015302857142857142,0.03889142857142857,0.0,0.0,0.0,0.0,0.015302857142857142,0.0,0.015302857142857142,0.24050285714285713,0.015302857142857142,0.0,0.14589714285714286,0.17350857142857143,0.049325714285714285,0.07619428571428571,0.03893714285714286,0.040285714285714286,0.04041142857142857,0.03402285714285714,0.04726857142857143,0.042902857142857145,0.04229714285714286,0.042011428571428575,0.07939428571428571,0.04323428571428571,0.04109714285714286,0.04092571428571429,0.04481142857142857,0.05014857142857143,0.042114285714285715,0.04269714285714286,0.045154285714285716,0.043051428571428574,0.0448,0.04553142857142857,0.042845714285714286,0.046971428571428574,0.043314285714285715,0.04336,0.04206857142857143,0.042262857142857144,0.04933714285714286,0.04933714285714286,0.04046857142857143,0.04046857142857143,0.04253714285714286,0.0328,0.0412,0.04017142857142857,0.04144,0.04082285714285714,0.042057142857142855,0.029108571428571428,0.041634285714285714,0.04093714285714286,0.042057142857142855,0.05289142857142857,0.07366857142857143,0.04417142857142857,0.03365714285714286,0.03747428571428572
