,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Random Choice,0.24402342857142853,0.0,0.24377142857142858,0.24381714285714284,0.24410285714285715,0.24382857142857142,0.24382857142857142,0.24382857142857142,0.24382857142857142,0.24381714285714284,0.24382857142857142,0.24381714285714284,0.24468571428571428,0.24381714285714284,0.24382857142857142,0.24469714285714286,0.24498285714285714,0.24409142857142857,0.24498285714285714,0.24412571428571428,0.24410285714285715,0.24428571428571427,0.2438857142857143,0.24369142857142856,0.24385142857142858,0.24384,0.24378285714285713,0.24448,0.2437942857142857,0.24428571428571427,0.2438742857142857,0.2437942857142857,0.24433142857142856,0.24368,0.2437257142857143,0.2438057142857143,0.2437257142857143,0.2437942857142857,0.24368,0.2437257142857143,0.2438857142857143,0.2437257142857143,0.24366857142857143,0.24381714285714284,0.24381714285714284,0.244,0.244,0.24377142857142858,0.24377142857142858,0.24381714285714284,0.24450285714285713,0.24382857142857142,0.24428571428571427,0.24404571428571428,0.24428571428571427,0.24381714285714284,0.24441142857142859,0.2438742857142857,0.2438742857142857,0.24381714285714284,0.24402285714285715,0.24492571428571427,0.24362285714285714,0.24419428571428572,0.24373714285714285
Borda ranking,0.045125714285714276,0.24377142857142858,0.0,0.06625142857142857,0.05208,0.06736,0.06736,0.06736,0.06736,0.06625142857142857,0.06736,0.06625142857142857,0.24649142857142858,0.06625142857142857,0.06736,0.17202285714285714,0.18565714285714285,0.07222857142857143,0.18565714285714285,0.04889142857142857,0.038034285714285715,0.04344,0.048537142857142855,0.04725714285714286,0.04017142857142857,0.03723428571428571,0.02713142857142857,0.16723428571428572,0.04387428571428571,0.04336,0.014822857142857143,0.04260571428571429,0.06946285714285715,0.03313142857142857,0.03826285714285714,0.04664,0.03826285714285714,0.04260571428571429,0.0468,0.03826285714285714,0.048445714285714286,0.03826285714285714,0.04500571428571429,0.03467428571428571,0.03467428571428571,0.05386285714285714,0.05386285714285714,0.018525714285714284,0.018525714285714284,0.04062857142857143,0.04008,0.009805714285714286,0.04344,0.04448,0.04336,0.03467428571428571,0.04010285714285714,0.02584,0.014822857142857143,0.03467428571428571,0.07173714285714286,0.18121142857142858,0.04930285714285714,0.03918857142857143,0.03686857142857143
Plurality ranking,0.07696742857142856,0.24381714285714284,0.06625142857142857,0.0,0.06944,0.03188571428571429,0.03188571428571429,0.03188571428571429,0.03188571428571429,0.0,0.03188571428571429,0.0,0.24906285714285714,0.0,0.03188571428571429,0.17004571428571427,0.17986285714285713,0.13338285714285714,0.17986285714285713,0.057954285714285715,0.05984,0.06307428571428571,0.06419428571428572,0.08906285714285714,0.07114285714285715,0.06984,0.06834285714285715,0.17502857142857142,0.07269714285714286,0.06507428571428571,0.06744,0.07282285714285715,0.09590857142857143,0.07003428571428572,0.07060571428571429,0.07482285714285715,0.07060571428571429,0.07282285714285715,0.07494857142857143,0.07060571428571429,0.07588571428571429,0.07060571428571429,0.07438857142857143,0.06918857142857143,0.06918857142857143,0.08035428571428571,0.08035428571428571,0.06764571428571428,0.06764571428571428,0.07096,0.04166857142857143,0.06700571428571428,0.06307428571428571,0.06745142857142856,0.06507428571428571,0.06918857142857143,0.03670857142857143,0.06841142857142857,0.06744,0.06918857142857143,0.13289142857142858,0.17546285714285714,0.11248,0.04769142857142857,0.05582857142857143
STV,0.023643428571428576,0.24410285714285715,0.05208,0.06944,0.0,0.06288,0.06288,0.06288,0.06288,0.06944,0.06288,0.06944,0.23752,0.06944,0.06288,0.17269714285714285,0.20529142857142857,0.10150857142857143,0.20529142857142857,0.04113142857142857,0.05038857142857143,0.04368,0.044674285714285715,0.06526857142857143,0.05290285714285714,0.051474285714285715,0.04874285714285714,0.17950857142857143,0.0552,0.046034285714285715,0.039542857142857143,0.06125714285714286,0.07150857142857144,0.049862857142857146,0.05394285714285714,0.06386285714285714,0.05394285714285714,0.06125714285714286,0.06484571428571428,0.05394285714285714,0.06547428571428572,0.05394285714285714,0.04474285714285714,0.052422857142857146,0.052422857142857146,0.06609142857142856,0.06609142857142856,0.03849142857142857,0.03849142857142857,0.05139428571428571,0.04528,0.04296,0.04368,0.0468,0.046034285714285715,0.052422857142857146,0.040811428571428575,0.04939428571428572,0.039542857142857143,0.052422857142857146,0.10101714285714286,0.20106285714285715,0.08107428571428571,0.03216,0.02934857142857143
Approval Voting (AV),0.07005314285714286,0.24382857142857142,0.06736,0.03188571428571429,0.06288,0.0,0.0,0.0,0.0,0.03188571428571429,0.0,0.03188571428571429,0.23986285714285716,0.03188571428571429,0.0,0.17003428571428572,0.20138285714285714,0.1343542857142857,0.20138285714285714,0.06485714285714286,0.06365714285714286,0.06961142857142857,0.07109714285714286,0.09177142857142857,0.07627428571428571,0.07445714285714286,0.07142857142857142,0.18522285714285713,0.07859428571428571,0.07176,0.06762285714285714,0.08118857142857143,0.09940571428571429,0.0748,0.07675428571428572,0.08307428571428571,0.07675428571428572,0.08118857142857143,0.08390857142857143,0.07675428571428572,0.08523428571428572,0.07675428571428572,0.07725714285714286,0.07434285714285714,0.07434285714285714,0.08898285714285714,0.08898285714285714,0.06848,0.06848,0.07590857142857142,0.05432,0.06724571428571428,0.06961142857142857,0.07398857142857143,0.07176,0.07434285714285714,0.049577142857142854,0.07153142857142857,0.06762285714285714,0.07434285714285714,0.13386285714285714,0.19714285714285715,0.11324571428571428,0.04734857142857143,0.05938285714285714
Proportional Approval Voting (PAV),0.07005314285714286,0.24382857142857142,0.06736,0.03188571428571429,0.06288,0.0,0.0,0.0,0.0,0.03188571428571429,0.0,0.03188571428571429,0.23986285714285716,0.03188571428571429,0.0,0.17003428571428572,0.20138285714285714,0.1343542857142857,0.20138285714285714,0.06485714285714286,0.06365714285714286,0.06961142857142857,0.07109714285714286,0.09177142857142857,0.07627428571428571,0.07445714285714286,0.07142857142857142,0.18522285714285713,0.07859428571428571,0.07176,0.06762285714285714,0.08118857142857143,0.09940571428571429,0.0748,0.07675428571428572,0.08307428571428571,0.07675428571428572,0.08118857142857143,0.08390857142857143,0.07675428571428572,0.08523428571428572,0.07675428571428572,0.07725714285714286,0.07434285714285714,0.07434285714285714,0.08898285714285714,0.08898285714285714,0.06848,0.06848,0.07590857142857142,0.05432,0.06724571428571428,0.06961142857142857,0.07398857142857143,0.07176,0.07434285714285714,0.049577142857142854,0.07153142857142857,0.06762285714285714,0.07434285714285714,0.13386285714285714,0.19714285714285715,0.11324571428571428,0.04734857142857143,0.05938285714285714
Approval Chamberlin-Courant (CC),0.07005314285714286,0.24382857142857142,0.06736,0.03188571428571429,0.06288,0.0,0.0,0.0,0.0,0.03188571428571429,0.0,0.03188571428571429,0.23986285714285716,0.03188571428571429,0.0,0.17003428571428572,0.20138285714285714,0.1343542857142857,0.20138285714285714,0.06485714285714286,0.06365714285714286,0.06961142857142857,0.07109714285714286,0.09177142857142857,0.07627428571428571,0.07445714285714286,0.07142857142857142,0.18522285714285713,0.07859428571428571,0.07176,0.06762285714285714,0.08118857142857143,0.09940571428571429,0.0748,0.07675428571428572,0.08307428571428571,0.07675428571428572,0.08118857142857143,0.08390857142857143,0.07675428571428572,0.08523428571428572,0.07675428571428572,0.07725714285714286,0.07434285714285714,0.07434285714285714,0.08898285714285714,0.08898285714285714,0.06848,0.06848,0.07590857142857142,0.05432,0.06724571428571428,0.06961142857142857,0.07398857142857143,0.07176,0.07434285714285714,0.049577142857142854,0.07153142857142857,0.06762285714285714,0.07434285714285714,0.13386285714285714,0.19714285714285715,0.11324571428571428,0.04734857142857143,0.05938285714285714
Lexicographic Chamberlin-Courant (lex-CC),0.07005314285714286,0.24382857142857142,0.06736,0.03188571428571429,0.06288,0.0,0.0,0.0,0.0,0.03188571428571429,0.0,0.03188571428571429,0.23986285714285716,0.03188571428571429,0.0,0.17003428571428572,0.20138285714285714,0.1343542857142857,0.20138285714285714,0.06485714285714286,0.06365714285714286,0.06961142857142857,0.07109714285714286,0.09177142857142857,0.07627428571428571,0.07445714285714286,0.07142857142857142,0.18522285714285713,0.07859428571428571,0.07176,0.06762285714285714,0.08118857142857143,0.09940571428571429,0.0748,0.07675428571428572,0.08307428571428571,0.07675428571428572,0.08118857142857143,0.08390857142857143,0.07675428571428572,0.08523428571428572,0.07675428571428572,0.07725714285714286,0.07434285714285714,0.07434285714285714,0.08898285714285714,0.08898285714285714,0.06848,0.06848,0.07590857142857142,0.05432,0.06724571428571428,0.06961142857142857,0.07398857142857143,0.07176,0.07434285714285714,0.049577142857142854,0.07153142857142857,0.06762285714285714,0.07434285714285714,0.13386285714285714,0.19714285714285715,0.11324571428571428,0.04734857142857143,0.05938285714285714
Sequential Approval Chamberlin-Courant (seq-CC),0.07696742857142856,0.24381714285714284,0.06625142857142857,0.0,0.06944,0.03188571428571429,0.03188571428571429,0.03188571428571429,0.03188571428571429,0.0,0.03188571428571429,0.0,0.24906285714285714,0.0,0.03188571428571429,0.17004571428571427,0.17986285714285713,0.13338285714285714,0.17986285714285713,0.057954285714285715,0.05984,0.06307428571428571,0.06419428571428572,0.08906285714285714,0.07114285714285715,0.06984,0.06834285714285715,0.17502857142857142,0.07269714285714286,0.06507428571428571,0.06744,0.07282285714285715,0.09590857142857143,0.07003428571428572,0.07060571428571429,0.07482285714285715,0.07060571428571429,0.07282285714285715,0.07494857142857143,0.07060571428571429,0.07588571428571429,0.07060571428571429,0.07438857142857143,0.06918857142857143,0.06918857142857143,0.08035428571428571,0.08035428571428571,0.06764571428571428,0.06764571428571428,0.07096,0.04166857142857143,0.06700571428571428,0.06307428571428571,0.06745142857142856,0.06507428571428571,0.06918857142857143,0.03670857142857143,0.06841142857142857,0.06744,0.06918857142857143,0.13289142857142858,0.17546285714285714,0.11248,0.04769142857142857,0.05582857142857143
Monroe's Approval Rule (Monroe),0.07005314285714286,0.24382857142857142,0.06736,0.03188571428571429,0.06288,0.0,0.0,0.0,0.0,0.03188571428571429,0.0,0.03188571428571429,0.23986285714285716,0.03188571428571429,0.0,0.17003428571428572,0.20138285714285714,0.1343542857142857,0.20138285714285714,0.06485714285714286,0.06365714285714286,0.06961142857142857,0.07109714285714286,0.09177142857142857,0.07627428571428571,0.07445714285714286,0.07142857142857142,0.18522285714285713,0.07859428571428571,0.07176,0.06762285714285714,0.08118857142857143,0.09940571428571429,0.0748,0.07675428571428572,0.08307428571428571,0.07675428571428572,0.08118857142857143,0.08390857142857143,0.07675428571428572,0.08523428571428572,0.07675428571428572,0.07725714285714286,0.07434285714285714,0.07434285714285714,0.08898285714285714,0.08898285714285714,0.06848,0.06848,0.07590857142857142,0.05432,0.06724571428571428,0.06961142857142857,0.07398857142857143,0.07176,0.07434285714285714,0.049577142857142854,0.07153142857142857,0.06762285714285714,0.07434285714285714,0.13386285714285714,0.19714285714285715,0.11324571428571428,0.04734857142857143,0.05938285714285714
