,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.4903125714285715,0.0,0.48933714285714286,0.49090285714285714,0.49051428571428574,0.4892,0.4899314285714286,0.49139428571428573,0.49016,0.49098285714285717,0.48965714285714285,0.49081142857142857,0.4926857142857143,0.4898057142857143,0.48926857142857144,0.4915542857142857
Borda ranking,0.05314571428571429,0.48933714285714286,0.0,0.11821714285714285,0.06053714285714286,0.04177142857142857,0.047017142857142855,0.32001142857142856,0.11193142857142857,0.2852571428571429,0.1649942857142857,0.09056,0.2908914285714286,0.049417142857142854,0.042434285714285716,0.24377142857142858
Plurality ranking,0.13672800000000002,0.49090285714285714,0.11821714285714285,0.0,0.09642285714285714,0.13216,0.13342857142857142,0.35628571428571426,0.17067428571428572,0.2856914285714286,0.21635428571428572,0.15557714285714286,0.3248114285714286,0.13382857142857144,0.13278857142857142,0.2733257142857143
STV,0.07380514285714286,0.49051428571428574,0.06053714285714286,0.09642285714285714,0.0,0.07070857142857143,0.07181714285714286,0.32688,0.12413714285714286,0.29730285714285715,0.17173714285714287,0.10547428571428571,0.28816,0.07403428571428572,0.07069714285714286,0.24921142857142858
Approval Voting (AV),0.060482857142857144,0.4892,0.04177142857142857,0.13216,0.07070857142857143,0.0,0.026811428571428573,0.31408,0.10614857142857143,0.28433142857142857,0.1592,0.08491428571428572,0.2827085714285714,0.03365714285714286,0.006034285714285714,0.24549714285714286
Proportional Approval Voting (PAV),0.06702800000000002,0.4899314285714286,0.047017142857142855,0.13342857142857142,0.07181714285714286,0.026811428571428573,0.0,0.30288,0.08712,0.2703542857142857,0.14786285714285713,0.07718857142857143,0.2825371428571429,0.016994285714285715,0.023474285714285715,0.24499428571428572
Approval Chamberlin-Courant (CC),0.32666457142857147,0.49139428571428573,0.32001142857142856,0.35628571428571426,0.32688,0.31408,0.30288,0.0,0.25816,0.4307885714285714,0.19497142857142857,0.3172114285714286,0.16937142857142856,0.3041142857142857,0.3129485714285714,0.39984
Lexicographic Chamberlin-Courant (lex-CC),0.1276942857142857,0.49016,0.11193142857142857,0.17067428571428572,0.12413714285714286,0.10614857142857143,0.08712,0.25816,0.0,0.24418285714285715,0.11178285714285714,0.11139428571428571,0.2580685714285714,0.08841142857142857,0.10414857142857142,0.2580342857142857
Sequential Approval Chamberlin-Courant (seq-CC),0.30380285714285715,0.49098285714285717,0.2852571428571429,0.2856914285714286,0.29730285714285715,0.28433142857142857,0.2703542857142857,0.4307885714285714,0.24418285714285715,0.0,0.3164914285714286,0.2708457142857143,0.4275542857142857,0.26715428571428573,0.2822742857142857,0.3770514285714286
Monroe's Approval Rule (Monroe),0.1720337142857143,0.48965714285714285,0.1649942857142857,0.21635428571428572,0.17173714285714287,0.1592,0.14786285714285713,0.19497142857142857,0.11178285714285714,0.3164914285714286,0.0,0.16216,0.21715428571428572,0.14938285714285715,0.15821714285714286,0.27626285714285714
Greedy Monroe,0.10951485714285715,0.49081142857142857,0.09056,0.15557714285714286,0.10547428571428571,0.08491428571428572,0.07718857142857143,0.3172114285714286,0.11139428571428571,0.2708457142857143,0.16216,0.0,0.29785142857142854,0.07658285714285715,0.08368,0.25025142857142857
Minimax Approval Voting (MAV),0.25903600000000004,0.4926857142857143,0.2908914285714286,0.3248114285714286,0.28816,0.2827085714285714,0.2825371428571429,0.16937142857142856,0.2580685714285714,0.4275542857142857,0.21715428571428572,0.29785142857142854,0.0,0.2836457142857143,0.28405714285714284,0.3489714285714286
Method of Equal Shares (aka Rule X) with Phragmén phase,0.06891371428571429,0.4898057142857143,0.049417142857142854,0.13382857142857144,0.07403428571428572,0.03365714285714286,0.016994285714285715,0.3041142857142857,0.08841142857142857,0.26715428571428573,0.14938285714285715,0.07658285714285715,0.2836457142857143,0.0,0.03110857142857143,0.24476571428571428
E Pluribus Hugo (EPH),0.061924571428571426,0.48926857142857144,0.042434285714285716,0.13278857142857142,0.07069714285714286,0.006034285714285714,0.023474285714285715,0.3129485714285714,0.10414857142857142,0.2822742857142857,0.15821714285714286,0.08368,0.28405714285714284,0.03110857142857143,0.0,0.24484571428571428
Random Serial Dictator,0.24734057142857144,0.4915542857142857,0.24377142857142858,0.2733257142857143,0.24921142857142858,0.24549714285714286,0.24499428571428572,0.39984,0.2580342857142857,0.3770514285714286,0.27626285714285714,0.25025142857142857,0.3489714285714286,0.24476571428571428,0.24484571428571428,0.0
NN,,0.4903125714285715,0.05314571428571429,0.13672800000000002,0.07380514285714286,0.060482857142857144,0.06702800000000002,0.32666457142857147,0.1276942857142857,0.30380285714285715,0.1720337142857143,0.10951485714285715,0.25903600000000004,0.06891371428571429,0.061924571428571426,0.24734057142857144
