,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.4925445714285715,0.0,0.49166857142857145,0.4881028571428571,0.4914857142857143,0.49097142857142856,0.49202285714285715,0.49038857142857145,0.4920457142857143,0.49072,0.4931885714285714,0.49070857142857144,0.4907885714285714,0.4921371428571429,0.4914057142857143,0.4909257142857143
Borda ranking,0.15730514285714287,0.49166857142857145,0.0,0.32305142857142854,0.16566857142857142,0.11916571428571429,0.13405714285714285,0.43306285714285714,0.24990857142857142,0.37617142857142855,0.21774857142857143,0.1724342857142857,0.38928,0.1438742857142857,0.12446857142857143,0.26486857142857145
Plurality ranking,0.37179028571428574,0.4881028571428571,0.32305142857142854,0.0,0.22522285714285714,0.36597714285714283,0.3626057142857143,0.48589714285714286,0.37629714285714283,0.39243428571428574,0.3911657142857143,0.3640114285714286,0.4512,0.3606285714285714,0.36354285714285717,0.4057942857142857
STV,0.21011085714285713,0.4914857142857143,0.16566857142857142,0.22522285714285714,0.0,0.19852571428571428,0.20681142857142856,0.44241142857142857,0.29304,0.4068685714285714,0.24556571428571428,0.23051428571428573,0.3982514285714286,0.2123657142857143,0.20184,0.29298285714285716
Approval Voting (AV),0.1348937142857143,0.49097142857142856,0.11916571428571429,0.36597714285714283,0.19852571428571428,0.0,0.07424,0.4247885714285714,0.23081142857142858,0.3726857142857143,0.1947657142857143,0.14442285714285713,0.38074285714285716,0.09770285714285715,0.029965714285714286,0.24725714285714287
Proportional Approval Voting (PAV),0.168912,0.49202285714285715,0.13405714285714285,0.3626057142857143,0.20681142857142856,0.07424,0.0,0.4084457142857143,0.17958857142857143,0.35333714285714285,0.17411428571428572,0.11708571428571428,0.36461714285714286,0.054502857142857145,0.05234285714285714,0.2537142857142857
Approval Chamberlin-Courant (CC),0.40134571428571425,0.49038857142857145,0.43306285714285714,0.48589714285714286,0.44241142857142857,0.4247885714285714,0.4084457142857143,0.0,0.35628571428571426,0.5750171428571429,0.3111085714285714,0.4388,0.10315428571428571,0.42168,0.42053714285714283,0.4543542857142857
Lexicographic Chamberlin-Courant (lex-CC),0.2875114285714286,0.4920457142857143,0.24990857142857142,0.37629714285714283,0.29304,0.23081142857142858,0.17958857142857143,0.35628571428571426,0.0,0.34402285714285713,0.20768,0.20637714285714287,0.30156571428571427,0.19368,0.2152457142857143,0.31616
Sequential Approval Chamberlin-Courant (seq-CC),0.42759028571428576,0.49072,0.37617142857142855,0.39243428571428574,0.4068685714285714,0.3726857142857143,0.35333714285714285,0.5750171428571429,0.34402285714285713,0.0,0.4176,0.3318285714285714,0.5311314285714286,0.3409714285714286,0.3648228571428571,0.4146742857142857
Monroe's Approval Rule (Monroe),0.2163497142857143,0.4931885714285714,0.21774857142857143,0.3911657142857143,0.24556571428571428,0.1947657142857143,0.17411428571428572,0.3111085714285714,0.20768,0.4176,0.0,0.21915428571428572,0.2886742857142857,0.19346285714285713,0.18917714285714285,0.28704
Greedy Monroe,0.22006971428571426,0.49070857142857144,0.1724342857142857,0.3640114285714286,0.23051428571428573,0.14442285714285713,0.11708571428571428,0.4388,0.20637714285714287,0.3318285714285714,0.21915428571428572,0.0,0.3940571428571429,0.09370285714285714,0.13301714285714286,0.26873142857142857
Minimax Approval Voting (MAV),0.344464,0.4907885714285714,0.38928,0.4512,0.3982514285714286,0.38074285714285716,0.36461714285714286,0.10315428571428571,0.30156571428571427,0.5311314285714286,0.2886742857142857,0.3940571428571429,0.0,0.3784571428571429,0.37614857142857144,0.40691428571428573
Method of Equal Shares (aka Rule X) with Phragmén phase,0.1856154285714286,0.4921371428571429,0.1438742857142857,0.3606285714285714,0.2123657142857143,0.09770285714285715,0.054502857142857145,0.42168,0.19368,0.3409714285714286,0.19346285714285713,0.09370285714285714,0.3784571428571429,0.0,0.08093714285714286,0.2575657142857143
E Pluribus Hugo (EPH),0.15018342857142855,0.4914057142857143,0.12446857142857143,0.36354285714285717,0.20184,0.029965714285714286,0.05234285714285714,0.42053714285714283,0.2152457142857143,0.3648228571428571,0.18917714285714285,0.13301714285714286,0.37614857142857144,0.08093714285714286,0.0,0.24973714285714285
Random Serial Dictator,0.2748228571428572,0.4909257142857143,0.26486857142857145,0.4057942857142857,0.29298285714285716,0.24725714285714287,0.2537142857142857,0.4543542857142857,0.31616,0.4146742857142857,0.28704,0.26873142857142857,0.40691428571428573,0.2575657142857143,0.24973714285714285,0.0
NN,,0.4925445714285715,0.15730514285714287,0.37179028571428574,0.21011085714285713,0.1348937142857143,0.168912,0.40134571428571425,0.2875114285714286,0.42759028571428576,0.2163497142857143,0.22006971428571426,0.344464,0.1856154285714286,0.15018342857142855,0.2748228571428572
