,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.4893005714285715,0.0,0.4892457142857143,0.4885257142857143,0.4891885714285714,0.4893257142857143,0.4892457142857143,0.4885028571428571,0.48904,0.4902742857142857,0.48898285714285716,0.48942857142857144,0.48854857142857144,0.48925714285714283,0.4893142857142857,0.48744
Borda ranking,0.0016240000000000002,0.4892457142857143,0.0,0.03632,0.00784,0.0018057142857142857,6.857142857142857e-05,0.4421942857142857,0.002,0.38139428571428574,0.18522285714285713,0.004662857142857143,0.4420342857142857,3.4285714285714284e-05,0.0016457142857142857,0.21154285714285714
Plurality ranking,0.03662685714285714,0.4885257142857143,0.03632,0.0,0.032811428571428575,0.03669714285714286,0.03634285714285714,0.4494057142857143,0.03769142857142857,0.37733714285714287,0.20037714285714286,0.03893714285714286,0.4492457142857143,0.03628571428571428,0.03653714285714286,0.22242285714285714
STV,0.008596571428571427,0.4891885714285714,0.00784,0.032811428571428575,0.0,0.008628571428571428,0.007885714285714286,0.4420685714285714,0.009405714285714286,0.38220571428571426,0.18691428571428573,0.011782857142857144,0.44190857142857143,0.007851428571428572,0.008468571428571428,0.21426285714285714
Approval Voting (AV),0.00020914285714285718,0.4893257142857143,0.0018057142857142857,0.03669714285714286,0.008628571428571428,0.0,0.0017371428571428572,0.4423314285714286,0.0036114285714285714,0.3816685714285714,0.18537142857142858,0.0061257142857142855,0.44217142857142855,0.0017714285714285714,0.00016,0.21138285714285715
Proportional Approval Voting (PAV),0.0015554285714285718,0.4892457142857143,6.857142857142857e-05,0.03634285714285714,0.007885714285714286,0.0017371428571428572,0.0,0.44224,0.0020457142857142857,0.3813714285714286,0.18526857142857142,0.004685714285714286,0.44208,5.714285714285714e-05,0.001577142857142857,0.21152
Approval Chamberlin-Courant (CC),0.4423394285714286,0.4885028571428571,0.4421942857142857,0.4494057142857143,0.4420685714285714,0.4423314285714286,0.44224,0.0,0.44190857142857143,0.7089485714285715,0.32827428571428574,0.44486857142857145,0.00029714285714285715,0.4422057142857143,0.44241142857142857,0.4596342857142857
Lexicographic Chamberlin-Courant (lex-CC),0.0034731428571428574,0.48904,0.002,0.03769142857142857,0.009405714285714286,0.0036114285714285714,0.0020457142857142857,0.44190857142857143,0.0,0.3816342857142857,0.18529142857142858,0.005885714285714286,0.44174857142857143,0.002,0.0034514285714285714,0.21216
Sequential Approval Chamberlin-Courant (seq-CC),0.38159199999999993,0.4902742857142857,0.38139428571428574,0.37733714285714287,0.38220571428571426,0.3816685714285714,0.3813714285714286,0.7089485714285715,0.3816342857142857,0.0,0.5152914285714286,0.3791542857142857,0.7087314285714286,0.38141714285714284,0.3816685714285714,0.4038514285714286
Monroe's Approval Rule (Monroe),0.18533257142857149,0.48898285714285716,0.18522285714285713,0.20037714285714286,0.18691428571428573,0.18537142857142858,0.18526857142857142,0.32827428571428574,0.18529142857142858,0.5152914285714286,0.0,0.1886857142857143,0.32820571428571427,0.18522285714285713,0.18545142857142857,0.28957714285714287
Greedy Monroe,0.006001142857142858,0.48942857142857144,0.004662857142857143,0.03893714285714286,0.011782857142857144,0.0061257142857142855,0.004685714285714286,0.44486857142857145,0.005885714285714286,0.3791542857142857,0.1886857142857143,0.0,0.44470857142857145,0.004628571428571429,0.005965714285714286,0.21312
Minimax Approval Voting (MAV),0.4421794285714285,0.48854857142857144,0.4420342857142857,0.4492457142857143,0.44190857142857143,0.44217142857142855,0.44208,0.00029714285714285715,0.44174857142857143,0.7087314285714286,0.32820571428571427,0.44470857142857145,0.0,0.44204571428571426,0.4422514285714286,0.45938285714285715
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0015897142857142859,0.48925714285714283,3.4285714285714284e-05,0.03628571428571428,0.007851428571428572,0.0017714285714285714,5.714285714285714e-05,0.4422057142857143,0.002,0.38141714285714284,0.18522285714285713,0.004628571428571429,0.44204571428571426,0.0,0.0016114285714285714,0.21157714285714285
E Pluribus Hugo (EPH),0.00035314285714285715,0.4893142857142857,0.0016457142857142857,0.03653714285714286,0.008468571428571428,0.00016,0.001577142857142857,0.44241142857142857,0.0034514285714285714,0.3816685714285714,0.18545142857142857,0.005965714285714286,0.4422514285714286,0.0016114285714285714,0.0,0.21138285714285715
Random Serial Dictator,0.21144114285714286,0.48744,0.21154285714285714,0.22242285714285714,0.21426285714285714,0.21138285714285715,0.21152,0.4596342857142857,0.21216,0.4038514285714286,0.28957714285714287,0.21312,0.45938285714285715,0.21157714285714285,0.21138285714285715,0.0
NN,,0.4893005714285715,0.0016240000000000002,0.03662685714285714,0.008596571428571427,0.00020914285714285718,0.0015554285714285718,0.4423394285714286,0.0034731428571428574,0.38159199999999993,0.18533257142857149,0.006001142857142858,0.4421794285714285,0.0015897142857142859,0.00035314285714285715,0.21144114285714286
