,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.08650914285714287,0.0,0.7914171428571428,0.4896342857142857,0.15813714285714287,0.3825257142857143,0.2119542857142857,0.1566742857142857,0.17246857142857142,0.40977142857142856,0.2928342857142857,0.51096,0.2384,0.22694857142857142,0.35717714285714286,0.19949714285714285,0.16194285714285714,0.27949714285714283
Max Violations Committee,0.7962188571428571,0.7914171428571428,0.0,0.48894857142857145,0.7532342857142857,0.5773714285714285,0.7223885714285714,0.7648342857142857,0.7492571428571428,0.5726628571428571,0.6595542857142858,0.46552,0.69936,0.7040457142857143,0.6161142857142857,0.7269485714285714,0.7584228571428572,0.6624342857142858
Random Choice,0.4901714285714286,0.4896342857142857,0.48894857142857145,0.0,0.4898857142857143,0.48782857142857144,0.4890514285714286,0.4903085714285714,0.48984,0.48926857142857144,0.4894742857142857,0.4896,0.48989714285714286,0.4899085714285714,0.4890514285714286,0.4898742857142857,0.48986285714285716,0.4884914285714286
Borda ranking,0.15040057142857147,0.15813714285714287,0.7532342857142857,0.4898857142857143,0.0,0.36025142857142856,0.1734857142857143,0.11985142857142857,0.12688,0.4942971428571429,0.2530742857142857,0.4330514285714286,0.31656,0.17395428571428573,0.38974857142857144,0.1457257142857143,0.12166857142857143,0.2638857142857143
Plurality ranking,0.39820971428571417,0.3825257142857143,0.5773714285714285,0.48782857142857144,0.36025142857142856,0.0,0.26536,0.41168,0.4098057142857143,0.5758742857142857,0.4220685714285714,0.39430857142857145,0.47802285714285714,0.40586285714285714,0.4900457142857143,0.4047085714285714,0.4108914285714286,0.4376
STV,0.22496171428571426,0.2119542857142857,0.7223885714285714,0.4890514285714286,0.1734857142857143,0.26536,0.0,0.23526857142857144,0.23873142857142857,0.4895771428571429,0.3159657142857143,0.45546285714285717,0.3264,0.25961142857142855,0.40475428571428573,0.24633142857142856,0.23660571428571428,0.30933714285714287
Approval Voting (AV),0.130128,0.1566742857142857,0.7648342857142857,0.4903085714285714,0.11985142857142857,0.41168,0.23526857142857144,0.0,0.05165714285714286,0.4850285714285714,0.23097142857142858,0.43932571428571426,0.30028571428571427,0.14077714285714285,0.38024,0.10202285714285714,0.017417142857142857,0.24622857142857144
Proportional Approval Voting (PAV),0.15197542857142854,0.17246857142857142,0.7492571428571428,0.48984,0.12688,0.4098057142857143,0.23873142857142857,0.05165714285714286,0.0,0.48642285714285716,0.19729142857142856,0.4355085714285714,0.30386285714285716,0.13166857142857144,0.3708914285714286,0.06699428571428571,0.038662857142857145,0.24997714285714287
Approval Chamberlin-Courant (CC),0.3967,0.40977142857142856,0.5726628571428571,0.48926857142857144,0.4942971428571429,0.5758742857142857,0.4895771428571429,0.4850285714285714,0.48642285714285716,0.0,0.46891428571428573,0.8331542857142857,0.20765714285714285,0.5218057142857143,0.24858285714285713,0.49637714285714285,0.4867885714285714,0.48984
Lexicographic Chamberlin-Courant (lex-CC),0.28485371428571427,0.2928342857142857,0.6595542857142858,0.4894742857142857,0.2530742857142857,0.4220685714285714,0.3159657142857143,0.23097142857142858,0.19729142857142856,0.46891428571428573,0.0,0.4495085714285714,0.3493942857142857,0.23347428571428572,0.29956571428571427,0.19316571428571427,0.22214857142857142,0.31689142857142855
