,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.49022857142857146,0.0,0.49176,0.49182857142857145,0.4909942857142857,0.4904914285714286,0.49113142857142855,0.4869942857142857,0.4906057142857143,0.49256,0.4875085714285714,0.4911885714285714,0.48888,0.49122285714285713,0.49112,0.49232
Borda ranking,0.08319714285714284,0.49176,0.0,0.34130285714285713,0.27364571428571427,0.10109714285714286,0.10099428571428572,0.49109714285714284,0.17452571428571428,0.42714285714285716,0.4518857142857143,0.18601142857142858,0.41694857142857145,0.14348571428571427,0.09752,0.3380914285714286
Plurality ranking,0.35104914285714284,0.49182857142857145,0.34130285714285713,0.0,0.15470857142857142,0.36170285714285716,0.37201142857142855,0.5134057142857142,0.39646857142857145,0.4567085714285714,0.4845257142857143,0.39338285714285715,0.4872114285714286,0.3854742857142857,0.36526857142857144,0.43801142857142855
STV,0.2899257142857143,0.4909942857142857,0.27364571428571427,0.15470857142857142,0.0,0.3001942857142857,0.30661714285714287,0.4849942857142857,0.3359657142857143,0.46442285714285714,0.45288,0.33973714285714285,0.44846857142857144,0.32283428571428574,0.3016342857142857,0.40691428571428573
Approval Voting (AV),0.09132457142857142,0.4904914285714286,0.10109714285714286,0.36170285714285716,0.3001942857142857,0.0,0.08214857142857143,0.47979428571428573,0.17477714285714285,0.43853714285714285,0.43758857142857144,0.18758857142857144,0.41798857142857143,0.14201142857142857,0.03294857142857143,0.33096
Proportional Approval Voting (PAV),0.12943485714285713,0.49113142857142855,0.10099428571428572,0.37201142857142855,0.30661714285714287,0.08214857142857143,0.0,0.4845714285714286,0.10622857142857142,0.4322857142857143,0.4452114285714286,0.16504,0.41098285714285715,0.08713142857142857,0.06018285714285714,0.33590857142857145
Approval Chamberlin-Courant (CC),0.4716885714285714,0.4869942857142857,0.49109714285714284,0.5134057142857142,0.4849942857142857,0.47979428571428573,0.4845714285714286,0.0,0.4844685714285714,0.8488685714285714,0.06241142857142857,0.5191085714285715,0.1792342857142857,0.4884,0.4826285714285714,0.48953142857142856
Lexicographic Chamberlin-Courant (lex-CC),0.20375428571428578,0.4906057142857143,0.17452571428571428,0.39646857142857145,0.3359657142857143,0.17477714285714285,0.10622857142857142,0.4844685714285714,0.0,0.4320342857142857,0.44962285714285716,0.18184,0.4068457142857143,0.09832,0.15785142857142856,0.3502057142857143
Sequential Approval Chamberlin-Courant (seq-CC),0.44815085714285713,0.49256,0.42714285714285716,0.4567085714285714,0.46442285714285714,0.43853714285714285,0.4322857142857143,0.8488685714285714,0.4320342857142857,0.0,0.8036571428571428,0.3990971428571429,0.71792,0.42744,0.4353142857142857,0.4430857142857143
Monroe's Approval Rule (Monroe),0.43102228571428575,0.4875085714285714,0.4518857142857143,0.4845257142857143,0.45288,0.43758857142857144,0.4452114285714286,0.06241142857142857,0.44962285714285716,0.8036571428571428,0.0,0.48474285714285714,0.17362285714285713,0.45246857142857144,0.4416685714285714,0.46617142857142857
Greedy Monroe,0.20659371428571427,0.4911885714285714,0.18601142857142858,0.39338285714285715,0.33973714285714285,0.18758857142857144,0.16504,0.5191085714285715,0.18184,0.3990971428571429,0.48474285714285714,0.0,0.44841142857142857,0.1615542857142857,0.17973714285714285,0.3527657142857143
Minimax Approval Voting (MAV),0.411108,0.48888,0.41694857142857145,0.4872114285714286,0.44846857142857144,0.41798857142857143,0.41098285714285715,0.1792342857142857,0.4068457142857143,0.71792,0.17362285714285713,0.44841142857142857,0.0,0.4144,0.4156114285714286,0.4539314285714286
Method of Equal Shares (aka Rule X) with Phragmén phase,0.1728554285714286,0.49122285714285713,0.14348571428571427,0.3854742857142857,0.32283428571428574,0.14201142857142857,0.08713142857142857,0.4884,0.09832,0.42744,0.45246857142857144,0.1615542857142857,0.4144,0.0,0.12649142857142856,0.3427657142857143
E Pluribus Hugo (EPH),0.10706914285714283,0.49112,0.09752,0.36526857142857144,0.3016342857142857,0.03294857142857143,0.06018285714285714,0.4826285714285714,0.15785142857142856,0.4353142857142857,0.4416685714285714,0.17973714285714285,0.4156114285714286,0.12649142857142856,0.0,0.3326514285714286
Random Serial Dictator,0.3377577142857143,0.49232,0.3380914285714286,0.43801142857142855,0.40691428571428573,0.33096,0.33590857142857145,0.48953142857142856,0.3502057142857143,0.4430857142857143,0.46617142857142857,0.3527657142857143,0.4539314285714286,0.3427657142857143,0.3326514285714286,0.0
NN,,0.49022857142857146,0.08319714285714284,0.35104914285714284,0.2899257142857143,0.09132457142857142,0.12943485714285713,0.4716885714285714,0.20375428571428578,0.44815085714285713,0.43102228571428575,0.20659371428571427,0.411108,0.1728554285714286,0.10706914285714283,0.3377577142857143
