,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.4082017142857143,0.0,0.40852571428571427,0.4068342857142857,0.4088457142857143,0.40734857142857145,0.4075542857142857,0.40970285714285715,0.40777142857142856,0.40721142857142856,0.40970285714285715,0.40768,0.40970285714285715,0.4076342857142857,0.40754285714285715,0.40747428571428573
Borda ranking,0.20362914285714284,0.40852571428571427,0.0,0.2628457142857143,0.24033142857142858,0.18923428571428572,0.18854857142857143,0.4125942857142857,0.21212571428571428,0.3733142857142857,0.4125942857142857,0.2899771428571429,0.4125942857142857,0.20629714285714285,0.18926857142857142,0.3751542857142857
Plurality ranking,0.32593028571428573,0.4068342857142857,0.2628457142857143,0.0,0.10857142857142857,0.3552342857142857,0.35209142857142856,0.4347542857142857,0.3574742857142857,0.37060571428571426,0.4347542857142857,0.3704,0.4347542857142857,0.35426285714285716,0.35510857142857144,0.3961485714285714
STV,0.295124,0.4088457142857143,0.24033142857142858,0.10857142857142857,0.0,0.33721142857142855,0.3368457142857143,0.4045714285714286,0.3436,0.39613714285714285,0.4045714285714286,0.3667657142857143,0.4045714285714286,0.3401828571428571,0.3372685714285714,0.39417142857142856
Approval Voting (AV),0.2495845714285714,0.40734857142857145,0.18923428571428572,0.3552342857142857,0.33721142857142855,0.0,0.03741714285714286,0.38627428571428574,0.11708571428571428,0.39664,0.38627428571428574,0.2633257142857143,0.38627428571428574,0.11093714285714286,0.003954285714285714,0.36788571428571426
Proportional Approval Voting (PAV),0.25883885714285715,0.4075542857142857,0.18854857142857143,0.35209142857142856,0.3368457142857143,0.03741714285714286,0.0,0.40278857142857144,0.08460571428571428,0.37946285714285716,0.40278857142857144,0.25984,0.40278857142857144,0.07901714285714286,0.034948571428571426,0.3689142857142857
Approval Chamberlin-Courant (CC),0.2471057142857143,0.40970285714285715,0.4125942857142857,0.4347542857142857,0.4045714285714286,0.38627428571428574,0.40278857142857144,0.0,0.40117714285714284,0.5714285714285714,0.0,0.44472,0.0,0.4083657142857143,0.38834285714285716,0.40778285714285717
Lexicographic Chamberlin-Courant (lex-CC),0.27464457142857146,0.40777142857142856,0.21212571428571428,0.3574742857142857,0.3436,0.11708571428571428,0.08460571428571428,0.40117714285714284,0.0,0.3784342857142857,0.40117714285714284,0.27173714285714284,0.40117714285714284,0.04910857142857143,0.11516571428571429,0.3729257142857143
Sequential Approval Chamberlin-Courant (seq-CC),0.4609702857142857,0.40721142857142856,0.3733142857142857,0.37060571428571426,0.39613714285714285,0.39664,0.37946285714285716,0.5714285714285714,0.3784342857142857,0.0,0.5714285714285714,0.33836571428571427,0.5714285714285714,0.37266285714285713,0.3957942857142857,0.3977942857142857
Monroe's Approval Rule (Monroe),0.2471057142857143,0.40970285714285715,0.4125942857142857,0.4347542857142857,0.4045714285714286,0.38627428571428574,0.40278857142857144,0.0,0.40117714285714284,0.5714285714285714,0.0,0.44472,0.0,0.4083657142857143,0.38834285714285716,0.40778285714285717
Greedy Monroe,0.3451914285714286,0.40768,0.2899771428571429,0.3704,0.3667657142857143,0.2633257142857143,0.25984,0.44472,0.27173714285714284,0.33836571428571427,0.44472,0.0,0.44472,0.2669485714285714,0.2629485714285714,0.38322285714285714
Minimax Approval Voting (MAV),0.2471057142857143,0.40970285714285715,0.4125942857142857,0.4347542857142857,0.4045714285714286,0.38627428571428574,0.40278857142857144,0.0,0.40117714285714284,0.5714285714285714,0.0,0.44472,0.0,0.4083657142857143,0.38834285714285716,0.40778285714285717
Method of Equal Shares (aka Rule X) with Phragmén phase,0.27433028571428575,0.4076342857142857,0.20629714285714285,0.35426285714285716,0.3401828571428571,0.11093714285714286,0.07901714285714286,0.4083657142857143,0.04910857142857143,0.37266285714285713,0.4083657142857143,0.2669485714285714,0.4083657142857143,0.0,0.10940571428571429,0.37149714285714286
E Pluribus Hugo (EPH),0.2505057142857143,0.40754285714285715,0.18926857142857142,0.35510857142857144,0.3372685714285714,0.003954285714285714,0.034948571428571426,0.38834285714285716,0.11516571428571429,0.3957942857142857,0.38834285714285716,0.2629485714285714,0.38834285714285716,0.10940571428571429,0.0,0.3678742857142857
Random Serial Dictator,0.38566342857142855,0.40747428571428573,0.3751542857142857,0.3961485714285714,0.39417142857142856,0.36788571428571426,0.3689142857142857,0.40778285714285717,0.3729257142857143,0.3977942857142857,0.40778285714285717,0.38322285714285714,0.40778285714285717,0.37149714285714286,0.3678742857142857,0.0
NN,,0.4082017142857143,0.20362914285714284,0.32593028571428573,0.295124,0.2495845714285714,0.25883885714285715,0.2471057142857143,0.27464457142857146,0.4609702857142857,0.2471057142857143,0.3451914285714286,0.2471057142857143,0.27433028571428575,0.2505057142857143,0.38566342857142855
