,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,3.314285714285714e-05,0.0,0.5714285714285714,0.40821714285714283,9.142857142857143e-05,0.03371428571428572,0.00033142857142857144,0.0,4.5714285714285716e-05,0.4085942857142857,9.142857142857143e-05,0.40941714285714287,0.35124571428571427,0.00768,0.21362285714285714,9.142857142857143e-05,0.0,0.14068571428571428
Max Violations Committee,0.5714285714285715,0.5714285714285714,0.0,0.40822857142857144,0.5714285714285714,0.57112,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42372571428571426,0.5714285714285714,0.3948457142857143,0.44401142857142856,0.5714285714285714,0.5703542857142857,0.5714285714285714,0.5714285714285714,0.5704457142857143
Random Choice,0.4082062857142857,0.40821714285714283,0.40822857142857144,0.0,0.40821714285714283,0.40812571428571426,0.40824,0.40821714285714283,0.40819428571428573,0.4088914285714286,0.40821714285714283,0.4061485714285714,0.40829714285714286,0.4079885714285714,0.4085371428571429,0.40821714285714283,0.40821714285714283,0.40826285714285715
Borda ranking,6.057142857142858e-05,9.142857142857143e-05,0.5714285714285714,0.40821714285714283,0.0,0.03368,0.00026285714285714286,9.142857142857143e-05,4.5714285714285716e-05,0.4086057142857143,0.0,0.40941714285714287,0.3512571428571429,0.007657142857142857,0.2136,0.0,9.142857142857143e-05,0.14070857142857143
Plurality ranking,0.03368342857142857,0.03371428571428572,0.57112,0.40812571428571426,0.03368,0.0,0.033577142857142854,0.03371428571428572,0.033691428571428574,0.4164685714285714,0.03368,0.40098285714285714,0.3613257142857143,0.03972571428571429,0.23025142857142858,0.03368,0.03371428571428572,0.15633142857142857
STV,0.00029828571428571415,0.00033142857142857144,0.5714285714285714,0.40824,0.00026285714285714286,0.033577142857142854,0.0,0.00033142857142857144,0.00028571428571428574,0.40861714285714285,0.00026285714285714286,0.40946285714285713,0.35124571428571427,0.007782857142857143,0.21369142857142856,0.00026285714285714286,0.00033142857142857144,0.14078857142857143
Approval Voting (AV),3.314285714285714e-05,0.0,0.5714285714285714,0.40821714285714283,9.142857142857143e-05,0.03371428571428572,0.00033142857142857144,0.0,4.5714285714285716e-05,0.4085942857142857,9.142857142857143e-05,0.40941714285714287,0.35124571428571427,0.00768,0.21362285714285714,9.142857142857143e-05,0.0,0.14068571428571428
Proportional Approval Voting (PAV),1.4857142857142855e-05,4.5714285714285716e-05,0.5714285714285714,0.40819428571428573,4.5714285714285716e-05,0.033691428571428574,0.00028571428571428574,4.5714285714285716e-05,0.0,0.4085942857142857,4.5714285714285716e-05,0.40940571428571426,0.35124571428571427,0.007657142857142857,0.21361142857142856,4.5714285714285716e-05,4.5714285714285716e-05,0.14068571428571428
Approval Chamberlin-Courant (CC),0.40860571428571435,0.4085942857142857,0.42372571428571426,0.4088914285714286,0.4086057142857143,0.4164685714285714,0.40861714285714285,0.4085942857142857,0.4085942857142857,0.0,0.4086057142857143,0.5714285714285714,0.06757714285714286,0.4113257142857143,0.28603428571428574,0.4086057142857143,0.4085942857142857,0.4077485714285714
Lexicographic Chamberlin-Courant (lex-CC),6.057142857142858e-05,9.142857142857143e-05,0.5714285714285714,0.40821714285714283,0.0,0.03368,0.00026285714285714286,9.142857142857143e-05,4.5714285714285716e-05,0.4086057142857143,0.0,0.40941714285714287,0.3512571428571429,0.007657142857142857,0.2136,0.0,9.142857142857143e-05,0.14070857142857143
Sequential Approval Chamberlin-Courant (seq-CC),0.4094051428571429,0.40941714285714287,0.3948457142857143,0.4061485714285714,0.40941714285714287,0.40098285714285714,0.40946285714285713,0.40941714285714287,0.40940571428571426,0.5714285714285714,0.40941714285714287,0.0,0.5444114285714285,0.40662857142857145,0.5035542857142857,0.40941714285714287,0.40941714285714287,0.40882285714285715
Monroe's Approval Rule (Monroe),0.351257142857143,0.35124571428571427,0.44401142857142856,0.40829714285714286,0.3512571428571429,0.3613257142857143,0.35124571428571427,0.35124571428571427,0.35124571428571427,0.06757714285714286,0.3512571428571429,0.5444114285714285,0.0,0.3536114285714286,0.27682285714285715,0.3512571428571429,0.35124571428571427,0.3634514285714286
Greedy Monroe,0.007670857142857141,0.00768,0.5714285714285714,0.4079885714285714,0.007657142857142857,0.03972571428571429,0.007782857142857143,0.00768,0.007657142857142857,0.4113257142857143,0.007657142857142857,0.40662857142857145,0.3536114285714286,0.0,0.2173257142857143,0.007657142857142857,0.00768,0.14317714285714286
Minimax Approval Voting (MAV),0.213612,0.21362285714285714,0.5703542857142857,0.4085371428571429,0.2136,0.23025142857142858,0.21369142857142856,0.21362285714285714,0.21361142857142856,0.28603428571428574,0.2136,0.5035542857142857,0.27682285714285715,0.2173257142857143,0.0,0.2136,0.21362285714285714,0.2495542857142857
Method of Equal Shares (aka Rule X) with Phragmén phase,6.057142857142858e-05,9.142857142857143e-05,0.5714285714285714,0.40821714285714283,0.0,0.03368,0.00026285714285714286,9.142857142857143e-05,4.5714285714285716e-05,0.4086057142857143,0.0,0.40941714285714287,0.3512571428571429,0.007657142857142857,0.2136,0.0,9.142857142857143e-05,0.14070857142857143
E Pluribus Hugo (EPH),3.314285714285714e-05,0.0,0.5714285714285714,0.40821714285714283,9.142857142857143e-05,0.03371428571428572,0.00033142857142857144,0.0,4.5714285714285716e-05,0.4085942857142857,9.142857142857143e-05,0.40941714285714287,0.35124571428571427,0.00768,0.21362285714285714,9.142857142857143e-05,0.0,0.14068571428571428
