,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.03377828571428571,0.0,0.2857142857142857,0.24404571428571428,0.05699428571428571,0.19180571428571427,0.1437257142857143,0.08364571428571428,0.08364571428571428,0.23689142857142856,0.08364571428571428,0.25041142857142856,0.23683428571428572,0.1357142857142857,0.23689142857142856,0.08518857142857143,0.08364571428571428,0.17002285714285714
Max Violations Committee,0.28563885714285714,0.2857142857142857,0.0,0.24474285714285715,0.28546285714285713,0.28344,0.2852685714285714,0.28432,0.28432,0.25538285714285713,0.28432,0.22830857142857142,0.25539428571428574,0.28157714285714286,0.25538285714285713,0.28403428571428574,0.28432,0.2797257142857143
Random Choice,0.24411085714285713,0.24404571428571428,0.24474285714285715,0.0,0.24411428571428573,0.2451542857142857,0.2445257142857143,0.24445714285714285,0.24445714285714285,0.24432,0.24445714285714285,0.24517714285714284,0.24432,0.24488,0.24432,0.24429714285714285,0.24445714285714285,0.24549714285714286
Borda ranking,0.05604628571428572,0.05699428571428571,0.28546285714285713,0.24411428571428573,0.0,0.18058285714285716,0.12761142857142857,0.08098285714285715,0.08098285714285715,0.24582857142857142,0.08098285714285715,0.24307428571428571,0.24577142857142859,0.12885714285714286,0.24582857142857142,0.08101714285714286,0.08098285714285715,0.16774857142857144
Plurality ranking,0.20003028571428572,0.19180571428571427,0.28344,0.2451542857142857,0.18058285714285716,0.0,0.11772571428571428,0.21062857142857142,0.21062857142857142,0.2537028571428571,0.21062857142857142,0.23470857142857143,0.2536685714285714,0.2185257142857143,0.2537028571428571,0.21019428571428572,0.21062857142857142,0.22909714285714286
STV,0.15648285714285717,0.1437257142857143,0.2852685714285714,0.2445257142857143,0.12761142857142857,0.11772571428571428,0.0,0.17629714285714285,0.17629714285714285,0.24464,0.17629714285714285,0.24499428571428572,0.24458285714285713,0.19187428571428572,0.24464,0.17683428571428572,0.17629714285714285,0.20739428571428573
Approval Voting (AV),0.06086914285714286,0.08364571428571428,0.28432,0.24445714285714285,0.08098285714285715,0.21062857142857142,0.17629714285714285,0.0,0.0,0.24426285714285714,0.0,0.24634285714285714,0.24420571428571428,0.11194285714285715,0.24426285714285714,0.01496,0.0,0.15874285714285713
Proportional Approval Voting (PAV),0.06086914285714286,0.08364571428571428,0.28432,0.24445714285714285,0.08098285714285715,0.21062857142857142,0.17629714285714285,0.0,0.0,0.24426285714285714,0.0,0.24634285714285714,0.24420571428571428,0.11194285714285715,0.24426285714285714,0.01496,0.0,0.15874285714285713
Approval Chamberlin-Courant (CC),0.2418485714285714,0.23689142857142856,0.25538285714285713,0.24432,0.24582857142857142,0.2537028571428571,0.24464,0.24426285714285714,0.24426285714285714,0.0,0.24426285714285714,0.2857142857142857,5.714285714285714e-05,0.2536,0.0,0.24848,0.24426285714285714,0.24529142857142858
Lexicographic Chamberlin-Courant (lex-CC),0.06086914285714286,0.08364571428571428,0.28432,0.24445714285714285,0.08098285714285715,0.21062857142857142,0.17629714285714285,0.0,0.0,0.24426285714285714,0.0,0.24634285714285714,0.24420571428571428,0.11194285714285715,0.24426285714285714,0.01496,0.0,0.15874285714285713
Sequential Approval Chamberlin-Courant (seq-CC),0.2482017142857143,0.25041142857142856,0.22830857142857142,0.24517714285714284,0.24307428571428571,0.23470857142857143,0.24499428571428572,0.24634285714285714,0.24634285714285714,0.2857142857142857,0.24634285714285714,0.0,0.2857142857142857,0.23450285714285715,0.2857142857142857,0.24193142857142858,0.24634285714285714,0.24370285714285714
