Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,3.076923076923077e-06,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Min Violations Committee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Violations Committee,0.2137476923076923,0.88932,1.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.88932,0.0,4e-05,0.0
Random Choice,0.08795384615384617,0.17968,0.78392,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.17968,0.0,8e-05,0.0
Borda ranking,0.003578461538461538,0.0,0.04652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0646676923076923,0.06616,0.70836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06616,0.0,0.0,0.0
STV,0.040516923076923075,0.0,0.52672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.06477846153846153,0.06568,0.71076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06568,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.06477846153846153,0.06568,0.71076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06568,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.06477846153846153,0.06568,0.71076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06568,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.06477846153846153,0.06568,0.71076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06568,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0646676923076923,0.06616,0.70836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06616,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.06477846153846153,0.06568,0.71076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06568,0.0,0.0,0.0
Greedy Monroe,0.0646676923076923,0.06616,0.70836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06616,0.0,0.0,0.0
