Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0010553846153846154,0.0,0.00076,0.00104,0.0,0.00104,0.0,0.00104,0.00484,0.0,0.00156,0.0,0.00344,0.0
NN-1,0.0010553846153846156,0.0,0.00112,0.00104,0.0,0.00104,0.0,0.00104,0.00452,0.0,0.00156,0.0,0.0034,0.0
NN-2,0.0010953846153846153,0.0,0.00144,0.00104,0.0,0.00104,0.0,0.00104,0.00456,0.0,0.0018,0.0,0.00332,0.0
NN-3,0.0013907692307692306,0.0,0.0014,0.002,0.0,0.002,0.0,0.002,0.00568,0.0,0.00164,0.0,0.00336,0.0
NN-4,0.001246153846153846,0.0,0.00144,0.00156,0.0,0.00156,0.0,0.00156,0.00544,0.0,0.00132,0.0,0.00332,0.0
NN-5,0.0012030769230769232,0.0,0.00088,0.00156,0.0,0.00156,0.0,0.00156,0.00532,0.0,0.00128,0.0,0.00348,0.0
NN-6,0.0013169230769230769,0.0,0.00112,0.00156,0.0,0.00156,0.0,0.00156,0.00584,0.0,0.00156,0.0,0.00392,0.0
NN-7,0.0012553846153846152,0.0,0.0014,0.00156,0.0,0.00156,0.0,0.00156,0.00548,0.0,0.00132,0.0,0.00344,0.0
NN-8,0.001196923076923077,0.0,0.0012,0.00132,0.0,0.00132,0.0,0.00132,0.00548,0.0,0.00156,0.0,0.00336,0.0
NN-9,0.0013230769230769231,0.0,0.00148,0.00156,0.0,0.00156,0.0,0.00156,0.00556,0.0,0.00188,0.0,0.0036,0.0
NN-10,0.001073846153846154,0.0,0.00148,0.00104,0.0,0.00104,0.0,0.00104,0.00472,0.0,0.00132,0.0,0.00332,0.0
NN-11,0.0013723076923076924,0.0,0.00152,0.00184,0.0,0.00184,0.0,0.00184,0.00572,0.0,0.0016,0.0,0.00348,0.0
NN-12,0.0012953846153846153,0.0,0.0014,0.00156,0.0,0.00156,0.0,0.00156,0.00552,0.0,0.00156,0.0,0.00368,0.0
NN-13,0.0014184615384615386,0.0,0.0024,0.00164,0.0,0.00164,0.0,0.00164,0.006,0.0,0.0016,0.0,0.00352,0.0
NN-14,0.0011046153846153847,0.0,0.00176,0.00104,0.0,0.00104,0.0,0.00104,0.0048,0.0,0.0016,0.0,0.00308,0.0
NN-15,0.0014123076923076923,0.0,0.00076,0.00212,0.0,0.00212,0.0,0.00212,0.00604,0.0,0.00156,0.0,0.00364,0.0
NN-16,0.001390769230769231,0.0,0.00172,0.00184,0.0,0.00184,0.0,0.00184,0.00576,0.0,0.00156,0.0,0.00352,0.0
NN-17,0.0011384615384615385,0.0,0.00096,0.00132,0.0,0.00132,0.0,0.00132,0.00508,0.0,0.0016,0.0,0.0032,0.0
NN-18,0.001123076923076923,0.0,0.00212,0.00104,0.0,0.00104,0.0,0.00104,0.00492,0.0,0.00132,0.0,0.00312,0.0
NN-19,0.0012123076923076922,0.0,0.00076,0.00156,0.0,0.00156,0.0,0.00156,0.0056,0.0,0.00128,0.0,0.00344,0.0
Min Violations Committee,0.0004892307692307691,0.0,0.00084,0.0,0.0,0.0,0.0,0.0,0.00552,0.0,0.0,0.0,0.0,0.0
Max Violations Committee,0.4339692307692308,0.61932,0.98156,0.76068,0.08424,0.76068,0.05972,0.76068,0.8856,0.06336,0.35,0.08424,0.23152,0.0
Random Choice,0.16665230769230768,0.08428,0.87356,0.1258,0.04992,0.1258,0.05404,0.1258,0.34168,0.0374,0.1474,0.04992,0.15088,0.0
Borda ranking,0.013409230769230769,0.0,0.15276,0.00016,0.0012,0.00016,0.01412,0.00016,0.00376,0.0,0.0,0.0012,0.0008,0.0
Plurality ranking,0.05928307692307691,0.00876,0.63604,0.00028,0.0,0.00028,0.02408,0.00028,0.00656,0.0,0.0396,0.0,0.0548,0.0
STV,0.04123384615384615,0.0026,0.47396,0.0,0.0,0.0,0.0168,0.0,0.0006,0.0,0.00832,0.0,0.03376,0.0
Approval Voting (AV),0.019876923076923077,4e-05,0.24572,0.0,0.0,0.0,0.0,0.0,0.00932,0.0,0.00332,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.03556307692307692,0.00028,0.423,0.0,0.00528,0.0,0.01548,0.0,0.00692,0.00244,0.00364,0.00528,0.0,0.0
Approval Chamberlin-Courant (CC),0.07584615384615384,0.00028,0.73184,0.0,0.0396,0.0,0.05864,0.0,0.0454,0.0304,0.02892,0.0396,0.01132,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.07132000000000002,0.00028,0.7002,0.0,0.0378,0.0,0.05844,0.0,0.0432,0.029,0.02044,0.0378,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.06865538461538462,0.00024,0.69292,0.0,0.0232,0.0,0.058,0.0,0.02744,0.01656,0.03196,0.0232,0.019,0.0
Monroe's Approval Rule (Monroe),0.05554153846153846,0.00056,0.56,0.0,0.02764,0.0,0.03204,0.0,0.0334,0.02012,0.00684,0.02764,0.0138,0.0
Greedy Monroe,0.050378461538461546,0.00024,0.56108,0.0,0.01188,0.0,0.03272,0.0,0.01508,0.0072,0.0118,0.01188,0.00304,0.0
Minimax Approval Voting (MAV),0.1356953846153846,0.06632,0.83488,0.0834,0.0516,0.0834,0.05612,0.0834,0.25128,0.03884,0.11672,0.0516,0.04648,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.03402769230769231,0.00024,0.41108,0.0,0.00384,0.0,0.0122,0.0,0.00516,0.00156,0.00424,0.00384,0.0002,0.0
E Pluribus Hugo (EPH),0.022578461538461533,4e-05,0.27928,0.0,0.00028,0.0,0.00604,0.0,0.00392,0.0,0.00368,0.00028,0.0,0.0
Random Serial Dictator,0.12308923076923078,0.03988,0.6948,0.13068,0.02712,0.13068,0.02496,0.13068,0.30224,0.01956,0.07244,0.02712,0.0,0.0
