Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.01726084802761736,0.0,0.001079956801727931,0.0,0.08455661773529059,0.0,0.0,0.0,0.06607735690572378,0.0,0.0,0.06607735690572378,0.006599736010559578,0.0
NN-1,0.017297769627676433,0.00047998080076796926,0.000719971201151954,0.0,0.08527658893644255,0.0,0.0,0.0,0.0656773729050838,0.0,0.0,0.0656773729050838,0.00703971841126355,0.0
NN-2,0.01765160162824256,0.00043998240070397185,0.000639974401023959,0.0,0.08659653613855446,0.0,0.0,0.0,0.06727730890764369,0.0,0.0,0.06727730890764369,0.007239710411583536,0.0
NN-3,0.0178854384286167,0.00047998080076796926,0.000639974401023959,0.0,0.0875564977400904,0.0,0.0,0.0,0.06807727690892364,0.0,0.0,0.06807727690892364,0.007679692812287508,0.0
NN-4,0.017322384027715812,0.0006799728010879564,0.0007999680012799488,0.0,0.08495660173593056,0.0,0.0,0.0,0.06591736330546778,0.0,0.0,0.06591736330546778,0.006919723211071557,0.0
NN-5,0.01740853442785366,0.00047998080076796926,0.000719971201151954,0.0,0.08523659053637854,0.0,0.0,0.0,0.06639734410623575,0.0,0.0,0.06639734410623575,0.007079716811327547,0.0
NN-6,0.01727623202764197,0.00043998240070397185,0.000719971201151954,0.0,0.08475660973561057,0.0,0.0,0.0,0.06607735690572378,0.0,0.0,0.06607735690572378,0.006519739210431583,0.0
NN-7,0.01851618242962589,0.0006799728010879564,0.00171993120275189,0.0,0.09007639694412224,0.0,0.0,0.0,0.07075716971321147,0.0,0.0,0.07075716971321147,0.00671973121075157,0.0
NN-8,0.017879284828606856,0.0,0.0011999520019199232,0.0,0.0875164993400264,0.0,0.0,0.0,0.06843726250949962,0.0,0.0,0.06843726250949962,0.006839726410943562,0.0
NN-9,0.017888515228621622,0.00043998240070397185,0.0010399584016639333,0.0,0.0875964961401544,0.0,0.0,0.0,0.06835726570937163,0.0,0.0,0.06835726570937163,0.006759729610815567,0.0
NN-10,0.017343921627750277,0.0002799888004479821,0.0009199632014719411,0.0,0.08503659853605856,0.0,0.0,0.0,0.06635734570617176,0.0,0.0,0.06635734570617176,0.006519739210431583,0.0
NN-11,0.017756212828409938,0.00023999040038398463,0.0011199552017919284,0.0,0.08691652333906644,0.0,0.0,0.0,0.06763729450821968,0.0,0.0,0.06763729450821968,0.007279708811647534,0.0
NN-12,0.01788236162861178,0.00043998240070397185,0.0008799648014079437,0.0,0.0875964961401544,0.0,0.0,0.0,0.06811727530898765,0.0,0.0,0.06811727530898765,0.007319707211711532,0.0
NN-13,0.017756212828409938,0.0001999920003199872,0.0010399584016639333,0.0,0.08679652813887445,0.0,0.0,0.0,0.06799728010879565,0.0,0.0,0.06799728010879565,0.006799728010879565,0.0
NN-14,0.01740545762784873,0.00043998240070397185,0.0014799408023679053,0.0,0.08463661453541858,0.0,0.0,0.0,0.06623735050597976,0.0,0.0,0.06623735050597976,0.007239710411583536,0.0
NN-15,0.017343921627750274,0.00023999040038398463,0.0009199632014719411,0.0,0.08511659533618655,0.0,0.0,0.0,0.06635734570617176,0.0,0.0,0.06635734570617176,0.006479740810367585,0.0
NN-16,0.017537760028060418,0.00047998080076796926,0.000719971201151954,0.0,0.0858765649374025,0.0,0.0,0.0,0.0671573137074517,0.0,0.0,0.0671573137074517,0.006599736010559578,0.0
NN-17,0.017460840027937345,0.00043998240070397185,0.0007999680012799488,0.0,0.08551657933682652,0.0,0.0,0.0,0.06675732970681172,0.0,0.0,0.06675732970681172,0.00671973121075157,0.0
NN-18,0.0174546864279275,0.00043998240070397185,0.0011999520019199232,0.0,0.0859565617375305,0.0,0.0,0.0,0.06635734570617176,0.0,0.0,0.06635734570617176,0.006599736010559578,0.0
NN-19,0.017820825628513323,0.0,0.000999960001599936,0.0,0.08731650733970642,0.0,0.0,0.0,0.0687572497100116,0.0,0.0,0.0687572497100116,0.005839766409343626,0.0
Min Violations Committee,0.011519539218431261,0.00015999360025598975,0.02139914403423863,0.0,0.04863805447782089,0.0,0.0,0.0,0.039438422463101475,0.0,0.0,0.039438422463101475,0.0006799728010879564,0.0
Max Violations Committee,0.5294895896471834,0.8089676412943482,0.9160833566657334,0.05867765289388424,0.9942002319907204,0.05867765289388424,0.5582976680932763,0.0,0.9802407903683853,0.562897484100636,0.5582976680932763,0.9802407903683853,0.3481060757569697,0.05867765289388424
Random Choice,0.2546052004073683,0.16771329146834127,0.7276508939642414,0.046638134474621014,0.4565417383304668,0.046638134474621014,0.4453821847126115,0.0,0.281508739650414,0.11211551537938483,0.4453821847126115,0.281508739650414,0.2521499140034399,0.046638134474621014
Borda ranking,0.025005153640008247,0.0,0.11419543218271269,0.0,0.03655853765849366,0.0,0.055997760089596414,0.0,0.02423903043878245,0.0,0.055997760089596414,0.02423903043878245,0.013839446422143114,0.0
Plurality ranking,0.1493386418389418,0.005079796808127675,0.610215591376345,0.03795848166073357,0.18571257149714013,0.03795848166073357,0.4118235270589176,0.0,0.0,0.0,0.4118235270589176,0.0,0.202871885124595,0.03795848166073357
STV,0.046948891275118226,0.0013599456021759129,0.2686292548298068,0.0,0.0,0.0,0.13951441942322307,0.0,0.0,0.0,0.13951441942322307,0.0,0.06131754729810807,0.0
Approval Voting (AV),0.03845692326153108,0.005759769609215632,0.11151553937842486,0.0,0.1453141874325027,0.0,0.0,0.0,0.1172353105875765,0.002879884804607816,0.0,0.1172353105875765,0.0,0.0
Proportional Approval Voting (PAV),0.03845692326153108,0.005759769609215632,0.11151553937842486,0.0,0.1453141874325027,0.0,0.0,0.0,0.1172353105875765,0.002879884804607816,0.0,0.1172353105875765,0.0,0.0
