Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Min Violations Committee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Violations Committee,0.5205723076923078,0.88984,0.95784,0.0,1.0,0.0,0.01496,0.0,1.0,0.88984,0.01496,1.0,1.0,0.0
Random Choice,0.2106430769230769,0.17936,0.743,0.0,0.40332,0.0,0.01176,0.0,0.40324,0.17936,0.01176,0.40324,0.40332,0.0
Borda ranking,0.0038492307692307693,0.0,0.05004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.04691384615384615,0.0,0.59012,0.0,0.0,0.0,0.00988,0.0,0.0,0.0,0.00988,0.0,0.0,0.0
STV,0.016732307692307692,0.0,0.21536,0.0,0.0,0.0,0.00108,0.0,0.0,0.0,0.00108,0.0,0.0,0.0
Approval Voting (AV),0.012538461538461538,0.0,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.012538461538461538,0.0,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.21023076923076925,0.179,0.73996,0.0,0.40264,0.0,0.01228,0.0,0.4026,0.179,0.01228,0.4026,0.40264,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.012538461538461538,0.0,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.20803384615384615,0.17672,0.73876,0.0,0.3972,0.0,0.01184,0.0,0.39708,0.17672,0.01184,0.39708,0.3972,0.0
Monroe's Approval Rule (Monroe),0.21023076923076925,0.179,0.73996,0.0,0.40264,0.0,0.01228,0.0,0.4026,0.179,0.01228,0.4026,0.40264,0.0
Greedy Monroe,0.032889230769230775,0.0,0.42076,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0034,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.21023076923076925,0.179,0.73996,0.0,0.40264,0.0,0.01228,0.0,0.4026,0.179,0.01228,0.4026,0.40264,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.012427692307692308,0.0,0.16156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.012538461538461538,0.0,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.041670769230769227,0.0,0.5278,0.0,0.0,0.0,0.00696,0.0,0.0,0.0,0.00696,0.0,0.0,0.0
