Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.022889230769230773,0.0,0.01368,0.0,0.11016,0.0,0.0,0.0,0.10224,0.0,0.0,0.06968,0.0018,0.0
NN-1,0.022775384615384617,0.0,0.01288,0.0,0.11008,0.0,0.0,0.0,0.10192,0.0,0.0,0.06912,0.00208,0.0
NN-2,0.022729230769230772,0.0,0.01152,0.0,0.11052,0.0,0.0,0.0,0.10208,0.0,0.0,0.06956,0.0018,0.0
NN-3,0.022615384615384614,0.0,0.0108,0.0,0.11012,0.0,0.0,0.0,0.10148,0.0,0.0,0.06932,0.00228,0.0
NN-4,0.022793846153846158,0.0,0.01168,0.0,0.11072,0.0,0.0,0.0,0.1024,0.0,0.0,0.06952,0.002,0.0
NN-5,0.022646153846153847,0.0,0.01064,0.0,0.11036,0.0,0.0,0.0,0.10196,0.0,0.0,0.06968,0.00176,0.0
NN-6,0.02273538461538462,0.0,0.01184,0.0,0.11024,0.0,0.0,0.0,0.10188,0.0,0.0,0.0698,0.0018,0.0
NN-7,0.02270769230769231,0.0,0.01184,0.0,0.11012,0.0,0.0,0.0,0.1018,0.0,0.0,0.06956,0.00188,0.0
NN-8,0.02279076923076923,0.0,0.01308,0.0,0.10996,0.0,0.0,0.0,0.10192,0.0,0.0,0.06948,0.00184,0.0
NN-9,0.022987692307692306,0.0,0.01416,0.0,0.11052,0.0,0.0,0.0,0.10256,0.0,0.0,0.06968,0.00192,0.0
NN-10,0.022680000000000002,0.0,0.01092,0.0,0.11036,0.0,0.0,0.0,0.10204,0.0,0.0,0.06968,0.00184,0.0
NN-11,0.022812307692307687,0.0,0.01164,0.0,0.11076,0.0,0.0,0.0,0.10232,0.0,0.0,0.06996,0.00188,0.0
NN-12,0.022612307692307692,0.0,0.0112,0.0,0.11,0.0,0.0,0.0,0.10172,0.0,0.0,0.06932,0.00172,0.0
NN-13,0.02281538461538462,0.0,0.01252,0.0,0.11044,0.0,0.0,0.0,0.10196,0.0,0.0,0.06956,0.00212,0.0
NN-14,0.022704615384615382,0.0,0.01216,0.0,0.10992,0.0,0.0,0.0,0.10184,0.0,0.0,0.06948,0.00176,0.0
NN-15,0.022870769230769233,0.0,0.01268,0.0,0.11056,0.0,0.0,0.0,0.10236,0.0,0.0,0.06992,0.0018,0.0
NN-16,0.022769230769230764,0.0,0.01272,0.0,0.11016,0.0,0.0,0.0,0.10184,0.0,0.0,0.06952,0.00176,0.0
NN-17,0.022680000000000002,0.0,0.01212,0.0,0.10976,0.0,0.0,0.0,0.10168,0.0,0.0,0.06948,0.0018,0.0
NN-18,0.022950769230769233,0.0,0.01348,0.0,0.11068,0.0,0.0,0.0,0.10232,0.0,0.0,0.06984,0.00204,0.0
NN-19,0.02281538461538462,0.0,0.01244,0.0,0.11048,0.0,0.0,0.0,0.10212,4e-05,0.0,0.0696,0.00192,0.0
Min Violations Committee,0.01086153846153846,0.0,0.07824,0.0,0.0178,0.0,0.00104,0.0,0.03876,0.0,0.0026,0.00216,0.0006,0.0
Max Violations Committee,0.4617230769230769,0.66392,0.97788,0.13592,0.93368,0.0932,0.08744,0.0,0.94952,0.02892,0.34316,0.85952,0.92924,0.0
Random Choice,0.23910153846153845,0.05548,0.90624,0.02484,0.4534,0.01992,0.08136,0.0,0.46448,0.01012,0.22916,0.37268,0.49064,0.0
Borda ranking,0.026467692307692307,0.0,0.14508,0.0,0.08052,0.0,0.0098,0.0,0.05976,0.0,0.00052,0.0472,0.0012,0.0
Plurality ranking,0.09327076923076924,0.00868,0.71204,0.01044,0.00156,0.00764,0.05564,0.0,0.0014,0.0,0.1114,0.0,0.30372,0.0
STV,0.06550461538461537,0.00196,0.5756,0.00136,0.0,0.00088,0.03872,0.0,0.0002,0.0,0.05784,0.0,0.175,0.0
Approval Voting (AV),0.03984307692307692,0.0,0.15924,0.0,0.13676,0.0,0.0,0.0,0.13052,0.0,0.00072,0.09072,0.0,0.0
Proportional Approval Voting (PAV),0.04667076923076923,0.0,0.23128,0.0,0.1488,0.0,0.00588,0.0,0.12036,0.0,0.00024,0.10016,0.0,0.0
Approval Chamberlin-Courant (CC),0.24157538461538458,0.05732,0.90688,0.02372,0.46148,0.01968,0.0822,0.0,0.47448,0.00948,0.23016,0.38032,0.49476,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.11446153846153848,0.0,0.65512,0.0,0.2826,0.0,0.0844,0.0,0.21684,0.0034,0.02892,0.21672,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2104246153846154,0.01308,0.87424,0.01208,0.42864,0.01208,0.07876,0.0,0.42592,0.00948,0.20768,0.34896,0.3246,0.0
Monroe's Approval Rule (Monroe),0.22940923076923075,0.0512,0.89652,0.01324,0.44236,0.00948,0.07772,0.0,0.45308,0.0078,0.19216,0.3636,0.47516,0.0
Greedy Monroe,0.08271692307692308,0.0,0.45912,0.0,0.209,0.0,0.04052,0.0,0.17456,0.0004,0.02128,0.15236,0.01808,0.0
Minimax Approval Voting (MAV),0.17096923076923076,0.02768,0.77308,0.00468,0.3722,0.00468,0.08428,0.0,0.34576,0.00608,0.10912,0.30028,0.19476,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.06698153846153845,0.0,0.38696,0.0,0.184,0.0,0.02668,0.0,0.13496,4e-05,0.00328,0.12864,0.0062,0.0
E Pluribus Hugo (EPH),0.040624615384615384,0.0,0.16872,0.0,0.13848,0.0,0.0006,0.0,0.12756,0.0,0.00072,0.09204,0.0,0.0
Random Serial Dictator,0.13336000000000003,0.0094,0.65828,0.001,0.30624,0.001,0.03796,0.0,0.36748,0.00388,0.10656,0.24188,0.0,0.0
