Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.029624615384615385,0.0,0.02012,0.0,0.138,0.0,0.0,0.0,0.13568,0.0,0.0,0.086,0.00532,0.0
NN-1,0.029833846153846152,0.0,0.02172,0.0,0.13776,0.0,0.0,0.0,0.13584,0.0,0.0,0.0866,0.00592,0.0
NN-2,0.029449230769230766,0.0,0.01828,0.0,0.13716,0.0,0.0,0.0,0.13568,0.0,0.0,0.08636,0.00536,0.0
NN-3,0.029510769230769233,0.0,0.01716,0.0,0.1376,0.0,0.0,0.0,0.13668,0.0,0.0,0.08596,0.00624,0.0
NN-4,0.03008615384615385,0.0,0.02148,0.0,0.13888,0.0,0.0,0.0,0.13764,0.0,0.0,0.08696,0.00616,0.0
NN-5,0.029646153846153846,0.0,0.0164,0.0,0.13844,0.0,0.0,0.0,0.13752,0.0,0.0,0.08748,0.00556,0.0
NN-6,0.030258461538461543,0.0,0.01868,0.0,0.14032,0.0,0.0,0.0,0.13988,0.0,0.0,0.08936,0.00512,0.0
NN-7,0.030190769230769226,0.0,0.01956,0.0,0.13948,0.0,0.0,0.0,0.1392,0.0,0.0,0.08876,0.00548,0.0
NN-8,0.029504615384615386,0.0,0.01732,0.0,0.13732,0.0,0.0,0.0,0.13664,0.0,0.0,0.08628,0.006,0.0
NN-9,0.029396923076923074,0.0,0.01736,0.0,0.138,0.0,0.0,0.0,0.13692,0.0,0.0,0.08552,0.00436,0.0
NN-10,0.02953230769230769,0.0,0.01904,0.0,0.13708,0.0,0.0,0.0,0.13628,0.0,0.0,0.08604,0.00548,0.0
NN-11,0.029923076923076924,0.0,0.0196,0.0,0.13856,0.0,0.0,0.0,0.13768,0.0,0.0,0.08776,0.0054,0.0
NN-12,0.029886153846153847,0.0,0.02108,0.0,0.13872,0.0,0.0,0.0,0.13608,0.0,0.0,0.08676,0.00588,0.0
NN-13,0.030129230769230773,0.0,0.02048,0.0,0.1392,0.0,0.0,0.0,0.1374,0.0,0.00028,0.08772,0.0066,0.0
NN-14,0.03004307692307692,0.0,0.02072,0.0,0.13956,0.0,0.0,0.0,0.13732,0.0,0.0,0.08768,0.00528,0.0
NN-15,0.02956615384615385,0.0,0.01752,0.0,0.13732,0.0,0.0,0.0,0.13656,0.0,0.0,0.0864,0.00656,0.0
NN-16,0.029387692307692306,0.0,0.0194,0.0,0.1368,0.0,0.0,0.0,0.13524,0.0,0.0,0.08552,0.00508,0.0
NN-17,0.029858461538461542,0.0,0.021,0.0,0.13796,0.0,0.0,0.0,0.13624,0.0,0.0,0.08728,0.00568,0.0
NN-18,0.02945230769230769,0.0,0.01664,0.0,0.13752,0.0,0.0,0.0,0.13656,0.0,0.0,0.08736,0.0048,0.0
NN-19,0.03003384615384615,0.0,0.02008,0.0,0.13816,0.0,0.0,0.0,0.13856,0.0,0.0,0.08716,0.00648,0.0
Min Violations Committee,0.013966153846153843,0.0,0.0968,0.0,0.02048,0.0,0.00116,0.0,0.05616,0.0,0.00396,0.0018,0.0012,0.0
Max Violations Committee,0.4286553846153846,0.60572,0.9624,0.0724,0.92652,0.03716,0.05656,0.0,0.93684,0.01644,0.20324,0.84756,0.90768,0.0
Random Choice,0.2222984615384615,0.05392,0.8922,0.01116,0.44772,0.00744,0.05376,0.0,0.4582,0.00548,0.13568,0.36344,0.46088,0.0
Borda ranking,0.03165230769230769,0.0,0.17328,0.0,0.09684,0.0,0.0074,0.0,0.07448,0.0,0.00032,0.05548,0.00368,0.0
Plurality ranking,0.09292615384615385,0.00968,0.73736,0.00692,0.00172,0.00324,0.037,0.0,0.00252,0.0,0.08724,0.0,0.32236,0.0
STV,0.07152,0.00216,0.63368,0.00044,0.0,0.0002,0.029,0.0,0.0,0.0,0.05692,0.0,0.20736,0.0
Approval Voting (AV),0.05635384615384616,0.00016,0.21848,0.0,0.18856,0.0,0.0,0.0,0.1928,0.0,0.00104,0.13156,0.0,0.0
Proportional Approval Voting (PAV),0.06369538461538461,0.0,0.31736,0.0,0.20004,0.0,0.00464,0.0,0.16688,0.0,0.00024,0.13888,0.0,0.0
Approval Chamberlin-Courant (CC),0.21916615384615384,0.05348,0.88964,0.01008,0.4364,0.00636,0.05204,0.0,0.44844,0.00496,0.13384,0.35228,0.46164,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.11693538461538464,0.0,0.67416,0.0,0.30852,0.0,0.05648,0.0,0.23248,0.00152,0.01492,0.23208,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.20069846153846155,0.0124,0.86336,0.0038,0.44708,0.0038,0.05248,0.0,0.44332,0.0064,0.12972,0.36324,0.28348,0.0
Monroe's Approval Rule (Monroe),0.21522461538461538,0.05096,0.88708,0.00732,0.42948,0.00376,0.0516,0.0,0.4386,0.00436,0.12236,0.34632,0.45608,0.0
Greedy Monroe,0.1006923076923077,0.00052,0.53136,0.0,0.27036,0.0,0.03112,0.0,0.23484,0.00076,0.01676,0.20048,0.0228,0.0
