Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0003046153846153846,0.00128,0.00028,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00032,0.0,0.00204,0.0
NN-1,0.00027692307692307695,0.00108,0.0002,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00028,0.0,0.002,0.0
NN-2,0.00022769230769230768,0.00044,0.00016,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0,0.00212,0.0
NN-3,0.00021846153846153847,0.00028,0.00032,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,8e-05,0.0,0.00212,0.0
NN-4,0.00019076923076923077,0.00012,0.0002,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,4e-05,0.0,0.00208,0.0
NN-5,0.00029230769230769235,0.00128,0.00016,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00028,0.0,0.00204,0.0
NN-6,0.00029538461538461543,0.00128,0.00024,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00024,0.0,0.00204,0.0
NN-7,0.0001846153846153846,0.00016,8e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,4e-05,0.0,0.00208,0.0
NN-8,0.0002153846153846154,0.00036,0.00012,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00012,0.0,0.00212,0.0
NN-9,0.00018153846153846152,8e-05,0.00012,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,4e-05,0.0,0.00208,0.0
NN-10,0.00019999999999999998,0.00032,4e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00012,0.0,0.00208,0.0
NN-11,0.00020307692307692306,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00012,0.0,0.00208,0.0
NN-12,0.00020923076923076922,0.00028,0.0002,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00012,0.0,0.00208,0.0
NN-13,0.00022153846153846152,0.00044,0.0002,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00012,0.0,0.00208,0.0
NN-14,0.00021846153846153844,0.00012,0.00052,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,8e-05,0.0,0.00208,0.0
NN-15,0.00020307692307692306,0.00032,8e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00012,0.0,0.00208,0.0
NN-16,0.00022769230769230768,0.00048,8e-05,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00016,0.0,0.00216,0.0
NN-17,0.0002123076923076923,0.00032,0.0002,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00012,0.0,0.00208,0.0
NN-18,0.00023076923076923074,0.00044,0.00028,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00016,0.0,0.00208,0.0
NN-19,0.0002830769230769231,0.00124,8e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00028,0.0,0.00204,0.0
Min Violations Committee,0.00012,0.0,0.00148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0
Max Violations Committee,0.1708,0.838,0.98728,0.0,0.0,0.0,0.0098,0.0,0.03256,0.0098,0.24328,0.0,0.09968,0.0
Random Choice,0.07971384615384616,0.122,0.83464,0.0,0.0,0.0,0.00844,0.0,0.00536,0.00844,0.03416,0.0,0.02324,0.0
Borda ranking,0.01121230769230769,0.0,0.13804,0.0,0.0,0.0,0.0026,0.0,0.0,0.0026,0.0,0.0,0.00252,0.0
Plurality ranking,0.045427692307692315,0.01392,0.57416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00248,0.0,0.0,0.0
STV,0.024766153846153847,0.0,0.32196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
