Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0030953846153846153,0.0028,0.02444,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0
NN-1,0.003569230769230769,0.00296,0.02972,0.0,0.0,0.0,0.0,0.0,0.01368,0.0,0.0,0.0,4e-05,0.0
NN-2,0.0029907692307692304,0.00276,0.02308,0.0,0.0,0.0,0.0,0.0,0.01304,0.0,0.0,0.0,0.0,0.0
NN-3,0.0036646153846153847,0.00288,0.03172,0.0,0.0,0.0,0.0,0.0,0.01304,0.0,0.0,0.0,0.0,0.0
NN-4,0.0028615384615384614,0.00292,0.0208,0.0,0.0,0.0,0.0,0.0,0.01348,0.0,0.0,0.0,0.0,0.0
NN-5,0.003427692307692308,0.00272,0.02876,0.0,0.0,0.0,0.0,0.0,0.01308,0.0,0.0,0.0,0.0,0.0
NN-6,0.0034984615384615384,0.0026,0.02996,0.0,0.0,0.0,0.0,0.0,0.01292,0.0,0.0,0.0,0.0,0.0
NN-7,0.0033446153846153842,0.00276,0.02792,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,0.0,0.0,0.0
NN-8,0.0035753846153846153,0.00272,0.03064,0.0,0.0,0.0,0.0,0.0,0.01308,0.0,0.0,0.0,4e-05,0.0
NN-9,0.0025507692307692306,0.00284,0.0174,0.0,0.0,0.0,0.0,0.0,0.01292,0.0,0.0,0.0,0.0,0.0
NN-10,0.0037661538461538457,0.00292,0.03272,0.0,0.0,0.0,0.0,0.0,0.01332,0.0,0.0,0.0,0.0,0.0
NN-11,0.0035907692307692307,0.00288,0.0304,0.0,0.0,0.0,0.0,0.0,0.0134,0.0,0.0,0.0,0.0,0.0
NN-12,0.0029261538461538466,0.0028,0.02228,0.0,0.0,0.0,0.0,0.0,0.01296,0.0,0.0,0.0,0.0,0.0
NN-13,0.00348,0.00308,0.02864,0.0,0.0,0.0,0.0,0.0,0.01352,0.0,0.0,0.0,0.0,0.0
