Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.03971384615384615,0.00224,0.03924,0.0,0.12256,0.0,0.0,0.0,0.22968,0.0,0.0,0.12256,0.0,0.0
NN-1,0.04030769230769231,0.00248,0.04352,0.0,0.124,0.0,0.0,0.0,0.23,0.0,0.0,0.124,0.0,0.0
NN-2,0.041981538461538466,0.00256,0.04692,0.0,0.12904,0.0,0.0,0.0,0.2382,0.0,0.0,0.12904,0.0,0.0
NN-3,0.03864615384615385,0.00232,0.03672,0.0,0.1196,0.0,0.0,0.0,0.22416,0.0,0.0,0.1196,0.0,0.0
NN-4,0.040723076923076924,0.0022,0.04732,0.0,0.12468,0.0,0.0,0.0,0.23052,0.0,0.0,0.12468,0.0,0.0
NN-5,0.04038461538461539,0.00228,0.03988,0.0,0.12492,0.0,0.0,0.0,0.233,0.0,0.0,0.12492,0.0,0.0
NN-6,0.03963692307692308,0.00236,0.03904,0.0,0.12264,0.0,0.0,0.0,0.2286,0.0,0.0,0.12264,0.0,0.0
NN-7,0.038796923076923076,0.00236,0.03452,0.0,0.12104,0.0,0.0,0.0,0.2254,0.0,0.0,0.12104,0.0,0.0
NN-8,0.040876923076923075,0.0026,0.04632,0.0,0.12516,0.0,0.0,0.0,0.23216,0.0,0.0,0.12516,0.0,0.0
NN-9,0.041990769230769234,0.00236,0.051,0.0,0.128,0.0,0.0,0.0,0.23652,0.0,0.0,0.128,0.0,0.0
NN-10,0.04129230769230769,0.0024,0.04692,0.0,0.12628,0.0,0.0,0.0,0.23492,0.0,0.0,0.12628,0.0,0.0
NN-11,0.04192,0.00232,0.04992,0.0,0.12792,0.0,0.0,0.0,0.23688,0.0,0.0,0.12792,0.0,0.0
NN-12,0.04131076923076923,0.00244,0.04508,0.0,0.127,0.0,0.0,0.0,0.23552,0.0,0.0,0.127,0.0,0.0
NN-13,0.0430676923076923,0.00252,0.0552,0.0,0.13096,0.0,0.0,0.0,0.24024,0.0,0.0,0.13096,0.0,0.0
NN-14,0.04207692307692308,0.00244,0.04276,0.0,0.13092,0.0,0.0,0.0,0.23996,0.0,0.0,0.13092,0.0,0.0
NN-15,0.04026153846153847,0.00256,0.03544,0.0,0.12584,0.0,0.0,0.0,0.23372,0.0,0.0,0.12584,0.0,0.0
