,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0296408,0.0,0.4,0.320688,0.070848,0.228512,0.169296,0.110128,0.110128,0.3056,0.110128,0.319408,0.305056,0.167856,0.3056,0.11424,0.110128,0.226624
Max Violations Committee,0.39964240000000006,0.4,0.0,0.319456,0.399568,0.3924,0.396416,0.39312,0.39312,0.336976,0.39312,0.31672,0.33704,0.38528,0.336976,0.391984,0.39312,0.372016
Random Choice,0.3208703999999999,0.320688,0.319456,0.0,0.321824,0.320464,0.321744,0.320576,0.320576,0.31856,0.320576,0.318768,0.318576,0.320592,0.31856,0.32064,0.320576,0.31952
Borda ranking,0.0758144,0.070848,0.399568,0.321824,0.0,0.200944,0.139616,0.118832,0.118832,0.318832,0.118832,0.304592,0.318288,0.1644,0.318832,0.118272,0.118832,0.225072
Plurality ranking,0.24005519999999997,0.228512,0.3924,0.320464,0.200944,0.0,0.118032,0.265856,0.265856,0.329616,0.265856,0.306016,0.329408,0.277328,0.329616,0.265232,0.265856,0.292208
STV,0.18453679999999997,0.169296,0.396416,0.321744,0.139616,0.118032,0.0,0.22648,0.22648,0.31816,0.22648,0.314208,0.317616,0.244096,0.31816,0.22648,0.22648,0.268
Approval Voting (AV),0.08736559999999999,0.110128,0.39312,0.320576,0.118832,0.265856,0.22648,0.0,0.0,0.312464,0.0,0.311632,0.31192,0.13632,0.312464,0.022592,0.0,0.212272
Proportional Approval Voting (PAV),0.08736559999999999,0.110128,0.39312,0.320576,0.118832,0.265856,0.22648,0.0,0.0,0.312464,0.0,0.311632,0.31192,0.13632,0.312464,0.022592,0.0,0.212272
Approval Chamberlin-Courant (CC),0.3079512,0.3056,0.336976,0.31856,0.318832,0.329616,0.31816,0.312464,0.312464,0.0,0.312464,0.4,0.000544,0.331168,0.0,0.321376,0.312464,0.318736
Lexicographic Chamberlin-Courant (lex-CC),0.08736559999999999,0.110128,0.39312,0.320576,0.118832,0.265856,0.22648,0.0,0.0,0.312464,0.0,0.311632,0.31192,0.13632,0.312464,0.022592,0.0,0.212272
Sequential Approval Chamberlin-Courant (seq-CC),0.31756159999999994,0.319408,0.31672,0.318768,0.304592,0.306016,0.314208,0.311632,0.311632,0.4,0.311632,0.0,0.399952,0.294224,0.4,0.300768,0.311632,0.312912
Monroe's Approval Rule (Monroe),0.3074072,0.305056,0.33704,0.318576,0.318288,0.329408,0.317616,0.31192,0.31192,0.000544,0.31192,0.399952,0.0,0.330624,0.000544,0.320832,0.31192,0.318384
Greedy Monroe,0.1551304,0.167856,0.38528,0.320592,0.1644,0.277328,0.244096,0.13632,0.13632,0.331168,0.13632,0.294224,0.330624,0.0,0.331168,0.131104,0.13632,0.229248
Minimax Approval Voting (MAV),0.3079512,0.3056,0.336976,0.31856,0.318832,0.329616,0.31816,0.312464,0.312464,0.0,0.312464,0.4,0.000544,0.331168,0.0,0.321376,0.312464,0.318736
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0924216,0.11424,0.391984,0.32064,0.118272,0.265232,0.22648,0.022592,0.022592,0.321376,0.022592,0.300768,0.320832,0.131104,0.321376,0.0,0.022592,0.211856
E Pluribus Hugo (EPH),0.08736559999999999,0.110128,0.39312,0.320576,0.118832,0.265856,0.22648,0.0,0.0,0.312464,0.0,0.311632,0.31192,0.13632,0.312464,0.022592,0.0,0.212272
Random Serial Dictator,0.22018559999999998,0.226624,0.372016,0.31952,0.225072,0.292208,0.268,0.212272,0.212272,0.318736,0.212272,0.312912,0.318384,0.229248,0.318736,0.211856,0.212272,0.0
NN,,0.0296408,0.39964240000000006,0.3208703999999999,0.0758144,0.24005519999999997,0.18453679999999997,0.08736559999999999,0.08736559999999999,0.3079512,0.08736559999999999,0.31756159999999994,0.3074072,0.1551304,0.3079512,0.0924216,0.08736559999999999,0.22018559999999998
