,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0004713333333333333,0.0,0.3333333333333333,0.27704,0.05350666666666667,0.16437333333333334,0.08408,0.16373333333333334,0.16373333333333334,0.16373333333333334,0.16373333333333334,0.16437333333333334,0.16373333333333334,0.16437333333333334,0.27204,0.16437333333333334,0.16373333333333334,0.24173333333333333,0.21269333333333335,0.09873333333333334,0.10672,0.09805333333333334,0.02493333333333333,0.021506666666666667,0.10808,0.03170666666666667,0.025573333333333333,0.025,0.023586666666666666,0.11486666666666667,0.026293333333333332,0.027253333333333334,0.01532,0.028706666666666665,0.03088,0.02332,0.025133333333333334,0.028653333333333333,0.025146666666666668,0.028706666666666665,0.029866666666666666,0.02516,0.030146666666666665,0.025146666666666668,0.015773333333333334,0.024853333333333335,0.025,0.030613333333333333,0.030613333333333333,0.0132,0.0132,0.024746666666666667,0.025626666666666666,0.01708,0.022946666666666667,0.023586666666666666,0.027373333333333333,0.024853333333333335,0.021226666666666668,0.0228,0.01348,0.025426666666666667,0.07229333333333333,0.11897333333333333,0.05276,0.03986666666666667,0.016626666666666668
Max Violations Committee,0.3331813333333334,0.3333333333333333,0.0,0.27882666666666667,0.33256,0.3251866666666667,0.3320666666666667,0.32588,0.32588,0.32588,0.32588,0.3251866666666667,0.32588,0.3251866666666667,0.28516,0.3251866666666667,0.32588,0.3017066666666667,0.32478666666666667,0.33136,0.3313333333333333,0.33141333333333334,0.3331866666666667,0.33308,0.3311866666666667,0.33297333333333334,0.33324,0.33324,0.33324,0.30517333333333335,0.3332,0.33313333333333334,0.33324,0.33298666666666665,0.32608,0.33313333333333334,0.33310666666666666,0.3330266666666667,0.33308,0.33298666666666665,0.33293333333333336,0.33312,0.33269333333333334,0.3330266666666667,0.33308,0.3332133333333333,0.3332133333333333,0.32996,0.32996,0.33328,0.33328,0.33325333333333335,0.33292,0.3331866666666667,0.33296,0.33297333333333334,0.33312,0.3332133333333333,0.3324,0.3332,0.33328,0.3331733333333333,0.33204,0.3296133333333333,0.33241333333333334,0.33258666666666664,0.33316
Random Choice,0.27704733333333337,0.27704,0.27882666666666667,0.0,0.27757333333333334,0.27852,0.27670666666666666,0.27852,0.27852,0.27852,0.27852,0.27852,0.27852,0.27852,0.27814666666666665,0.27852,0.27852,0.2776,0.2776133333333333,0.27913333333333334,0.2763466666666667,0.27684,0.2770533333333333,0.27696,0.27810666666666667,0.27716,0.27716,0.27704,0.27713333333333334,0.2779466666666667,0.2771733333333333,0.27713333333333334,0.2772,0.27704,0.2772133333333333,0.27710666666666667,0.27714666666666665,0.27736,0.27716,0.27704,0.27713333333333334,0.27713333333333334,0.2772,0.2770666666666667,0.2770533333333333,0.27709333333333336,0.27709333333333336,0.27710666666666667,0.27710666666666667,0.27716,0.27716,0.27704,0.2772,0.27713333333333334,0.27709333333333336,0.27709333333333336,0.27716,0.27709333333333336,0.27737333333333336,0.27710666666666667,0.2771733333333333,0.2772,0.27770666666666666,0.2788,0.27741333333333335,0.2774,0.27704
Borda ranking,0.053421333333333335,0.05350666666666667,0.33256,0.27757333333333334,0.0,0.19390666666666667,0.1174,0.19422666666666666,0.19422666666666666,0.19422666666666666,0.19422666666666666,0.19390666666666667,0.19422666666666666,0.19390666666666667,0.27812,0.19390666666666667,0.19422666666666666,0.24937333333333334,0.19053333333333333,0.10553333333333334,0.07097333333333333,0.12198666666666666,0.05445333333333333,0.057613333333333336,0.13722666666666666,0.05470666666666667,0.05378666666666667,0.05334666666666667,0.0526,0.13125333333333333,0.054106666666666664,0.055,0.03896,0.053906666666666665,0.06277333333333333,0.05245333333333333,0.05313333333333333,0.05436,0.05318666666666667,0.053906666666666665,0.054386666666666666,0.05328,0.05524,0.05332,0.05345333333333333,0.05297333333333333,0.053,0.06164,0.06164,0.047426666666666666,0.047426666666666666,0.053546666666666666,0.05704,0.03642666666666667,0.05822666666666667,0.05792,0.05502666666666667,0.05297333333333333,0.06329333333333333,0.052373333333333334,0.04168,0.05164,0.07052,0.12141333333333333,0.048626666666666665,0.08210666666666666,0.05894666666666667
Plurality ranking,0.164458,0.16437333333333334,0.3251866666666667,0.27852,0.19390666666666667,0.0,0.12865333333333334,0.02788,0.02788,0.02788,0.02788,0.0,0.02788,0.0,0.28229333333333334,0.0,0.02788,0.22442666666666666,0.26264,0.18418666666666667,0.2322,0.12362666666666666,0.16089333333333333,0.15792,0.10264,0.16998666666666667,0.16305333333333333,0.16313333333333332,0.16337333333333334,0.19458666666666666,0.163,0.16208,0.16933333333333334,0.16366666666666665,0.16912,0.16349333333333332,0.16324,0.16334666666666667,0.16326666666666667,0.16366666666666665,0.16373333333333334,0.16314666666666666,0.16396,0.16328,0.16389333333333334,0.16321333333333332,0.16321333333333332,0.1678,0.1678,0.16676,0.16676,0.16310666666666668,0.15674666666666667,0.17009333333333335,0.15710666666666667,0.15788,0.16188,0.16321333333333332,0.14322666666666667,0.16349333333333332,0.16810666666666665,0.1636,0.19705333333333333,0.19157333333333335,0.18105333333333334,0.14268,0.15525333333333333
STV,0.08407600000000001,0.08408,0.3320666666666667,0.27670666666666666,0.1174,0.12865333333333334,0.0,0.12642666666666666,0.12642666666666666,0.12642666666666666,0.12642666666666666,0.12865333333333334,0.12642666666666666,0.12865333333333334,0.2724933333333333,0.12865333333333334,0.12642666666666666,0.23382666666666665,0.231,0.12917333333333333,0.16430666666666666,0.03198666666666666,0.09161333333333334,0.08641333333333333,0.07441333333333333,0.10025333333333333,0.09374666666666667,0.09333333333333334,0.09282666666666667,0.15684,0.09412,0.09264,0.09105333333333333,0.09464,0.09972,0.09273333333333333,0.09336,0.09558666666666667,0.09337333333333334,0.09464,0.09558666666666667,0.09328,0.09593333333333333,0.0934,0.08953333333333334,0.09342666666666667,0.09342666666666667,0.099,0.099,0.09070666666666667,0.09070666666666667,0.09306666666666667,0.09086666666666667,0.09202666666666667,0.08468,0.08554666666666666,0.09241333333333333,0.09342666666666667,0.08698666666666667,0.09262666666666666,0.09050666666666667,0.09394666666666666,0.13129333333333335,0.14889333333333332,0.11313333333333334,0.06738666666666666,0.08366666666666667
Approval Voting (AV),0.1638266666666667,0.16373333333333334,0.32588,0.27852,0.19422666666666666,0.02788,0.12642666666666666,0.0,0.0,0.0,0.0,0.02788,0.0,0.02788,0.27316,0.02788,0.0,0.22386666666666666,0.2687333333333333,0.18481333333333333,0.23244,0.12412,0.16178666666666666,0.15886666666666666,0.10504,0.17082666666666665,0.16389333333333334,0.16398666666666667,0.16414666666666666,0.19925333333333334,0.16386666666666666,0.16325333333333333,0.16957333333333333,0.16494666666666666,0.17058666666666666,0.16425333333333333,0.16418666666666668,0.16466666666666666,0.16421333333333332,0.16494666666666666,0.16514666666666666,0.16413333333333333,0.16550666666666666,0.16425333333333333,0.16453333333333334,0.16413333333333333,0.16417333333333334,0.16938666666666666,0.16938666666666666,0.16697333333333333,0.16697333333333333,0.16388,0.15788,0.17042666666666667,0.15809333333333334,0.15897333333333333,0.16306666666666667,0.16413333333333333,0.14649333333333334,0.16424,0.1682,0.16450666666666666,0.19736,0.19709333333333334,0.18142666666666668,0.14232,0.15577333333333335
Proportional Approval Voting (PAV),0.1638266666666667,0.16373333333333334,0.32588,0.27852,0.19422666666666666,0.02788,0.12642666666666666,0.0,0.0,0.0,0.0,0.02788,0.0,0.02788,0.27316,0.02788,0.0,0.22386666666666666,0.2687333333333333,0.18481333333333333,0.23244,0.12412,0.16178666666666666,0.15886666666666666,0.10504,0.17082666666666665,0.16389333333333334,0.16398666666666667,0.16414666666666666,0.19925333333333334,0.16386666666666666,0.16325333333333333,0.16957333333333333,0.16494666666666666,0.17058666666666666,0.16425333333333333,0.16418666666666668,0.16466666666666666,0.16421333333333332,0.16494666666666666,0.16514666666666666,0.16413333333333333,0.16550666666666666,0.16425333333333333,0.16453333333333334,0.16413333333333333,0.16417333333333334,0.16938666666666666,0.16938666666666666,0.16697333333333333,0.16697333333333333,0.16388,0.15788,0.17042666666666667,0.15809333333333334,0.15897333333333333,0.16306666666666667,0.16413333333333333,0.14649333333333334,0.16424,0.1682,0.16450666666666666,0.19736,0.19709333333333334,0.18142666666666668,0.14232,0.15577333333333335
Approval Chamberlin-Courant (CC),0.1638266666666667,0.16373333333333334,0.32588,0.27852,0.19422666666666666,0.02788,0.12642666666666666,0.0,0.0,0.0,0.0,0.02788,0.0,0.02788,0.27316,0.02788,0.0,0.22386666666666666,0.2687333333333333,0.18481333333333333,0.23244,0.12412,0.16178666666666666,0.15886666666666666,0.10504,0.17082666666666665,0.16389333333333334,0.16398666666666667,0.16414666666666666,0.19925333333333334,0.16386666666666666,0.16325333333333333,0.16957333333333333,0.16494666666666666,0.17058666666666666,0.16425333333333333,0.16418666666666668,0.16466666666666666,0.16421333333333332,0.16494666666666666,0.16514666666666666,0.16413333333333333,0.16550666666666666,0.16425333333333333,0.16453333333333334,0.16413333333333333,0.16417333333333334,0.16938666666666666,0.16938666666666666,0.16697333333333333,0.16697333333333333,0.16388,0.15788,0.17042666666666667,0.15809333333333334,0.15897333333333333,0.16306666666666667,0.16413333333333333,0.14649333333333334,0.16424,0.1682,0.16450666666666666,0.19736,0.19709333333333334,0.18142666666666668,0.14232,0.15577333333333335
Lexicographic Chamberlin-Courant (lex-CC),0.1638266666666667,0.16373333333333334,0.32588,0.27852,0.19422666666666666,0.02788,0.12642666666666666,0.0,0.0,0.0,0.0,0.02788,0.0,0.02788,0.27316,0.02788,0.0,0.22386666666666666,0.2687333333333333,0.18481333333333333,0.23244,0.12412,0.16178666666666666,0.15886666666666666,0.10504,0.17082666666666665,0.16389333333333334,0.16398666666666667,0.16414666666666666,0.19925333333333334,0.16386666666666666,0.16325333333333333,0.16957333333333333,0.16494666666666666,0.17058666666666666,0.16425333333333333,0.16418666666666668,0.16466666666666666,0.16421333333333332,0.16494666666666666,0.16514666666666666,0.16413333333333333,0.16550666666666666,0.16425333333333333,0.16453333333333334,0.16413333333333333,0.16417333333333334,0.16938666666666666,0.16938666666666666,0.16697333333333333,0.16697333333333333,0.16388,0.15788,0.17042666666666667,0.15809333333333334,0.15897333333333333,0.16306666666666667,0.16413333333333333,0.14649333333333334,0.16424,0.1682,0.16450666666666666,0.19736,0.19709333333333334,0.18142666666666668,0.14232,0.15577333333333335
