,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0005953333333333333,0.0,0.3333333333333333,0.2770666666666667,0.05844,0.18321333333333334,0.09569333333333334,0.18236,0.18236,0.18236,0.18236,0.18321333333333334,0.18236,0.18321333333333334,0.27170666666666665,0.18321333333333334,0.18236,0.24886666666666668,0.20676,0.10668,0.10522666666666666,0.10981333333333333,0.0268,0.02276,0.12526666666666667,0.037373333333333335,0.0276,0.027053333333333332,0.02552,0.13573333333333334,0.028173333333333335,0.02976,0.017786666666666666,0.03216,0.03469333333333333,0.02496,0.027373333333333333,0.03154666666666667,0.027373333333333333,0.03216,0.03324,0.02764,0.033653333333333334,0.027373333333333333,0.01812,0.027066666666666666,0.027373333333333333,0.03438666666666667,0.03438666666666667,0.014866666666666667,0.014866666666666667,0.026773333333333333,0.027933333333333334,0.020253333333333335,0.02412,0.0252,0.029893333333333334,0.027066666666666666,0.024266666666666666,0.024293333333333333,0.0156,0.02772,0.07478666666666667,0.12558666666666668,0.05582666666666666,0.04849333333333333,0.01824
Max Violations Committee,0.33314800000000006,0.3333333333333333,0.0,0.2778933333333333,0.3321733333333333,0.3208,0.3314533333333333,0.322,0.322,0.322,0.322,0.3208,0.322,0.3208,0.2886533333333333,0.3208,0.322,0.29822666666666664,0.32252,0.32968,0.3304533333333333,0.3304533333333333,0.3332,0.33304,0.32924,0.33282666666666666,0.33322666666666667,0.33322666666666667,0.3332,0.2933733333333333,0.3332,0.33304,0.33325333333333335,0.33265333333333336,0.3244666666666667,0.33310666666666666,0.33308,0.33272,0.33301333333333333,0.33265333333333336,0.33242666666666665,0.33310666666666666,0.3317733333333333,0.33294666666666667,0.3329066666666667,0.3331866666666667,0.33316,0.32812,0.32812,0.33326666666666666,0.33326666666666666,0.33326666666666666,0.3326,0.3331733333333333,0.33298666666666665,0.33293333333333336,0.33308,0.3331866666666667,0.3318,0.3332,0.33322666666666667,0.3331733333333333,0.33144,0.32754666666666665,0.33209333333333335,0.3321733333333333,0.33313333333333334
Random Choice,0.2770706666666667,0.2770666666666667,0.2778933333333333,0.0,0.27668,0.2764666666666667,0.27641333333333334,0.2769333333333333,0.2769333333333333,0.2769333333333333,0.2769333333333333,0.2764666666666667,0.2769333333333333,0.2764666666666667,0.27656,0.2764666666666667,0.2769333333333333,0.27657333333333334,0.2766,0.27764,0.27658666666666665,0.27630666666666664,0.277,0.2770533333333333,0.27597333333333335,0.27704,0.2769333333333333,0.277,0.27708,0.2766,0.27692,0.2769466666666667,0.27708,0.27701333333333333,0.27682666666666667,0.2769466666666667,0.27698666666666666,0.27708,0.277,0.277,0.277,0.277,0.27676,0.2769466666666667,0.27713333333333334,0.277,0.27702666666666664,0.27653333333333335,0.27653333333333335,0.2771866666666667,0.2771866666666667,0.2768933333333333,0.27686666666666665,0.27704,0.27704,0.27701333333333333,0.2769333333333333,0.277,0.27658666666666665,0.27686666666666665,0.27724,0.2769466666666667,0.27666666666666667,0.27730666666666665,0.277,0.27610666666666667,0.27692
Borda ranking,0.05821533333333334,0.05844,0.3321733333333333,0.27668,0.0,0.21273333333333333,0.13008,0.21286666666666668,0.21286666666666668,0.21286666666666668,0.21286666666666668,0.21273333333333333,0.21286666666666668,0.21273333333333333,0.27913333333333334,0.21273333333333333,0.21286666666666668,0.25512,0.18158666666666667,0.11716,0.068,0.13513333333333333,0.05764,0.06118666666666667,0.156,0.05806666666666667,0.05686666666666667,0.056306666666666665,0.05565333333333333,0.14924,0.05710666666666667,0.05838666666666667,0.04137333333333333,0.057466666666666666,0.06758666666666667,0.05524,0.056133333333333334,0.057866666666666663,0.056293333333333334,0.057453333333333335,0.05801333333333333,0.05638666666666667,0.05928,0.05633333333333333,0.05789333333333333,0.05602666666666667,0.05616,0.06628,0.06628,0.05128,0.05128,0.05638666666666667,0.06150666666666667,0.03818666666666667,0.06196,0.061733333333333335,0.05857333333333333,0.05602666666666667,0.06804,0.055253333333333335,0.04464,0.05432,0.07164,0.12790666666666667,0.04804,0.09192,0.06233333333333333
Plurality ranking,0.1832786666666667,0.18321333333333334,0.3208,0.2764666666666667,0.21273333333333333,0.0,0.14229333333333333,0.029453333333333335,0.029453333333333335,0.029453333333333335,0.029453333333333335,0.0,0.029453333333333335,0.0,0.2824933333333333,0.0,0.029453333333333335,0.22593333333333335,0.2713466666666667,0.19802666666666666,0.24428,0.13685333333333333,0.18,0.17661333333333334,0.10985333333333333,0.1908,0.18234666666666666,0.18241333333333334,0.18249333333333334,0.21232,0.18238666666666667,0.18113333333333334,0.18810666666666667,0.18294666666666667,0.18866666666666668,0.18281333333333333,0.18257333333333334,0.18284,0.18258666666666667,0.18296,0.18296,0.1824,0.18372,0.18261333333333332,0.18289333333333332,0.1824,0.18232,0.18725333333333333,0.18725333333333333,0.18532,0.18532,0.18248,0.17357333333333333,0.18901333333333334,0.17558666666666667,0.17641333333333334,0.18097333333333335,0.1824,0.15916,0.18272,0.18664,0.18296,0.21490666666666666,0.20806666666666668,0.19926666666666668,0.15912,0.17405333333333334
STV,0.09582,0.09569333333333334,0.3314533333333333,0.27641333333333334,0.13008,0.14229333333333333,0.0,0.14056,0.14056,0.14056,0.14056,0.14229333333333333,0.14056,0.14229333333333333,0.27198666666666665,0.14229333333333333,0.14056,0.23862666666666665,0.23081333333333334,0.14025333333333334,0.17097333333333334,0.035,0.1022,0.0954,0.08554666666666666,0.11470666666666667,0.105,0.10477333333333333,0.1044,0.17896,0.10546666666666667,0.10342666666666667,0.10292,0.10670666666666667,0.11252,0.10437333333333333,0.10496,0.10733333333333334,0.105,0.10672,0.10756,0.10509333333333333,0.10830666666666666,0.10505333333333333,0.10148,0.1048,0.10490666666666666,0.11174666666666666,0.11174666666666666,0.10218666666666666,0.10218666666666666,0.10453333333333334,0.10188,0.104,0.09333333333333334,0.09462666666666666,0.10306666666666667,0.1048,0.09809333333333334,0.10417333333333334,0.10208,0.10534666666666667,0.14156,0.15941333333333332,0.12297333333333334,0.07469333333333333,0.09452
Approval Voting (AV),0.18241599999999997,0.18236,0.322,0.2769333333333333,0.21286666666666668,0.029453333333333335,0.14056,0.0,0.0,0.0,0.0,0.029453333333333335,0.0,0.029453333333333335,0.2718933333333333,0.029453333333333335,0.0,0.22562666666666667,0.27632,0.19845333333333334,0.24464,0.13781333333333334,0.18068,0.17718666666666666,0.11345333333333334,0.19158666666666666,0.18306666666666666,0.18312,0.18317333333333333,0.21882666666666667,0.18314666666666668,0.18185333333333334,0.18806666666666666,0.18416,0.18982666666666667,0.18357333333333334,0.1834,0.18393333333333334,0.18341333333333334,0.18417333333333333,0.18429333333333334,0.18317333333333333,0.18506666666666666,0.18344,0.18312,0.18309333333333333,0.18305333333333335,0.18864,0.18864,0.18537333333333333,0.18537333333333333,0.18322666666666668,0.17510666666666666,0.18906666666666666,0.17624,0.17733333333333334,0.18178666666666668,0.18309333333333333,0.16234666666666667,0.18334666666666666,0.18672,0.18365333333333334,0.21476,0.21290666666666666,0.19917333333333334,0.15877333333333332,0.17450666666666667
Proportional Approval Voting (PAV),0.18241599999999997,0.18236,0.322,0.2769333333333333,0.21286666666666668,0.029453333333333335,0.14056,0.0,0.0,0.0,0.0,0.029453333333333335,0.0,0.029453333333333335,0.2718933333333333,0.029453333333333335,0.0,0.22562666666666667,0.27632,0.19845333333333334,0.24464,0.13781333333333334,0.18068,0.17718666666666666,0.11345333333333334,0.19158666666666666,0.18306666666666666,0.18312,0.18317333333333333,0.21882666666666667,0.18314666666666668,0.18185333333333334,0.18806666666666666,0.18416,0.18982666666666667,0.18357333333333334,0.1834,0.18393333333333334,0.18341333333333334,0.18417333333333333,0.18429333333333334,0.18317333333333333,0.18506666666666666,0.18344,0.18312,0.18309333333333333,0.18305333333333335,0.18864,0.18864,0.18537333333333333,0.18537333333333333,0.18322666666666668,0.17510666666666666,0.18906666666666666,0.17624,0.17733333333333334,0.18178666666666668,0.18309333333333333,0.16234666666666667,0.18334666666666666,0.18672,0.18365333333333334,0.21476,0.21290666666666666,0.19917333333333334,0.15877333333333332,0.17450666666666667
Approval Chamberlin-Courant (CC),0.18241599999999997,0.18236,0.322,0.2769333333333333,0.21286666666666668,0.029453333333333335,0.14056,0.0,0.0,0.0,0.0,0.029453333333333335,0.0,0.029453333333333335,0.2718933333333333,0.029453333333333335,0.0,0.22562666666666667,0.27632,0.19845333333333334,0.24464,0.13781333333333334,0.18068,0.17718666666666666,0.11345333333333334,0.19158666666666666,0.18306666666666666,0.18312,0.18317333333333333,0.21882666666666667,0.18314666666666668,0.18185333333333334,0.18806666666666666,0.18416,0.18982666666666667,0.18357333333333334,0.1834,0.18393333333333334,0.18341333333333334,0.18417333333333333,0.18429333333333334,0.18317333333333333,0.18506666666666666,0.18344,0.18312,0.18309333333333333,0.18305333333333335,0.18864,0.18864,0.18537333333333333,0.18537333333333333,0.18322666666666668,0.17510666666666666,0.18906666666666666,0.17624,0.17733333333333334,0.18178666666666668,0.18309333333333333,0.16234666666666667,0.18334666666666666,0.18672,0.18365333333333334,0.21476,0.21290666666666666,0.19917333333333334,0.15877333333333332,0.17450666666666667
Lexicographic Chamberlin-Courant (lex-CC),0.18241599999999997,0.18236,0.322,0.2769333333333333,0.21286666666666668,0.029453333333333335,0.14056,0.0,0.0,0.0,0.0,0.029453333333333335,0.0,0.029453333333333335,0.2718933333333333,0.029453333333333335,0.0,0.22562666666666667,0.27632,0.19845333333333334,0.24464,0.13781333333333334,0.18068,0.17718666666666666,0.11345333333333334,0.19158666666666666,0.18306666666666666,0.18312,0.18317333333333333,0.21882666666666667,0.18314666666666668,0.18185333333333334,0.18806666666666666,0.18416,0.18982666666666667,0.18357333333333334,0.1834,0.18393333333333334,0.18341333333333334,0.18417333333333333,0.18429333333333334,0.18317333333333333,0.18506666666666666,0.18344,0.18312,0.18309333333333333,0.18305333333333335,0.18864,0.18864,0.18537333333333333,0.18537333333333333,0.18322666666666668,0.17510666666666666,0.18906666666666666,0.17624,0.17733333333333334,0.18178666666666668,0.18309333333333333,0.16234666666666667,0.18334666666666666,0.18672,0.18365333333333334,0.21476,0.21290666666666666,0.19917333333333334,0.15877333333333332,0.17450666666666667
