,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.012955999999999999,0.0,0.82928,0.49832,0.24630666666666667,0.37661333333333336,0.32792,0.2806133333333333,0.30429333333333336,0.38528,0.3773066666666667,0.43001333333333336,0.38497333333333333,0.3816,0.37416,0.31636,0.2873866666666667,0.4656
Max Violations Committee,0.8271406666666667,0.82928,0.0,0.5024133333333334,0.6174133333333334,0.5428,0.5962533333333333,0.6230266666666666,0.6019866666666667,0.6113333333333333,0.5604,0.4912533333333333,0.61116,0.5343066666666667,0.63776,0.58908,0.61508,0.5184933333333334
Random Choice,0.4982953333333333,0.49832,0.5024133333333334,0.0,0.50192,0.5013866666666666,0.50268,0.50096,0.5014533333333333,0.49962666666666666,0.50136,0.5013066666666667,0.4996933333333333,0.5005333333333334,0.4996933333333333,0.50028,0.50104,0.5010266666666666
Borda ranking,0.24742466666666668,0.24630666666666667,0.6174133333333334,0.50192,0.0,0.28813333333333335,0.255,0.17709333333333332,0.19906666666666667,0.38738666666666666,0.309,0.33704,0.38678666666666667,0.28688,0.39728,0.20973333333333333,0.18073333333333333,0.45097333333333334
Plurality ranking,0.3776193333333333,0.37661333333333336,0.5428,0.5013866666666666,0.28813333333333335,0.0,0.17181333333333335,0.36768,0.37237333333333333,0.4533333333333333,0.41041333333333335,0.4176666666666667,0.45269333333333334,0.3973466666666667,0.45937333333333336,0.37437333333333334,0.36824,0.47589333333333333
STV,0.32897466666666675,0.32792,0.5962533333333333,0.50268,0.255,0.17181333333333335,0.0,0.32162666666666667,0.3264533333333333,0.41705333333333333,0.37661333333333336,0.40074666666666664,0.41644,0.37089333333333335,0.42188,0.3302,0.32269333333333333,0.4696266666666667
Approval Voting (AV),0.28128200000000003,0.2806133333333333,0.6230266666666666,0.50096,0.17709333333333332,0.36768,0.32162666666666667,0.0,0.11044,0.36029333333333335,0.27485333333333334,0.32392,0.35964,0.25769333333333333,0.37090666666666666,0.13710666666666665,0.029186666666666666,0.44524
Proportional Approval Voting (PAV),0.30492066666666673,0.30429333333333336,0.6019866666666667,0.5014533333333333,0.19906666666666667,0.37237333333333333,0.3264533333333333,0.11044,0.0,0.3321733333333333,0.20341333333333333,0.2731866666666667,0.3313333333333333,0.235,0.3452133333333333,0.06961333333333333,0.09564,0.44810666666666665
Approval Chamberlin-Courant (CC),0.38516,0.38528,0.6113333333333333,0.49962666666666666,0.38738666666666666,0.4533333333333333,0.41705333333333333,0.36029333333333335,0.3321733333333333,0.0,0.21128,0.36129333333333336,0.0020266666666666666,0.38853333333333334,0.03693333333333333,0.34182666666666667,0.35785333333333336,0.47812
Lexicographic Chamberlin-Courant (lex-CC),0.3775773333333334,0.3773066666666667,0.5604,0.50136,0.309,0.41041333333333335,0.37661333333333336,0.27485333333333334,0.20341333333333333,0.21128,0.0,0.23321333333333333,0.21032,0.2935333333333333,0.22524,0.21653333333333333,0.26654666666666665,0.46364
Sequential Approval Chamberlin-Courant (seq-CC),0.43064800000000003,0.43001333333333336,0.4912533333333333,0.5013066666666667,0.33704,0.4176666666666667,0.40074666666666664,0.32392,0.2731866666666667,0.36129333333333336,0.23321333333333333,0.0,0.36089333333333334,0.28676,0.37605333333333335,0.2590266666666667,0.31552,0.46902666666666665
