,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.03223,0.0,0.88032,0.50016,0.09397333333333334,0.3286266666666667,0.2556,0.10422666666666666,0.15101333333333333,0.4451733333333333,0.24049333333333334,0.41588,0.3286,0.22814666666666666,0.44077333333333335,0.18529333333333334,0.1238,0.35717333333333334
Max Violations Committee,0.8762193333333332,0.88032,0.0,0.4982,0.8356,0.6545866666666667,0.715,0.8448666666666667,0.7991466666666667,0.5764666666666667,0.7237066666666667,0.5637066666666667,0.6883333333333334,0.7332666666666666,0.58036,0.7707466666666667,0.82256,0.6344933333333334
Random Choice,0.4999286666666667,0.50016,0.4982,0.0,0.50028,0.50124,0.50148,0.5012133333333333,0.5007733333333333,0.5005466666666667,0.5011866666666667,0.5001333333333333,0.4997466666666667,0.50064,0.50088,0.5016666666666667,0.50104,0.5024666666666666
Borda ranking,0.07935333333333333,0.09397333333333334,0.8356,0.50028,0.0,0.3316133333333333,0.24796,0.10453333333333334,0.10277333333333333,0.46276,0.19633333333333333,0.38752,0.3387733333333333,0.19192,0.4573333333333333,0.1386,0.09661333333333333,0.35230666666666666
Plurality ranking,0.33386933333333335,0.3286266666666667,0.6545866666666667,0.50124,0.3316133333333333,0.0,0.16334666666666667,0.33588,0.3590933333333333,0.4896933333333333,0.4017866666666667,0.47358666666666666,0.40841333333333335,0.3907333333333333,0.4881466666666667,0.37274666666666667,0.34285333333333334,0.43165333333333333
STV,0.25938,0.2556,0.715,0.50148,0.24796,0.16334666666666667,0.0,0.26498666666666665,0.27597333333333335,0.4736533333333333,0.32842666666666664,0.44196,0.37202666666666667,0.32133333333333336,0.4703466666666667,0.29376,0.2653466666666667,0.40109333333333336
Approval Voting (AV),0.090984,0.10422666666666666,0.8448666666666667,0.5012133333333333,0.10453333333333334,0.33588,0.26498666666666665,0.0,0.10553333333333334,0.46081333333333335,0.2144,0.40926666666666667,0.33308,0.20209333333333335,0.456,0.15137333333333333,0.04201333333333333,0.3456666666666667
Proportional Approval Voting (PAV),0.13823533333333332,0.15101333333333333,0.7991466666666667,0.5007733333333333,0.10277333333333333,0.3590933333333333,0.27597333333333335,0.10553333333333334,0.0,0.45754666666666666,0.12394666666666666,0.39488,0.33388,0.16029333333333334,0.4513066666666667,0.08010666666666667,0.07808,0.35214666666666666
Approval Chamberlin-Courant (CC),0.4519360000000001,0.4451733333333333,0.5764666666666667,0.5005466666666667,0.46276,0.4896933333333333,0.4736533333333333,0.46081333333333335,0.45754666666666666,0.0,0.45422666666666667,0.6927866666666667,0.22657333333333332,0.49034666666666665,0.007986666666666666,0.46525333333333335,0.46026666666666666,0.48505333333333334
Lexicographic Chamberlin-Courant (lex-CC),0.23030400000000004,0.24049333333333334,0.7237066666666667,0.5011866666666667,0.19633333333333333,0.4017866666666667,0.32842666666666664,0.2144,0.12394666666666666,0.45422666666666667,0.0,0.39925333333333335,0.34964,0.17381333333333332,0.44632,0.12117333333333333,0.19302666666666668,0.37218666666666667
