,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.026186666666666664,0.0,0.8966133333333334,0.4990133333333333,0.08230666666666667,0.312,0.23221333333333333,0.08901333333333333,0.13001333333333334,0.44496,0.22913333333333333,0.4118,0.31509333333333334,0.20672,0.4418666666666667,0.1596,0.10497333333333334,0.3415066666666667
Max Violations Committee,0.8934586666666667,0.8966133333333334,0.0,0.49990666666666667,0.8549066666666667,0.6708,0.7391066666666667,0.86592,0.82384,0.57312,0.7376533333333334,0.57136,0.6979466666666667,0.7560933333333333,0.5759066666666667,0.7988533333333333,0.8461733333333333,0.6499733333333333
Random Choice,0.49917599999999995,0.4990133333333333,0.49990666666666667,0.0,0.49917333333333336,0.49952,0.49892,0.4994,0.49889333333333336,0.50176,0.5002,0.5015333333333334,0.4997333333333333,0.5006666666666667,0.5014266666666667,0.4989866666666667,0.49950666666666665,0.49724
Borda ranking,0.07022933333333334,0.08230666666666667,0.8549066666666667,0.49917333333333336,0.0,0.31328,0.22490666666666667,0.09278666666666667,0.08826666666666666,0.45898666666666665,0.19053333333333333,0.38676,0.32242666666666664,0.17430666666666667,0.4552933333333333,0.11796,0.08524,0.33858666666666665
Plurality ranking,0.31598066666666674,0.312,0.6708,0.49952,0.31328,0.0,0.16157333333333335,0.3162,0.3367866666666667,0.5020533333333334,0.3834266666666667,0.45316,0.40298666666666666,0.3681066666666667,0.5005466666666667,0.3473466666666667,0.3228933333333333,0.4165466666666667
STV,0.23523199999999997,0.23221333333333333,0.7391066666666667,0.49892,0.22490666666666667,0.16157333333333335,0.0,0.24026666666666666,0.24765333333333334,0.47018666666666664,0.30565333333333333,0.43518666666666667,0.35232,0.29330666666666666,0.46797333333333335,0.26164,0.24077333333333334,0.3835866666666667
Approval Voting (AV),0.07820666666666666,0.08901333333333333,0.86592,0.4994,0.09278666666666667,0.3162,0.24026666666666666,0.0,0.09425333333333333,0.45665333333333336,0.21229333333333333,0.40718666666666664,0.31781333333333334,0.18941333333333332,0.45332,0.13444,0.03453333333333333,0.3331866666666667
Proportional Approval Voting (PAV),0.119664,0.13001333333333334,0.82384,0.49889333333333336,0.08826666666666666,0.3367866666666667,0.24765333333333334,0.09425333333333333,0.0,0.45341333333333333,0.13294666666666666,0.39344,0.3170133333333333,0.14701333333333333,0.4494,0.06794666666666667,0.07085333333333334,0.34026666666666666
Approval Chamberlin-Courant (CC),0.44895199999999996,0.44496,0.57312,0.50176,0.45898666666666665,0.5020533333333334,0.47018666666666664,0.45665333333333336,0.45341333333333333,0.0,0.4510266666666667,0.6891866666666666,0.23929333333333333,0.4822666666666667,0.00548,0.4594933333333333,0.45604,0.48024
Lexicographic Chamberlin-Courant (lex-CC),0.22083466666666668,0.22913333333333333,0.7376533333333334,0.5002,0.19053333333333333,0.3834266666666667,0.30565333333333333,0.21229333333333333,0.13294666666666666,0.4510266666666667,0.0,0.39770666666666665,0.3364933333333333,0.165,0.4456,0.12666666666666668,0.19462666666666667,0.36373333333333335
Sequential Approval Chamberlin-Courant (seq-CC),0.4062646666666666,0.4118,0.57136,0.5015333333333334,0.38676,0.45316,0.43518666666666667,0.40718666666666664,0.39344,0.6891866666666666,0.39770666666666665,0.0,0.5804533333333334,0.37805333333333335,0.6847066666666667,0.3906,0.3989333333333333,0.4389866666666667
Monroe's Approval Rule (Monroe),0.3157313333333333,0.31509333333333334,0.6979466666666667,0.4997333333333333,0.32242666666666664,0.40298666666666666,0.35232,0.31781333333333334,0.3170133333333333,0.23929333333333333,0.3364933333333333,0.5804533333333334,0.0,0.35964,0.23933333333333334,0.3261733333333333,0.3184,0.4070933333333333
Greedy Monroe,0.19780000000000003,0.20672,0.7560933333333333,0.5006666666666667,0.17430666666666667,0.3681066666666667,0.29330666666666666,0.18941333333333332,0.14701333333333333,0.4822666666666667,0.165,0.37805333333333335,0.35964,0.0,0.47758666666666666,0.13018666666666667,0.17709333333333332,0.35756
Minimax Approval Voting (MAV),0.44569066666666673,0.4418666666666667,0.5759066666666667,0.5014266666666667,0.4552933333333333,0.5005466666666667,0.46797333333333335,0.45332,0.4494,0.00548,0.4456,0.6847066666666667,0.23933333333333334,0.47758666666666666,0.0,0.4552,0.45268,0.47813333333333335
Method of Equal Shares (aka Rule X) with Phragmén phase,0.14968666666666663,0.1596,0.7988533333333333,0.4989866666666667,0.11796,0.3473466666666667,0.26164,0.13444,0.06794666666666667,0.4594933333333333,0.12666666666666668,0.3906,0.3261733333333333,0.13018666666666667,0.4552,0.0,0.11662666666666667,0.34597333333333335
E Pluribus Hugo (EPH),0.094364,0.10497333333333334,0.8461733333333333,0.49950666666666665,0.08524,0.3228933333333333,0.24077333333333334,0.03453333333333333,0.07085333333333334,0.45604,0.19462666666666667,0.3989333333333333,0.3184,0.17709333333333332,0.45268,0.11662666666666667,0.0,0.3359333333333333
Random Serial Dictator,0.33780066666666664,0.3415066666666667,0.6499733333333333,0.49724,0.33858666666666665,0.4165466666666667,0.3835866666666667,0.3331866666666667,0.34026666666666666,0.48024,0.36373333333333335,0.4389866666666667,0.4070933333333333,0.35756,0.47813333333333335,0.34597333333333335,0.3359333333333333,0.0
NN,,0.026186666666666664,0.8934586666666667,0.49917599999999995,0.07022933333333334,0.31598066666666674,0.23523199999999997,0.07820666666666666,0.119664,0.44895199999999996,0.22083466666666668,0.4062646666666666,0.3157313333333333,0.19780000000000003,0.44569066666666673,0.14968666666666663,0.094364,0.33780066666666664
