,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.02702091916323348,0.0,0.3333333333333333,0.27750889964401426,0.10655573777048918,0.20296521472474435,0.1790195058864312,0.18897910750236657,0.18897910750236657,0.2365238723784382,0.18897910750236657,0.2848019412556831,0.2365238723784382,0.2400570643840913,0.2365238723784382,0.19339226430942763,0.18897910750236657,0.2640294388224471
Max Violations Committee,0.33022012452835214,0.3333333333333333,0.0,0.2782288708451662,0.32960014932736026,0.33244003573190406,0.3328266869325227,0.3088143140941029,0.3088143140941029,0.3005746436809194,0.3088143140941029,0.2576696932122715,0.3005746436809194,0.29421489807074386,0.3005746436809194,0.30582776688932445,0.3088143140941029,0.28490860365585374
Random Choice,0.2770942495633508,0.27750889964401426,0.2782288708451662,0.0,0.27717557964348094,0.2776155620441849,0.27801554604482487,0.27570897164113434,0.27570897164113434,0.2765889364425423,0.27570897164113434,0.2781222084449955,0.2765889364425423,0.27740223724384355,0.2765889364425423,0.27628228204205163,0.27570897164113434,0.2780555444448889
Borda ranking,0.10179192832286706,0.10655573777048918,0.32960014932736026,0.27717557964348094,0.0,0.1831660066930656,0.16447342106315746,0.17321973787715159,0.17321973787715159,0.28113542124981666,0.17321973787715159,0.26494940202391903,0.28113542124981666,0.2258576323613722,0.28113542124981666,0.16836659866938655,0.17321973787715159,0.2606295748170073
Plurality ranking,0.20823300401317282,0.20296521472474435,0.33244003573190406,0.2776155620441849,0.1831660066930656,0.0,0.05510446248816714,0.26056291081690064,0.26056291081690064,0.28950841966321345,0.26056291081690064,0.26162953481860723,0.28950841966321345,0.2627094916203352,0.28950841966321345,0.2540965028065544,0.26056291081690064,0.2750823300401317
STV,0.18622988413796784,0.1790195058864312,0.3328266869325227,0.27801554604482487,0.16447342106315746,0.05510446248816714,0.0,0.2513899444022239,0.2513899444022239,0.2753089876404944,0.2513899444022239,0.2755223124408357,0.2753089876404944,0.26146954121835125,0.2753089876404944,0.24864338759782942,0.2513899444022239,0.27370905163793446
Approval Voting (AV),0.17881551404610482,0.18897910750236657,0.3088143140941029,0.27570897164113434,0.17321973787715159,0.26056291081690064,0.2513899444022239,0.0,0.0,0.26413610122261777,0.0,0.2778288868445262,0.26413610122261777,0.19875204991800327,0.26413610122261777,0.05987760489580417,0.0,0.2510166260016266
Proportional Approval Voting (PAV),0.17881551404610482,0.18897910750236657,0.3088143140941029,0.27570897164113434,0.17321973787715159,0.26056291081690064,0.2513899444022239,0.0,0.0,0.26413610122261777,0.0,0.2778288868445262,0.26413610122261777,0.19875204991800327,0.26413610122261777,0.05987760489580417,0.0,0.2510166260016266
Approval Chamberlin-Courant (CC),0.2361038891777662,0.2365238723784382,0.3005746436809194,0.2765889364425423,0.28113542124981666,0.28950841966321345,0.2753089876404944,0.26413610122261777,0.26413610122261777,0.0,0.26413610122261777,0.3333333333333333,0.0,0.2954815140727704,0.0,0.2861085556577737,0.26413610122261777,0.27520232524032373
Lexicographic Chamberlin-Courant (lex-CC),0.17881551404610482,0.18897910750236657,0.3088143140941029,0.27570897164113434,0.17321973787715159,0.26056291081690064,0.2513899444022239,0.0,0.0,0.26413610122261777,0.0,0.2778288868445262,0.26413610122261777,0.19875204991800327,0.26413610122261777,0.05987760489580417,0.0,0.2510166260016266
Sequential Approval Chamberlin-Courant (seq-CC),0.2828473527725558,0.2848019412556831,0.2576696932122715,0.2781222084449955,0.26494940202391903,0.26162953481860723,0.2755223124408357,0.2778288868445262,0.2778288868445262,0.3333333333333333,0.2778288868445262,0.0,0.3333333333333333,0.24097702758556325,0.3333333333333333,0.2526165620041865,0.2778288868445262,0.2738023812380838
Monroe's Approval Rule (Monroe),0.2361038891777662,0.2365238723784382,0.3005746436809194,0.2765889364425423,0.28113542124981666,0.28950841966321345,0.2753089876404944,0.26413610122261777,0.26413610122261777,0.0,0.26413610122261777,0.3333333333333333,0.0,0.2954815140727704,0.0,0.2861085556577737,0.26413610122261777,0.27520232524032373
Greedy Monroe,0.23654253829846808,0.2400570643840913,0.29421489807074386,0.27740223724384355,0.2258576323613722,0.2627094916203352,0.26146954121835125,0.19875204991800327,0.19875204991800327,0.2954815140727704,0.19875204991800327,0.24097702758556325,0.2954815140727704,0.0,0.2954815140727704,0.1884191299014706,0.19875204991800327,0.2635361252216578
Minimax Approval Voting (MAV),0.2361038891777662,0.2365238723784382,0.3005746436809194,0.2765889364425423,0.28113542124981666,0.28950841966321345,0.2753089876404944,0.26413610122261777,0.26413610122261777,0.0,0.26413610122261777,0.3333333333333333,0.0,0.2954815140727704,0.0,0.2861085556577737,0.26413610122261777,0.27520232524032373
Method of Equal Shares (aka Rule X) with Phragmén phase,0.18401863925442982,0.19339226430942763,0.30582776688932445,0.27628228204205163,0.16836659866938655,0.2540965028065544,0.24864338759782942,0.05987760489580417,0.05987760489580417,0.2861085556577737,0.05987760489580417,0.2526165620041865,0.2861085556577737,0.1884191299014706,0.2861085556577737,0.0,0.05987760489580417,0.2534965268055944
E Pluribus Hugo (EPH),0.17881551404610482,0.18897910750236657,0.3088143140941029,0.27570897164113434,0.17321973787715159,0.26056291081690064,0.2513899444022239,0.0,0.0,0.26413610122261777,0.0,0.2778288868445262,0.26413610122261777,0.19875204991800327,0.26413610122261777,0.05987760489580417,0.0,0.2510166260016266
Random Serial Dictator,0.2626621601802595,0.2640294388224471,0.28490860365585374,0.2780555444448889,0.2606295748170073,0.2750823300401317,0.27370905163793446,0.2510166260016266,0.2510166260016266,0.27520232524032373,0.2510166260016266,0.2738023812380838,0.27520232524032373,0.2635361252216578,0.27520232524032373,0.2534965268055944,0.2510166260016266,0.0
NN,,0.02702091916323348,0.33022012452835214,0.2770942495633508,0.10179192832286706,0.20823300401317282,0.18622988413796784,0.17881551404610482,0.17881551404610482,0.2361038891777662,0.17881551404610482,0.2828473527725558,0.2361038891777662,0.23654253829846808,0.2361038891777662,0.18401863925442982,0.17881551404610482,0.2626621601802595
