,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.0,0.5714285714285714,0.4075542857142857,0.03601142857142857,0.10085714285714285,0.10266285714285714,0.022548571428571428,0.09133714285714285,0.2857142857142857,0.2856914285714286,0.2742514285714286,0.2679314285714286,0.13864,0.39478857142857143,0.05837714285714286,0.03001142857142857,0.24448
Max Violations Committee,0.5714285714285715,0.5714285714285714,0.0,0.4089714285714286,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714171428571428,0.5714057142857143,0.5714057142857143,0.5713942857142857,0.5714171428571428,0.5714171428571428,0.41465142857142856,0.5714171428571428,0.5714285714285714,0.5534971428571429
Random Choice,0.4075542857142856,0.4075542857142857,0.4089714285714286,0.0,0.40714285714285714,0.4068,0.40803428571428574,0.40741714285714287,0.4071314285714286,0.40878857142857145,0.40877714285714284,0.4070628571428571,0.40875428571428574,0.4067314285714286,0.40882285714285715,0.4065485714285714,0.4069028571428571,0.40632
Borda ranking,0.036011428571428576,0.03601142857142857,0.5714285714285714,0.40714285714285714,0.0,0.08632,0.09464,0.04060571428571429,0.09258285714285715,0.2857142857142857,0.2856914285714286,0.2724114285714286,0.26790857142857144,0.13309714285714286,0.40285714285714286,0.057325714285714285,0.03942857142857143,0.24553142857142857
Plurality ranking,0.10085714285714283,0.10085714285714285,0.5714285714285714,0.4068,0.08632,0.0,0.07628571428571429,0.09755428571428572,0.12248,0.25850285714285715,0.25848,0.29377142857142857,0.24140571428571428,0.16472,0.40809142857142855,0.10865142857142857,0.09865142857142857,0.25446857142857143
STV,0.1026628571428572,0.10266285714285714,0.5714285714285714,0.40803428571428574,0.09464,0.07628571428571429,0.0,0.10610285714285714,0.10357714285714285,0.22187428571428572,0.22185142857142856,0.3241257142857143,0.20422857142857143,0.17536,0.3984114285714286,0.11006857142857143,0.10476571428571428,0.2586857142857143
Approval Voting (AV),0.02254857142857142,0.022548571428571428,0.5714285714285714,0.40741714285714287,0.04060571428571429,0.09755428571428572,0.10610285714285714,0.0,0.08569142857142857,0.28494857142857144,0.2849257142857143,0.27205714285714283,0.2671657142857143,0.1334857142857143,0.3982171428571429,0.04997714285714286,0.014365714285714285,0.2444
Proportional Approval Voting (PAV),0.09133714285714281,0.09133714285714285,0.5714171428571428,0.4071314285714286,0.09258285714285715,0.12248,0.10357714285714285,0.08569142857142857,0.0,0.21736,0.21733714285714287,0.3096685714285714,0.19994285714285714,0.1532,0.3936685714285714,0.06376,0.08106285714285714,0.2520914285714286
Approval Chamberlin-Courant (CC),0.28571428571428575,0.2857142857142857,0.5714057142857143,0.40878857142857145,0.2857142857142857,0.25850285714285715,0.22187428571428572,0.28494857142857144,0.21736,0.0,2.2857142857142858e-05,0.48212571428571427,0.032182857142857145,0.30890285714285715,0.3878285714285714,0.26790857142857144,0.28465142857142856,0.30356571428571427
Lexicographic Chamberlin-Courant (lex-CC),0.28569142857142854,0.2856914285714286,0.5714057142857143,0.40877714285714284,0.2856914285714286,0.25848,0.22185142857142856,0.2849257142857143,0.21733714285714287,2.2857142857142858e-05,0.0,0.48210285714285717,0.03216,0.30888,0.38784,0.2678857142857143,0.28462857142857145,0.30356571428571427
Sequential Approval Chamberlin-Courant (seq-CC),0.27425142857142865,0.2742514285714286,0.5713942857142857,0.4070628571428571,0.2724114285714286,0.29377142857142857,0.3241257142857143,0.27205714285714283,0.3096685714285714,0.48212571428571427,0.48210285714285717,0.0,0.48956571428571427,0.18818285714285715,0.42224,0.2502971428571429,0.2707085714285714,0.32027428571428573
Monroe's Approval Rule (Monroe),0.26793142857142854,0.2679314285714286,0.5714171428571428,0.40875428571428574,0.26790857142857144,0.24140571428571428,0.20422857142857143,0.2671657142857143,0.19994285714285714,0.032182857142857145,0.03216,0.48956571428571427,0.0,0.3047314285714286,0.3886857142857143,0.2509942857142857,0.26686857142857145,0.29776
Greedy Monroe,0.13863999999999996,0.13864,0.5714171428571428,0.4067314285714286,0.13309714285714286,0.16472,0.17536,0.1334857142857143,0.1532,0.30890285714285715,0.30888,0.18818285714285715,0.3047314285714286,0.0,0.41490285714285713,0.10027428571428572,0.12664,0.2653028571428571
Minimax Approval Voting (MAV),0.39478857142857143,0.39478857142857143,0.41465142857142856,0.40882285714285715,0.40285714285714286,0.40809142857142855,0.3984114285714286,0.3982171428571429,0.3936685714285714,0.3878285714285714,0.38784,0.42224,0.3886857142857143,0.41490285714285713,0.0,0.40258285714285713,0.4001257142857143,0.4014628571428571
Method of Equal Shares (aka Rule X) with Phragmén phase,0.05837714285714283,0.05837714285714286,0.5714171428571428,0.4065485714285714,0.057325714285714285,0.10865142857142857,0.11006857142857143,0.04997714285714286,0.06376,0.26790857142857144,0.2678857142857143,0.2502971428571429,0.2509942857142857,0.10027428571428572,0.40258285714285713,0.0,0.03624,0.24756571428571428
E Pluribus Hugo (EPH),0.030011428571428564,0.03001142857142857,0.5714285714285714,0.4069028571428571,0.03942857142857143,0.09865142857142857,0.10476571428571428,0.014365714285714285,0.08106285714285714,0.28465142857142856,0.28462857142857145,0.2707085714285714,0.26686857142857145,0.12664,0.4001257142857143,0.03624,0.0,0.24416
Random Serial Dictator,0.24448000000000011,0.24448,0.5534971428571429,0.40632,0.24553142857142857,0.25446857142857143,0.2586857142857143,0.2444,0.2520914285714286,0.30356571428571427,0.30356571428571427,0.32027428571428573,0.29776,0.2653028571428571,0.4014628571428571,0.24756571428571428,0.24416,0.0
NN,,0.0,0.5714285714285715,0.4075542857142856,0.036011428571428576,0.10085714285714283,0.1026628571428572,0.02254857142857142,0.09133714285714281,0.28571428571428575,0.28569142857142854,0.27425142857142865,0.26793142857142854,0.13863999999999996,0.39478857142857143,0.05837714285714283,0.030011428571428564,0.24448000000000011
