,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.02639542857142857,0.0,0.2857142857142857,0.24421714285714285,0.057954285714285715,0.19352,0.12776,0.08131428571428571,0.08131428571428571,0.2316,0.08131428571428571,0.2508114285714286,0.21204571428571428,0.13473142857142859,0.21499428571428572,0.08610285714285715,0.08131428571428571,0.16066285714285714
Max Violations Committee,0.28529885714285713,0.2857142857142857,0.0,0.24610285714285715,0.2852914285714286,0.28466285714285716,0.28536,0.2823657142857143,0.2823657142857143,0.25413714285714284,0.2823657142857143,0.23186285714285715,0.25768,0.27865142857142855,0.2572114285714286,0.2817485714285714,0.2823657142857143,0.27645714285714285
Random Choice,0.24418457142857145,0.24421714285714285,0.24610285714285715,0.0,0.24354285714285714,0.2439542857142857,0.24409142857142857,0.24428571428571427,0.24428571428571427,0.24550857142857144,0.24428571428571427,0.24504,0.24514285714285713,0.2447542857142857,0.24509714285714285,0.2445942857142857,0.24428571428571427,0.24430857142857143
Borda ranking,0.056879428571428574,0.057954285714285715,0.2852914285714286,0.24354285714285714,0.0,0.1811542857142857,0.11348571428571429,0.08340571428571429,0.08340571428571429,0.24461714285714287,0.08340571428571429,0.24309714285714284,0.22506285714285715,0.12906285714285715,0.22801142857142856,0.08323428571428572,0.08340571428571429,0.15898285714285715
Plurality ranking,0.19942114285714285,0.19352,0.28466285714285716,0.2439542857142857,0.1811542857142857,0.0,0.12457142857142857,0.2099542857142857,0.2099542857142857,0.26024,0.2099542857142857,0.2078742857142857,0.2558971428571429,0.21286857142857143,0.25662857142857143,0.20732571428571428,0.2099542857142857,0.22326857142857143
STV,0.1365657142857143,0.12776,0.28536,0.24409142857142857,0.11348571428571429,0.12457142857142857,0.0,0.15878857142857142,0.15878857142857142,0.24393142857142858,0.15878857142857142,0.24468571428571428,0.2244,0.1756457142857143,0.2273257142857143,0.1589142857142857,0.15878857142857142,0.18825142857142857
Approval Voting (AV),0.06640171428571429,0.08131428571428571,0.2823657142857143,0.24428571428571427,0.08340571428571429,0.2099542857142857,0.15878857142857142,0.0,0.0,0.24073142857142857,0.0,0.24662857142857142,0.22117714285714285,0.11454857142857143,0.2241257142857143,0.02305142857142857,0.0,0.15134857142857142
Proportional Approval Voting (PAV),0.06640171428571429,0.08131428571428571,0.2823657142857143,0.24428571428571427,0.08340571428571429,0.2099542857142857,0.15878857142857142,0.0,0.0,0.24073142857142857,0.0,0.24662857142857142,0.22117714285714285,0.11454857142857143,0.2241257142857143,0.02305142857142857,0.0,0.15134857142857142
Approval Chamberlin-Courant (CC),0.232488,0.2316,0.25413714285714284,0.24550857142857144,0.24461714285714287,0.26024,0.24393142857142858,0.24073142857142857,0.24073142857142857,0.0,0.24073142857142857,0.2857142857142857,0.019554285714285715,0.2541257142857143,0.016605714285714286,0.24809142857142857,0.24073142857142857,0.24428571428571427
Lexicographic Chamberlin-Courant (lex-CC),0.06640171428571429,0.08131428571428571,0.2823657142857143,0.24428571428571427,0.08340571428571429,0.2099542857142857,0.15878857142857142,0.0,0.0,0.24073142857142857,0.0,0.24662857142857142,0.22117714285714285,0.11454857142857143,0.2241257142857143,0.02305142857142857,0.0,0.15134857142857142
