,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.012731428571428572,0.0,0.2857142857142857,0.24482285714285715,0.033542857142857145,0.2234742857142857,0.18488,0.010937142857142857,0.010937142857142857,0.2424457142857143,0.010937142857142857,0.24552,0.2424457142857143,0.10988571428571428,0.2424457142857143,0.02162285714285714,0.010937142857142857,0.12546285714285715
Max Violations Committee,0.28570971428571434,0.2857142857142857,0.0,0.24453714285714287,0.28538285714285716,0.2842857142857143,0.28347428571428573,0.2857142857142857,0.2857142857142857,0.25845714285714283,0.2857142857142857,0.22789714285714285,0.25845714285714283,0.28340571428571426,0.25845714285714283,0.2857142857142857,0.2857142857142857,0.2834285714285714
Random Choice,0.2447308571428572,0.24482285714285715,0.24453714285714287,0.0,0.24443428571428572,0.24489142857142857,0.2445942857142857,0.24486857142857144,0.24486857142857144,0.24488,0.24486857142857144,0.24497142857142856,0.24488,0.24449142857142858,0.24488,0.24478857142857144,0.24486857142857144,0.24505142857142856
Borda ranking,0.03937028571428571,0.033542857142857145,0.28538285714285716,0.24443428571428572,0.0,0.21690285714285715,0.17555428571428572,0.04054857142857143,0.04054857142857143,0.24700571428571427,0.04054857142857143,0.24290285714285714,0.24700571428571427,0.10994285714285715,0.24700571428571427,0.03841142857142857,0.04054857142857143,0.12730285714285713
Plurality ranking,0.22534285714285715,0.2234742857142857,0.2842857142857143,0.24489142857142857,0.21690285714285715,0.0,0.10513142857142857,0.22592,0.22592,0.25539428571428574,0.22592,0.23130285714285714,0.25539428571428574,0.2350057142857143,0.25539428571428574,0.22368,0.22592,0.24093714285714285
STV,0.18757828571428575,0.18488,0.28347428571428573,0.2445942857142857,0.17555428571428572,0.10513142857142857,0.0,0.18777142857142856,0.18777142857142856,0.24374857142857143,0.18777142857142856,0.24768,0.24374857142857143,0.21088,0.24374857142857143,0.18842285714285714,0.18777142857142856,0.21936
Approval Voting (AV),0.005625714285714286,0.010937142857142857,0.2857142857142857,0.24486857142857144,0.04054857142857143,0.22592,0.18777142857142856,0.0,0.0,0.24133714285714286,0.0,0.24841142857142856,0.24133714285714286,0.11149714285714285,0.24133714285714286,0.0308,0.0,0.12545142857142857
Proportional Approval Voting (PAV),0.005625714285714286,0.010937142857142857,0.2857142857142857,0.24486857142857144,0.04054857142857143,0.22592,0.18777142857142856,0.0,0.0,0.24133714285714286,0.0,0.24841142857142856,0.24133714285714286,0.11149714285714285,0.24133714285714286,0.0308,0.0,0.12545142857142857
Approval Chamberlin-Courant (CC),0.24270571428571427,0.2424457142857143,0.25845714285714283,0.24488,0.24700571428571427,0.25539428571428574,0.24374857142857143,0.24133714285714286,0.24133714285714286,0.0,0.24133714285714286,0.2857142857142857,0.0,0.25578285714285715,0.0,0.2500342857142857,0.24133714285714286,0.24470857142857144
Lexicographic Chamberlin-Courant (lex-CC),0.005625714285714286,0.010937142857142857,0.2857142857142857,0.24486857142857144,0.04054857142857143,0.22592,0.18777142857142856,0.0,0.0,0.24133714285714286,0.0,0.24841142857142856,0.24133714285714286,0.11149714285714285,0.24133714285714286,0.0308,0.0,0.12545142857142857
Sequential Approval Chamberlin-Courant (seq-CC),0.24763028571428572,0.24552,0.22789714285714285,0.24497142857142856,0.24290285714285714,0.23130285714285714,0.24768,0.24841142857142856,0.24841142857142856,0.2857142857142857,0.24841142857142856,0.0,0.2857142857142857,0.23297142857142858,0.2857142857142857,0.23885714285714285,0.24841142857142856,0.2445257142857143
Monroe's Approval Rule (Monroe),0.24270571428571427,0.2424457142857143,0.25845714285714283,0.24488,0.24700571428571427,0.25539428571428574,0.24374857142857143,0.24133714285714286,0.24133714285714286,0.0,0.24133714285714286,0.2857142857142857,0.0,0.25578285714285715,0.0,0.2500342857142857,0.24133714285714286,0.24470857142857144
Greedy Monroe,0.11092057142857142,0.10988571428571428,0.28340571428571426,0.24449142857142858,0.10994285714285715,0.2350057142857143,0.21088,0.11149714285714285,0.11149714285714285,0.25578285714285715,0.11149714285714285,0.23297142857142858,0.25578285714285715,0.0,0.25578285714285715,0.10202285714285714,0.11149714285714285,0.13445714285714286
Minimax Approval Voting (MAV),0.24270571428571427,0.2424457142857143,0.25845714285714283,0.24488,0.24700571428571427,0.25539428571428574,0.24374857142857143,0.24133714285714286,0.24133714285714286,0.0,0.24133714285714286,0.2857142857142857,0.0,0.25578285714285715,0.0,0.2500342857142857,0.24133714285714286,0.24470857142857144
