Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.33498769230769226,0.10424,0.85224,0.10424,0.70336,0.10424,0.01332,0.0,0.69896,0.36288,0.00904,0.69896,0.70336,0.0
Borda ranking,0.003963076923076923,0.0,0.05152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.04636615384615384,0.0,0.588,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.00496,0.0,0.0,0.0
STV,0.008898461538461539,0.0,0.11568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.012784615384615386,0.0,0.16616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.012784615384615386,0.0,0.16616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.3344830769230768,0.10444,0.85016,0.10444,0.70404,0.10444,0.01344,0.0,0.69888,0.35612,0.0094,0.69888,0.70404,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.012784615384615386,0.0,0.16616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.30356,0.0,0.84484,0.0,0.69544,0.0,0.0132,0.0,0.68972,0.3092,0.00872,0.68972,0.69544,0.0
Monroe's Approval Rule (Monroe),0.18726769230769233,0.00524,0.56988,0.00524,0.41716,0.00524,0.00108,0.0,0.4134,0.18616,0.00052,0.4134,0.41716,0.0
Greedy Monroe,0.030061538461538466,0.0,0.38812,0.0,0.0,0.0,0.00124,0.0,0.0,0.0,0.00144,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.04680307692307693,0.0,0.59404,0.0,0.0,0.0,0.00948,0.0,0.0,0.0,0.00492,0.0,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.012889230769230771,0.0,0.16752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.012784615384615386,0.0,0.16616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0
Random Serial Dictator,0.041639999999999996,0.0,0.53104,0.0,0.0,0.0,0.00652,0.0,0.0,0.0,0.00376,0.0,0.0,0.0
