Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.012221538461538463,0.0,0.00016,0.0,0.06872,0.0,0.0,0.0,0.0448,0.0,0.0,0.0448,0.0004,0.0
NN-1,0.012163076923076924,8e-05,4e-05,0.0,0.06848,0.0,0.0,0.0,0.04452,0.0,0.0,0.04452,0.00048,0.0
NN-2,0.012163076923076924,8e-05,4e-05,0.0,0.06836,0.0,0.0,0.0,0.04456,0.0,0.0,0.04456,0.00052,0.0
NN-3,0.01234769230769231,8e-05,0.00032,0.0,0.06932,0.0,0.0,0.0,0.04508,0.0,0.0,0.04508,0.00064,0.0
NN-4,0.012264615384615384,0.0,0.00024,0.0,0.06896,0.0,0.0,0.0,0.0448,0.0,0.0,0.0448,0.00064,0.0
NN-5,0.012396923076923076,8e-05,0.0008,0.0,0.06924,0.0,0.0,0.0,0.04508,0.0,0.0,0.04508,0.00088,0.0
NN-6,0.012264615384615382,8e-05,0.0002,0.0,0.06888,0.0,0.0,0.0,0.04484,0.0,0.0,0.04484,0.0006,0.0
NN-7,0.01226769230769231,0.00012,0.00024,0.0,0.06884,0.0,0.0,0.0,0.0448,0.0,0.0,0.0448,0.00068,0.0
NN-8,0.012298461538461538,0.0,0.00084,0.0,0.0688,0.0,0.0,0.0,0.04484,0.0,0.0,0.04484,0.00056,0.0
NN-9,0.012412307692307695,0.00016,0.00076,0.0,0.06932,0.0,0.0,0.0,0.04524,0.0,0.0,0.04524,0.00064,0.0
NN-10,0.012283076923076924,8e-05,0.00044,0.0,0.069,0.0,0.0,0.0,0.0448,0.0,0.0,0.0448,0.00056,0.0
NN-11,0.012206153846153846,8e-05,0.00032,0.0,0.06848,0.0,0.0,0.0,0.04464,0.0,0.0,0.04464,0.00052,0.0
NN-12,0.012307692307692308,8e-05,0.00064,0.0,0.06896,0.0,0.0,0.0,0.0448,0.0,0.0,0.0448,0.00072,0.0
NN-13,0.012341538461538461,0.00012,0.00052,0.0,0.06908,0.0,0.0,0.0,0.04504,0.0,0.0,0.04504,0.00064,0.0
NN-14,0.012360000000000001,8e-05,0.00016,0.0,0.06936,0.0,0.0,0.0,0.04516,0.0,0.0,0.04516,0.00076,0.0
NN-15,0.01229846153846154,8e-05,0.00036,0.0,0.06908,0.0,0.0,0.0,0.0448,0.0,0.0,0.0448,0.00076,0.0
NN-16,0.012304615384615384,8e-05,0.00064,0.0,0.0688,0.0,0.0,0.0,0.04488,0.0,0.0,0.04488,0.00068,0.0
NN-17,0.012255384615384614,8e-05,0.00028,0.0,0.06872,0.0,0.0,0.0,0.04476,0.0,0.0,0.04476,0.00072,0.0
NN-18,0.012233846153846154,8e-05,0.00024,0.0,0.06876,0.0,0.0,0.0,0.04464,0.0,0.0,0.04464,0.00068,0.0
NN-19,0.012310769230769233,8e-05,0.0002,0.0,0.069,0.0,0.0,0.0,0.04496,0.0,0.0,0.04496,0.00084,0.0
Random Choice,0.23972923076923075,0.17444,0.75892,0.0538,0.39632,0.0538,0.34108,0.0,0.28564,0.04452,0.34108,0.28564,0.32744,0.0538
Borda ranking,0.01684923076923077,0.0,0.09904,0.0,0.03048,0.0,0.02824,0.0,0.01612,0.0,0.02824,0.01612,0.0008,0.0
Plurality ranking,0.11329846153846154,0.02816,0.5302,0.05084,0.064,0.05084,0.24572,0.0,0.0,0.0,0.24572,0.0,0.20656,0.05084
STV,0.04888615384615384,0.01544,0.32016,0.0,0.0,0.0,0.11328,0.0,0.0,0.0,0.11328,0.0,0.07336,0.0
Approval Voting (AV),0.03259076923076923,0.00248,0.13044,0.0,0.1192,0.0,0.0,0.0,0.08564,0.00028,0.0,0.08564,0.0,0.0
Proportional Approval Voting (PAV),0.03259076923076923,0.00248,0.13044,0.0,0.1192,0.0,0.0,0.0,0.08564,0.00028,0.0,0.08564,0.0,0.0
Approval Chamberlin-Courant (CC),0.24026769230769232,0.17744,0.75712,0.0538,0.39908,0.0538,0.34008,0.0,0.2886,0.04272,0.34008,0.2886,0.32836,0.0538
Lexicographic Chamberlin-Courant (lex-CC),0.03259076923076923,0.00248,0.13044,0.0,0.1192,0.0,0.0,0.0,0.08564,0.00028,0.0,0.08564,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.22800307692307692,0.14168,0.74068,0.05408,0.37736,0.05408,0.33936,0.0,0.26924,0.04176,0.33936,0.26924,0.28312,0.05408
Monroe's Approval Rule (Monroe),0.19397846153846154,0.15868,0.68108,0.0,0.3298,0.0,0.26404,0.0,0.26864,0.02448,0.26404,0.26864,0.26232,0.0
Greedy Monroe,0.06313846153846153,0.00876,0.29732,0.0,0.1514,0.0,0.06912,0.0,0.1118,0.00148,0.06912,0.1118,0.0,0.0
Minimax Approval Voting (MAV),0.2030307692307692,0.16408,0.70332,0.0,0.34528,0.0,0.28628,0.0,0.27512,0.02936,0.28628,0.27512,0.27456,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.03239692307692307,0.00212,0.13128,0.0,0.11788,0.0,0.0,0.0,0.0848,0.00028,0.0,0.0848,0.0,0.0
E Pluribus Hugo (EPH),0.03259076923076923,0.00248,0.13044,0.0,0.1192,0.0,0.0,0.0,0.08564,0.00028,0.0,0.08564,0.0,0.0
Random Serial Dictator,0.09757846153846154,0.0312,0.45008,0.0,0.19744,0.0,0.13952,0.0,0.153,0.00476,0.13952,0.153,0.0,0.0
