Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.00012307692307692307,0.00048,0.0002,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0,0.00064,0.0
NN-1,0.0001323076923076923,0.00064,0.00012,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00024,0.0,0.00064,0.0
NN-2,0.00012615384615384615,0.00036,0.00032,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0,0.00068,0.0
NN-3,0.00011076923076923077,0.00036,0.00016,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00016,0.0,0.00068,0.0
NN-4,0.00015076923076923077,0.0008,0.00028,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00024,0.0,0.0006,0.0
NN-5,9.53846153846154e-05,0.00024,0.00024,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,8e-05,0.0,0.00064,0.0
NN-6,0.00014769230769230772,0.00068,0.00028,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00024,0.0,0.00064,0.0
NN-7,0.00014461538461538464,0.00068,0.00024,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00024,0.0,0.00064,0.0
NN-8,7.692307692307693e-05,0.00012,0.00016,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,4e-05,0.0,0.00064,0.0
NN-9,0.00014769230769230772,0.00076,0.00028,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00024,0.0,0.0006,0.0
NN-10,9.538461538461538e-05,0.00016,0.00028,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,4e-05,0.0,0.00068,0.0
NN-11,0.00010769230769230771,0.00024,0.00032,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,8e-05,0.0,0.00068,0.0
NN-12,9.230769230769232e-05,0.00012,0.00028,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,4e-05,0.0,0.00068,0.0
NN-13,9.846153846153846e-05,0.00016,0.00032,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,4e-05,0.0,0.00068,0.0
NN-14,8.923076923076924e-05,0.00028,8e-05,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,8e-05,0.0,0.00064,0.0
NN-15,0.00012307692307692307,0.00052,0.00016,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0,0.00064,0.0
NN-16,0.00014153846153846156,0.00052,0.00044,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00024,0.0,0.0006,0.0
NN-17,0.00012307692307692307,0.00048,0.0002,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0,0.00064,0.0
NN-18,8.307692307692307e-05,8e-05,0.00024,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,0.00068,0.0
NN-19,8.615384615384614e-05,8e-05,0.00028,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,0.00068,0.0
Random Choice,0.08352615384615383,0.14904,0.81648,0.0,0.0,0.0,0.02192,0.0,0.004,0.02192,0.05652,0.0,0.01596,0.0
Borda ranking,0.010196923076923076,0.0,0.1214,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.00116,0.0
Plurality ranking,0.036886153846153846,0.01488,0.4608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00384,0.0,0.0,0.0
STV,0.017676923076923076,0.0,0.2298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.03683076923076923,0.0142,0.46096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00364,0.0,0.0,0.0
