Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0012276923076923077,0.00384,0.00316,0.0,0.0,0.0,0.0,0.0,0.00896,0.0,0.0,0.0,0.0,0.0
NN-1,0.001366153846153846,0.00384,0.00488,0.0,0.0,0.0,0.0,0.0,0.00904,0.0,0.0,0.0,0.0,0.0
NN-2,0.0013415384615384613,0.00404,0.00432,0.0,0.0,0.0,0.0,0.0,0.00908,0.0,0.0,0.0,0.0,0.0
NN-3,0.0010523076923076924,0.00376,0.00104,0.0,0.0,0.0,0.0,0.0,0.00888,0.0,0.0,0.0,0.0,0.0
NN-4,0.0013846153846153845,0.00396,0.005,0.0,0.0,0.0,0.0,0.0,0.00904,0.0,0.0,0.0,0.0,0.0
NN-5,0.0010861538461538463,0.00372,0.00148,0.0,0.0,0.0,0.0,0.0,0.00892,0.0,0.0,0.0,0.0,0.0
NN-6,0.0011723076923076923,0.00328,0.00304,0.0,0.0,0.0,0.0,0.0,0.00892,0.0,0.0,0.0,0.0,0.0
NN-7,0.0015015384615384615,0.004,0.0064,0.0,0.0,0.0,0.0,0.0,0.00912,0.0,0.0,0.0,0.0,0.0
NN-8,0.001227692307692308,0.004,0.0028,0.0,0.0,0.0,0.0,0.0,0.00916,0.0,0.0,0.0,0.0,0.0
NN-9,0.0011723076923076923,0.00396,0.00228,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0
NN-10,0.0011815384615384615,0.004,0.00228,0.0,0.0,0.0,0.0,0.0,0.00908,0.0,0.0,0.0,0.0,0.0
NN-11,0.0010215384615384615,0.00356,0.001,0.0,0.0,0.0,0.0,0.0,0.00872,0.0,0.0,0.0,0.0,0.0
NN-12,0.0012646153846153846,0.004,0.00344,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0
NN-13,0.0010984615384615386,0.00364,0.00176,0.0,0.0,0.0,0.0,0.0,0.00888,0.0,0.0,0.0,0.0,0.0
NN-14,0.0011907692307692307,0.00388,0.0026,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0
NN-15,0.0012615384615384613,0.004,0.0034,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0
NN-16,0.0011538461538461537,0.00392,0.00208,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0
NN-17,0.0009569230769230769,0.00264,0.00132,0.0,0.0,0.0,0.0,0.0,0.00848,0.0,0.0,0.0,0.0,0.0
NN-18,0.0018553846153846155,0.00348,0.01188,0.0,0.0,0.0,0.0,0.0,0.00876,0.0,0.0,0.0,0.0,0.0
NN-19,0.0011846153846153844,0.00396,0.0024,0.0,0.0,0.0,0.0,0.0,0.00904,0.0,0.0,0.0,0.0,0.0
Random Choice,0.05276615384615384,0.02008,0.61752,0.0,0.0,0.0,0.0,0.0,0.04836,0.0,0.0,0.0,0.0,0.0
Borda ranking,0.009046153846153846,0.0,0.11756,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.03180307692307692,0.00048,0.41292,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,0.0
STV,0.023784615384615387,8e-05,0.30912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.02318153846153846,4e-05,0.30132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.025323076923076924,0.00012,0.32908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.030984615384615385,0.00024,0.40256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.02905230769230769,0.0002,0.37748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.03012,8e-05,0.39148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.030966153846153848,0.00024,0.40232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.030073846153846156,8e-05,0.39088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.052858461538461535,0.0206,0.6182,4e-05,0.0,4e-05,0.0,4e-05,0.04824,0.0,0.0,0.0,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.026701538461538464,8e-05,0.34704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.023436923076923077,4e-05,0.30464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.04874153846153846,0.01208,0.58628,0.0,0.0,0.0,0.0,0.0,0.03528,0.0,0.0,0.0,0.0,0.0
