Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0012153846153846156,0.0,0.0086,0.00024,0.0,0.00024,0.0,0.00024,0.00308,0.0,0.00096,0.0,0.00244,0.0
NN-1,0.001153846153846154,0.0,0.0106,4e-05,0.0,4e-05,0.0,4e-05,0.00236,0.0,0.0004,0.0,0.00152,0.0
NN-2,0.0012092307692307693,0.0,0.00756,0.00028,4e-05,0.00028,0.0,0.00028,0.0036,0.0,0.00108,4e-05,0.00256,0.0
NN-3,0.001073846153846154,0.0,0.00964,8e-05,0.0,8e-05,0.0,8e-05,0.00208,0.0,0.00044,0.0,0.00156,0.0
NN-4,0.0012615384615384617,0.0,0.0108,0.00024,0.0,0.00024,0.0,0.00024,0.00248,0.0,0.00052,0.0,0.00188,0.0
NN-5,0.0012523076923076925,4e-05,0.00984,0.0002,4e-05,0.0002,0.0,0.0002,0.00284,4e-05,0.00076,4e-05,0.00208,0.0
NN-6,0.0012646153846153849,0.0,0.0092,0.00028,4e-05,0.00028,0.0,0.00028,0.00316,4e-05,0.0008,4e-05,0.00232,0.0
NN-7,0.001156923076923077,0.0,0.01072,8e-05,0.0,8e-05,0.0,8e-05,0.00232,0.0,0.00024,0.0,0.00152,0.0
NN-8,0.0008215384615384617,0.0,0.00656,0.00012,0.0,0.00012,0.0,0.00012,0.00216,0.0,0.00024,0.0,0.00136,0.0
NN-9,0.0012769230769230772,0.0,0.01068,0.0002,4e-05,0.0002,0.0,0.0002,0.00276,0.0,0.00068,4e-05,0.0018,0.0
NN-10,0.0010769230769230769,0.0,0.00908,8e-05,0.0,8e-05,0.0,8e-05,0.00228,0.0,0.00064,0.0,0.00176,0.0
NN-11,0.0011815384615384617,0.0,0.0108,0.00012,0.0,0.00012,0.0,0.00012,0.00232,0.0,0.00032,0.0,0.00156,0.0
NN-12,0.0009784615384615385,0.0,0.0092,4e-05,0.0,4e-05,0.0,4e-05,0.00188,0.0,0.00012,0.0,0.0014,0.0
NN-13,0.0009169230769230769,0.0,0.00684,8e-05,0.0,8e-05,0.0,8e-05,0.0024,0.0,0.0006,0.0,0.00184,0.0
NN-14,0.0010615384615384614,0.0,0.00984,4e-05,0.0,4e-05,0.0,4e-05,0.00216,0.0,0.00036,0.0,0.00132,0.0
NN-15,0.0013538461538461543,0.0,0.01024,0.00028,4e-05,0.00028,0.0,0.00028,0.00332,4e-05,0.00088,4e-05,0.0022,0.0
NN-16,0.0011107692307692307,0.0,0.00992,0.00012,0.0,0.00012,0.0,0.00012,0.0024,0.0,0.00036,0.0,0.0014,0.0
NN-17,0.0012153846153846156,0.0,0.00956,0.00024,0.0,0.00024,0.0,0.00024,0.00272,0.0,0.00072,0.0,0.00208,0.0
NN-18,0.0012307692307692308,0.0,0.01068,0.0002,0.0,0.0002,0.0,0.0002,0.0026,0.0,0.0004,0.0,0.00172,0.0
NN-19,0.0010523076923076922,0.0,0.00648,0.00028,4e-05,0.00028,0.0,0.00028,0.00352,0.0,0.0008,4e-05,0.00196,0.0
Random Choice,0.15752307692307693,0.0532,0.90112,0.12628,0.0222,0.12628,0.01876,0.12628,0.39412,0.01532,0.0982,0.0222,0.14384,0.0
Borda ranking,0.01348,0.0,0.15944,0.00036,0.00104,0.00036,0.005,0.00036,0.00612,0.00044,0.0,0.00104,0.00108,0.0
Plurality ranking,0.06164923076923076,0.0054,0.706,0.00036,0.0,0.00036,0.00708,0.00036,0.01628,0.0,0.02224,0.0,0.04336,0.0
STV,0.04678461538461539,0.00068,0.57188,0.0,0.0,0.0,0.00392,0.0,0.00108,0.0,0.00352,0.0,0.02712,0.0
Approval Voting (AV),0.029941538461538464,0.00012,0.36592,0.0,0.0,0.0,0.0,0.0,0.02152,0.0,0.00168,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.03939384615384615,0.0,0.50052,0.0,0.00152,0.0,0.00252,0.0,0.00288,0.00048,0.00268,0.00152,0.0,0.0
Approval Chamberlin-Courant (CC),0.06545538461538461,8e-05,0.75832,0.0,0.01448,0.0,0.01984,0.0,0.01788,0.00996,0.00892,0.01448,0.00696,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.06267692307692309,4e-05,0.73416,0.0,0.0136,0.0,0.01968,0.0,0.01688,0.00924,0.0076,0.0136,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0614246153846154,8e-05,0.73072,0.0,0.00748,0.0,0.01972,0.0,0.01028,0.00504,0.01012,0.00748,0.0076,0.0
