Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0016369230769230766,0.00064,0.01492,8e-05,0.0,8e-05,0.0,8e-05,0.00544,0.0,0.0,0.0,4e-05,0.0
NN-1,0.0015476923076923076,0.00088,0.01336,8e-05,0.0,8e-05,0.0,8e-05,0.0056,0.0,0.0,0.0,4e-05,0.0
NN-2,0.0019476923076923076,0.00084,0.01772,8e-05,0.0,8e-05,0.0,8e-05,0.00648,0.0,0.0,0.0,4e-05,0.0
NN-3,0.0015784615384615386,0.00088,0.01324,8e-05,0.0,8e-05,0.0,8e-05,0.00612,0.0,0.0,0.0,4e-05,0.0
NN-4,0.0017107692307692308,0.00068,0.01576,8e-05,0.0,8e-05,0.0,8e-05,0.00552,0.0,0.0,0.0,4e-05,0.0
NN-5,0.0013046153846153845,0.0006,0.01124,8e-05,0.0,8e-05,0.0,8e-05,0.00484,0.0,0.0,0.0,4e-05,0.0
NN-6,0.001566153846153846,0.0006,0.01448,4e-05,0.0,4e-05,0.0,4e-05,0.00512,0.0,0.0,0.0,4e-05,0.0
NN-7,0.0012615384615384613,0.0006,0.01084,8e-05,0.0,8e-05,0.0,8e-05,0.00468,0.0,0.0,0.0,4e-05,0.0
NN-8,0.0022061538461538464,0.00104,0.02,0.00016,0.0,0.00016,0.0,0.00016,0.00704,0.0,0.0,0.0,0.00012,0.0
NN-9,0.0013753846153846153,0.00072,0.0118,8e-05,0.0,8e-05,0.0,8e-05,0.00508,0.0,0.0,0.0,4e-05,0.0
NN-10,0.0015538461538461537,0.00076,0.01356,8e-05,0.0,8e-05,0.0,8e-05,0.00556,0.0,0.0,0.0,8e-05,0.0
NN-11,0.0017384615384615383,0.00088,0.0154,8e-05,0.0,8e-05,0.0,8e-05,0.006,0.0,0.0,0.0,8e-05,0.0
NN-12,0.0012953846153846151,0.00052,0.01128,4e-05,0.0,4e-05,0.0,4e-05,0.00488,0.0,0.0,0.0,4e-05,0.0
NN-13,0.0016799999999999999,0.0008,0.01484,0.00012,0.0,0.00012,0.0,0.00012,0.00576,0.0,0.0,0.0,8e-05,0.0
NN-14,0.001356923076923077,0.00064,0.01204,8e-05,0.0,8e-05,0.0,8e-05,0.00468,0.0,0.0,0.0,4e-05,0.0
