Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.03639384615384616,0.0,0.02528,0.0,0.147,0.0,0.0,0.0,0.20152,0.0,0.00024,0.09172,0.00736,0.0
NN-1,0.03680923076923077,0.0,0.02976,0.0,0.14772,0.0,0.0,0.0,0.20172,0.0,0.0,0.09236,0.00696,0.0
NN-2,0.03706461538461538,0.0,0.0318,0.0,0.14828,0.0,0.0,0.0,0.2024,0.0,0.0,0.0924,0.00696,0.0
NN-3,0.03688923076923077,0.0,0.02984,0.0,0.14764,0.0,0.0,0.0,0.20204,0.0,0.00012,0.09204,0.00788,0.0
NN-4,0.036083076923076926,0.0,0.02296,0.0,0.14656,0.0,0.0,0.0,0.20088,0.0,0.00016,0.0914,0.00712,0.0
NN-5,0.03661538461538461,0.0,0.02736,0.0,0.14736,0.0,0.0,0.0,0.20096,0.0,4e-05,0.09212,0.00816,0.0
NN-6,0.03652923076923077,0.0,0.02744,0.0,0.1474,0.0,0.0,0.0,0.20088,0.0,4e-05,0.09172,0.0074,0.0
NN-7,0.0364276923076923,0.0,0.02624,0.0,0.14748,0.0,0.0,0.0,0.20124,0.0,4e-05,0.09168,0.00688,0.0
NN-8,0.03641230769230769,0.0,0.02848,0.0,0.14636,0.0,0.0,0.0,0.20032,0.0,4e-05,0.09112,0.00704,0.0
NN-9,0.03683076923076923,0.0,0.03,0.0,0.14748,0.0,0.0,0.0,0.2016,0.0,0.0,0.09208,0.00764,0.0
NN-10,0.03652307692307692,0.0,0.02764,0.0,0.14732,0.0,0.0,0.0,0.20124,0.0,0.0,0.09188,0.00672,0.0
NN-11,0.03655384615384615,0.0,0.02688,0.0,0.14764,0.0,0.0,0.0,0.20176,0.0,8e-05,0.09192,0.00692,0.0
NN-12,0.03636,0.0,0.02676,0.0,0.14636,0.0,0.0,0.0,0.201,0.0,8e-05,0.0912,0.00728,0.0
NN-13,0.03623692307692307,0.0,0.02528,0.0,0.14704,0.0,0.0,0.0,0.20076,0.0,4e-05,0.0914,0.00656,0.0
NN-14,0.03614153846153846,0.0,0.02472,0.0,0.14648,0.0,0.0,0.0,0.20032,0.0,4e-05,0.09076,0.00752,0.0
NN-15,0.03624923076923077,0.0,0.02324,0.0,0.1472,0.0,0.0,0.0,0.2016,0.0,0.00012,0.09212,0.00696,0.0
NN-16,0.03671076923076923,0.0,0.0298,0.0,0.147,0.0,0.0,0.0,0.20104,0.0,0.00016,0.09172,0.00752,0.0
NN-17,0.036452307692307694,0.0,0.02672,0.0,0.14696,0.0,0.0,0.0,0.20152,0.0,8e-05,0.0916,0.007,0.0
NN-18,0.036412307692307695,0.0,0.02548,0.0,0.14748,0.0,0.0,0.0,0.20144,0.0,0.0,0.09164,0.00732,0.0
NN-19,0.036076923076923076,0.0,0.02304,0.0,0.14672,0.0,0.0,0.0,0.20088,0.0,0.0,0.09152,0.00684,0.0
Random Choice,0.23006769230769228,0.02196,0.91668,0.02904,0.4408,0.01568,0.01152,0.0,0.55928,0.00308,0.08272,0.3426,0.56752,0.0
Borda ranking,0.042753846153846156,0.0,0.20076,0.0,0.12968,0.0,0.0028,0.0,0.138,0.0,8e-05,0.08004,0.00444,0.0
Plurality ranking,0.10135692307692307,0.00424,0.81456,0.0162,0.00052,0.00324,0.00908,0.0,0.01472,0.0,0.0458,0.0,0.40928,0.0
STV,0.08414461538461539,0.0008,0.74392,0.00296,0.0,0.0002,0.00708,0.0,0.00104,0.0,0.02416,0.0,0.31372,0.0
Approval Voting (AV),0.057175384615384614,0.0,0.24116,0.0,0.16676,0.0,0.0,0.0,0.22568,0.0,0.00028,0.1094,0.0,0.0
Proportional Approval Voting (PAV),0.0692923076923077,0.0,0.37684,0.0,0.19824,0.0,0.0042,0.0,0.18676,8e-05,0.00012,0.13456,0.0,0.0
Approval Chamberlin-Courant (CC),0.23014461538461536,0.02144,0.9146,0.0294,0.43984,0.0162,0.01132,0.0,0.56168,0.00356,0.08288,0.344,0.56696,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.10386461538461537,0.0,0.62444,0.0,0.27792,0.0,0.01156,0.0,0.23132,0.00088,0.00196,0.20216,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2021876923076923,0.00092,0.89304,0.00284,0.4218,0.00252,0.01068,0.0,0.50876,0.00268,0.0704,0.32644,0.38836,0.0
Monroe's Approval Rule (Monroe),0.21483076923076921,0.00972,0.90812,0.00828,0.40988,0.00124,0.01076,0.0,0.51328,0.0026,0.06024,0.31776,0.55092,0.0
Greedy Monroe,0.10905538461538462,4e-05,0.6122,0.0,0.27132,0.0,0.00904,0.0,0.27264,0.00032,0.0068,0.1956,0.04976,0.0
Minimax Approval Voting (MAV),0.20861538461538462,4e-05,0.91152,0.00064,0.42216,0.00064,0.0116,0.0,0.45112,0.00316,0.05912,0.3286,0.5234,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.08904307692307692,0.0,0.52084,0.0,0.23944,0.0,0.00736,0.0,0.20836,0.00016,0.00076,0.16688,0.01376,0.0
E Pluribus Hugo (EPH),0.06089846153846153,0.0,0.29396,0.0,0.17676,0.0,0.00188,0.0,0.20104,0.0,0.00032,0.11752,0.0002,0.0
Random Serial Dictator,0.1560246153846154,0.00696,0.76056,0.013,0.34428,0.01212,0.00588,0.0,0.58004,0.00164,0.04212,0.26172,0.0,0.0
