Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.045472022146463995,0.0,0.01866044651782739,0.0,0.1732755748083972,0.0,0.0,0.0,0.2242585804731756,0.0,0.0,0.1732755748083972,0.0016661112962345886,0.0
NN-1,0.04560018455386667,0.0,0.017994001999333556,0.0,0.17360879706764412,0.0,0.0,0.0,0.2255914695101633,0.0,0.0,0.17360879706764412,0.001999333555481506,0.0
NN-2,0.04567708199830826,0.0,0.020993002332555816,0.0,0.1732755748083972,0.0,0.0,0.0,0.2242585804731756,0.0,0.0,0.1732755748083972,0.001999333555481506,0.0
NN-3,0.04590777433163305,0.0,0.01766077974008664,0.0,0.1749416861046318,0.0,0.0,0.0,0.22659113628790403,0.0,0.0,0.1749416861046318,0.0026657780739753416,0.0
NN-4,0.04542075718350294,0.0,0.016327890703098966,0.0,0.17394201932689105,0.0,0.0,0.0,0.2242585804731756,0.0,0.0,0.17394201932689105,0.001999333555481506,0.0
NN-5,0.045472022146464,0.0,0.01432855714761746,0.0,0.1749416861046318,0.0,0.0,0.0,0.22492502499166944,0.0,0.0,0.1749416861046318,0.001999333555481506,0.0
NN-6,0.04511316740573655,0.0,0.016994335221592802,0.0,0.17194268577140953,0.0,0.0,0.0,0.2239253582139287,0.0,0.0,0.17194268577140953,0.0016661112962345886,0.0
NN-7,0.045266962294619746,0.0,0.01766077974008664,0.0,0.17294235254915027,0.0,0.0,0.0,0.22325891369543485,0.0,0.0,0.17294235254915027,0.0016661112962345886,0.0
NN-8,0.045728346961269324,0.0,0.016327890703098966,0.0,0.1752749083638787,0.0,0.0,0.0,0.22592469176941019,0.0,0.0,0.1752749083638787,0.0016661112962345886,0.0
NN-9,0.045318227257580806,0.0,0.014995001666111295,0.0,0.17394201932689105,0.0,0.0,0.0,0.2242585804731756,0.0,0.0,0.17394201932689105,0.001999333555481506,0.0
