Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.026504615384615383,0.0004,0.0026,0.0,0.1374,0.0,0.0,0.0,0.09236,0.00012,0.0,0.09236,0.01932,0.0
NN-1,0.027498461538461534,0.00056,0.0042,0.0,0.14112,0.0,0.0,0.0,0.09636,8e-05,0.0,0.09636,0.0188,0.0
NN-2,0.02611384615384615,0.00068,0.00248,0.0,0.1356,0.0,0.0,0.0,0.09096,0.0,0.0,0.09096,0.0188,0.0
NN-3,0.026249230769230768,0.00092,0.0024,0.0,0.13604,0.0,0.0,0.0,0.09116,0.0002,0.0,0.09116,0.01936,0.0
NN-4,0.026409230769230765,0.00036,0.002,0.0,0.13692,0.0,0.0,0.0,0.0926,8e-05,0.0,0.0926,0.01876,0.0
NN-5,0.02675076923076923,0.00072,0.00324,0.0,0.13792,0.0,0.0,0.0,0.09392,0.0,0.0,0.09392,0.01804,0.0
NN-6,0.02721846153846154,0.00064,0.0026,0.0,0.14104,0.0,0.0,0.0,0.09436,4e-05,0.0,0.09436,0.0208,0.0
NN-7,0.02698769230769231,0.00024,0.00324,0.0,0.13988,0.0,0.0,0.0,0.09392,0.0,0.0,0.09392,0.01964,0.0
NN-8,0.026763076923076924,0.00032,0.00304,0.0,0.1386,0.0,0.0,0.0,0.09308,8e-05,0.0,0.09308,0.01972,0.0
NN-9,0.02694153846153846,0.00048,0.00288,0.0,0.13972,0.0,0.0,0.0,0.09376,8e-05,0.0,0.09376,0.01956,0.0
NN-10,0.026916923076923078,0.00052,0.00232,0.0,0.13932,0.0,0.0,0.0,0.09436,4e-05,0.0,0.09436,0.019,0.0
NN-11,0.026870769230769233,0.0004,0.00264,0.0,0.13908,0.0,0.0,0.0,0.09356,4e-05,0.0,0.09356,0.02004,0.0
NN-12,0.026030769230769232,0.00032,0.00296,0.0,0.13528,0.0,0.0,0.0,0.091,0.00012,0.0,0.091,0.01772,0.0
NN-13,0.02648923076923077,0.0002,0.00208,0.0,0.13796,0.0,0.0,0.0,0.09252,0.0,0.0,0.09252,0.01908,0.0
NN-14,0.026744615384615384,0.00068,0.0026,0.0,0.13832,0.0,0.0,0.0,0.09352,0.0,0.0,0.09352,0.01904,0.0
NN-15,0.02649230769230769,0.00056,0.00228,0.0,0.1376,0.0,0.0,0.0,0.09292,8e-05,0.0,0.09292,0.01804,0.0
NN-16,0.027335384615384616,0.001,0.00392,0.0,0.14084,0.0,0.0,0.0,0.09484,4e-05,0.0,0.09484,0.01988,0.0
NN-17,0.02629230769230769,0.00064,0.00252,0.0,0.13676,0.0,0.0,0.0,0.09136,0.0,0.0,0.09136,0.01916,0.0
NN-18,0.0276,0.0008,0.004,0.0,0.1424,0.0,0.0,0.0,0.09488,0.0,0.0,0.09488,0.02184,0.0
NN-19,0.028052307692307692,0.00048,0.00352,0.0,0.14452,0.0,0.0,0.0,0.09752,4e-05,0.0,0.09752,0.02108,0.0
Random Choice,0.25728615384615383,0.11252,0.74332,0.0402,0.53208,0.0402,0.43312,0.0,0.27696,0.07316,0.43312,0.27696,0.34288,0.0402
Borda ranking,0.038021538461538454,0.0,0.15604,0.0,0.06172,0.0,0.07864,0.0,0.038,0.0,0.07864,0.038,0.04324,0.0
Plurality ranking,0.17135692307692307,0.00388,0.67956,0.03824,0.2836,0.03824,0.42172,0.0,0.0,0.0,0.42172,0.0,0.30244,0.03824
STV,0.0655046153846154,0.00068,0.36188,0.0,0.0,0.0,0.18308,0.0,0.0,0.0,0.18308,0.0,0.12284,0.0
Approval Voting (AV),0.04981538461538462,0.00268,0.128,0.0,0.20916,0.0,0.0,0.0,0.15344,0.00088,0.0,0.15344,0.0,0.0
Proportional Approval Voting (PAV),0.04981538461538462,0.00268,0.128,0.0,0.20916,0.0,0.0,0.0,0.15344,0.00088,0.0,0.15344,0.0,0.0
Approval Chamberlin-Courant (CC),0.25792923076923074,0.11184,0.74424,0.0406,0.52948,0.0406,0.43484,0.0,0.27948,0.0734,0.43484,0.27948,0.34368,0.0406
Lexicographic Chamberlin-Courant (lex-CC),0.04981538461538462,0.00268,0.128,0.0,0.20916,0.0,0.0,0.0,0.15344,0.00088,0.0,0.15344,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.25311384615384613,0.1054,0.73688,0.03968,0.52472,0.03968,0.43432,0.0,0.27332,0.0708,0.43432,0.27332,0.31836,0.03968
