,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.48049600000000015,0.0,0.480256,0.480464,0.480352,0.480496,0.480432,0.482336,0.482288,0.48144,0.480448,0.480384,0.482336,0.480464,0.480496,0.47952
Borda ranking,0.043040000000000016,0.480256,0.0,0.0848,0.067472,0.04304,0.050864,0.39984,0.399344,0.259856,0.316976,0.09528,0.39984,0.039408,0.042896,0.27696
Plurality ranking,0.11153599999999994,0.480464,0.0848,0.0,0.074656,0.111536,0.121232,0.382672,0.382176,0.288336,0.307408,0.141968,0.382672,0.113184,0.112144,0.286672
STV,0.086432,0.480352,0.067472,0.074656,0.0,0.086432,0.0852,0.367248,0.366752,0.284704,0.285504,0.122528,0.367248,0.081648,0.085376,0.287984
Approval Voting (AV),0.0,0.480496,0.04304,0.111536,0.086432,0.0,0.043104,0.39984,0.399344,0.269904,0.317312,0.099328,0.39984,0.036208,0.003504,0.275744
Proportional Approval Voting (PAV),0.04310400000000001,0.480432,0.050864,0.121232,0.0852,0.043104,0.0,0.390192,0.389696,0.25816,0.306736,0.088592,0.390192,0.020528,0.041264,0.276864
Approval Chamberlin-Courant (CC),0.3998400000000001,0.482336,0.39984,0.382672,0.367248,0.39984,0.390192,0.0,0.00056,0.595296,0.090576,0.397872,0.0,0.398768,0.399744,0.399936
Lexicographic Chamberlin-Courant (lex-CC),0.39934400000000003,0.482288,0.399344,0.382176,0.366752,0.399344,0.389696,0.00056,0.0,0.594736,0.09008,0.397376,0.00056,0.398272,0.399248,0.399792
Sequential Approval Chamberlin-Courant (seq-CC),0.26990399999999987,0.48144,0.259856,0.288336,0.284704,0.269904,0.25816,0.595296,0.594736,0.0,0.512368,0.250288,0.595296,0.248544,0.267664,0.36248
Monroe's Approval Rule (Monroe),0.317312,0.480448,0.316976,0.307408,0.285504,0.317312,0.306736,0.090576,0.09008,0.512368,0.0,0.316464,0.090576,0.315536,0.317216,0.367808
Greedy Monroe,0.09932799999999999,0.480384,0.09528,0.141968,0.122528,0.099328,0.088592,0.397872,0.397376,0.250288,0.316464,0.0,0.397872,0.082352,0.09688,0.285328
Minimax Approval Voting (MAV),0.3998400000000001,0.482336,0.39984,0.382672,0.367248,0.39984,0.390192,0.0,0.00056,0.595296,0.090576,0.397872,0.0,0.398768,0.399744,0.399936
Method of Equal Shares (aka Rule X) with Phragmén phase,0.03620799999999999,0.480464,0.039408,0.113184,0.081648,0.036208,0.020528,0.398768,0.398272,0.248544,0.315536,0.082352,0.398768,0.0,0.032704,0.275888
E Pluribus Hugo (EPH),0.003503999999999999,0.480496,0.042896,0.112144,0.085376,0.003504,0.041264,0.399744,0.399248,0.267664,0.317216,0.09688,0.399744,0.032704,0.0,0.276624
Random Serial Dictator,0.275744,0.47952,0.27696,0.286672,0.287984,0.275744,0.276864,0.399936,0.399792,0.36248,0.367808,0.285328,0.399936,0.275888,0.276624,0.0
NN,,0.48049600000000015,0.043040000000000016,0.11153599999999994,0.086432,0.0,0.04310400000000001,0.3998400000000001,0.39934400000000003,0.26990399999999987,0.317312,0.09932799999999999,0.3998400000000001,0.03620799999999999,0.003503999999999999,0.275744
