,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.47918399999999994,0.0,0.47976,0.47912,0.478416,0.479296,0.479264,0.47944,0.47896,0.478592,0.479056,0.478624,0.478416,0.478448,0.479312,0.480784
Borda ranking,0.1120304,0.47976,0.0,0.321216,0.135216,0.110928,0.117072,0.482672,0.250928,0.406272,0.27096,0.158032,0.391264,0.129248,0.111488,0.256784
Plurality ranking,0.3569168000000001,0.47912,0.321216,0.0,0.244752,0.381472,0.380592,0.535792,0.393856,0.401664,0.4352,0.382224,0.465872,0.379104,0.381152,0.417328
STV,0.1764784,0.478416,0.135216,0.244752,0.0,0.199648,0.204736,0.480112,0.300544,0.430992,0.282848,0.224192,0.39936,0.209328,0.200192,0.290704
Approval Voting (AV),0.1023472,0.479296,0.110928,0.381472,0.199648,0.0,0.044608,0.473232,0.2336,0.410624,0.254816,0.12584,0.3836,0.081664,0.009952,0.242544
Proportional Approval Voting (PAV),0.1215944,0.479264,0.117072,0.380592,0.204736,0.044608,0.0,0.475712,0.196048,0.404272,0.25896,0.114144,0.375552,0.048832,0.036464,0.24352
Approval Chamberlin-Courant (CC),0.4269408,0.47944,0.482672,0.535792,0.480112,0.473232,0.475712,0.0,0.46384,0.765072,0.242816,0.502432,0.191744,0.483824,0.473552,0.479664
Lexicographic Chamberlin-Courant (lex-CC),0.27348880000000003,0.47896,0.250928,0.393856,0.300544,0.2336,0.196048,0.46384,0.0,0.41232,0.330736,0.224704,0.29264,0.182816,0.226912,0.318688
Sequential Approval Chamberlin-Courant (seq-CC),0.4511408,0.478592,0.406272,0.401664,0.430992,0.410624,0.404272,0.765072,0.41232,0.0,0.583968,0.382656,0.625312,0.393312,0.409776,0.429712
Monroe's Approval Rule (Monroe),0.2226344,0.479056,0.27096,0.4352,0.282848,0.254816,0.25896,0.242816,0.330736,0.583968,0.0,0.29504,0.208976,0.272192,0.255648,0.310576
Greedy Monroe,0.17606639999999998,0.478624,0.158032,0.382224,0.224192,0.12584,0.114144,0.502432,0.224704,0.382656,0.29504,0.0,0.398384,0.106304,0.122896,0.259664
Minimax Approval Voting (MAV),0.35128080000000006,0.478416,0.391264,0.465872,0.39936,0.3836,0.375552,0.191744,0.29264,0.625312,0.208976,0.398384,0.0,0.381312,0.381632,0.399072
Method of Equal Shares (aka Rule X) with Phragmén phase,0.14303919999999998,0.478448,0.129248,0.379104,0.209328,0.081664,0.048832,0.483824,0.182816,0.393312,0.272192,0.106304,0.381312,0.0,0.075168,0.248416
E Pluribus Hugo (EPH),0.10630400000000001,0.479312,0.111488,0.381152,0.200192,0.009952,0.036464,0.473552,0.226912,0.409776,0.255648,0.122896,0.381632,0.075168,0.0,0.24296
Random Serial Dictator,0.26019919999999996,0.480784,0.256784,0.417328,0.290704,0.242544,0.24352,0.479664,0.318688,0.429712,0.310576,0.259664,0.399072,0.248416,0.24296,0.0
NN,,0.47918399999999994,0.1120304,0.3569168000000001,0.1764784,0.1023472,0.1215944,0.4269408,0.27348880000000003,0.4511408,0.2226344,0.17606639999999998,0.35128080000000006,0.14303919999999998,0.10630400000000001,0.26019919999999996
