,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.3198151999999999,0.0,0.32008,0.320192,0.320336,0.320624,0.320624,0.320528,0.320624,0.319152,0.321712,0.319744,0.320688,0.320224,0.320624,0.320464
Borda ranking,0.0241696,0.32008,0.0,0.145536,0.040432,0.042576,0.042576,0.321216,0.042576,0.30696,0.252064,0.093456,0.316416,0.04128,0.042576,0.180384
Plurality ranking,0.1539,0.320192,0.145536,0.0,0.114064,0.17016,0.17016,0.34976,0.17016,0.266096,0.3124,0.190624,0.347984,0.16832,0.17016,0.241184
STV,0.0475056,0.320336,0.040432,0.114064,0.0,0.06896,0.06896,0.320512,0.06896,0.308544,0.25136,0.106144,0.315712,0.068032,0.06896,0.184176
Approval Voting (AV),0.0418784,0.320624,0.042576,0.17016,0.06896,0.0,0.0,0.316592,0.0,0.311904,0.24744,0.087232,0.311792,0.01544,0.0,0.177376
Proportional Approval Voting (PAV),0.0418784,0.320624,0.042576,0.17016,0.06896,0.0,0.0,0.316592,0.0,0.311904,0.24744,0.087232,0.311792,0.01544,0.0,0.177376
Approval Chamberlin-Courant (CC),0.3135904,0.320528,0.321216,0.34976,0.320512,0.316592,0.316592,0.0,0.316592,0.4,0.069152,0.329184,0.0048,0.323216,0.316592,0.320672
Lexicographic Chamberlin-Courant (lex-CC),0.0418784,0.320624,0.042576,0.17016,0.06896,0.0,0.0,0.316592,0.0,0.311904,0.24744,0.087232,0.311792,0.01544,0.0,0.177376
Sequential Approval Chamberlin-Courant (seq-CC),0.3128168,0.319152,0.30696,0.266096,0.308544,0.311904,0.311904,0.4,0.311904,0.0,0.382096,0.29488,0.3988,0.304176,0.311904,0.312192
Monroe's Approval Rule (Monroe),0.2444384,0.321712,0.252064,0.3124,0.25136,0.24744,0.24744,0.069152,0.24744,0.382096,0.0,0.260096,0.064352,0.254064,0.24744,0.26152
Greedy Monroe,0.0950488,0.319744,0.093456,0.190624,0.106144,0.087232,0.087232,0.329184,0.087232,0.29488,0.260096,0.0,0.324384,0.084944,0.087232,0.188272
Minimax Approval Voting (MAV),0.30879039999999996,0.320688,0.316416,0.347984,0.315712,0.311792,0.311792,0.0048,0.311792,0.3988,0.064352,0.324384,0.0,0.318416,0.311792,0.315872
Method of Equal Shares (aka Rule X) with Phragmén phase,0.04319919999999999,0.320224,0.04128,0.16832,0.068032,0.01544,0.01544,0.323216,0.01544,0.304176,0.254064,0.084944,0.318416,0.0,0.01544,0.177792
E Pluribus Hugo (EPH),0.0418784,0.320624,0.042576,0.17016,0.06896,0.0,0.0,0.316592,0.0,0.311904,0.24744,0.087232,0.311792,0.01544,0.0,0.177376
Random Serial Dictator,0.18010560000000003,0.320464,0.180384,0.241184,0.184176,0.177376,0.177376,0.320672,0.177376,0.312192,0.26152,0.188272,0.315872,0.177792,0.177376,0.0
NN,,0.3198151999999999,0.0241696,0.1539,0.0475056,0.0418784,0.0418784,0.3135904,0.0418784,0.3128168,0.2444384,0.0950488,0.30879039999999996,0.04319919999999999,0.0418784,0.18010560000000003
