,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.32059519999999997,0.0,0.319232,0.318976,0.32,0.320576,0.320576,0.320656,0.320576,0.318752,0.320784,0.319968,0.320656,0.320272,0.320576,0.320256
Borda ranking,0.061076,0.319232,0.0,0.187104,0.120016,0.089984,0.089984,0.322,0.089984,0.309008,0.319056,0.139568,0.322,0.090048,0.089984,0.2084
Plurality ranking,0.2208216,0.318976,0.187104,0.0,0.117824,0.240256,0.240256,0.331104,0.240256,0.305904,0.32936,0.251664,0.331104,0.239776,0.240256,0.27712
STV,0.1585624,0.32,0.120016,0.117824,0.0,0.18912,0.18912,0.321264,0.18912,0.313504,0.318352,0.208048,0.321264,0.189424,0.18912,0.246384
Approval Voting (AV),0.05944640000000001,0.320576,0.089984,0.240256,0.18912,0.0,0.0,0.317376,0.0,0.313584,0.314432,0.118288,0.317376,0.01672,0.0,0.199568
Proportional Approval Voting (PAV),0.05944640000000001,0.320576,0.089984,0.240256,0.18912,0.0,0.0,0.317376,0.0,0.313584,0.314432,0.118288,0.317376,0.01672,0.0,0.199568
Approval Chamberlin-Courant (CC),0.3145456,0.320656,0.322,0.331104,0.321264,0.317376,0.317376,0.0,0.317376,0.4,0.002944,0.332016,0.0,0.32392,0.317376,0.320272
Lexicographic Chamberlin-Courant (lex-CC),0.05944640000000001,0.320576,0.089984,0.240256,0.18912,0.0,0.0,0.317376,0.0,0.313584,0.314432,0.118288,0.317376,0.01672,0.0,0.199568
Sequential Approval Chamberlin-Courant (seq-CC),0.31591279999999994,0.318752,0.309008,0.305904,0.313504,0.313584,0.313584,0.4,0.313584,0.0,0.399296,0.296976,0.4,0.306288,0.313584,0.31104
Monroe's Approval Rule (Monroe),0.3116016,0.320784,0.319056,0.32936,0.318352,0.314432,0.314432,0.002944,0.314432,0.399296,0.0,0.329088,0.002944,0.320976,0.314432,0.318032
Greedy Monroe,0.13184240000000003,0.319968,0.139568,0.251664,0.208048,0.118288,0.118288,0.332016,0.118288,0.296976,0.329088,0.0,0.332016,0.115872,0.118288,0.21104
Minimax Approval Voting (MAV),0.3145456,0.320656,0.322,0.331104,0.321264,0.317376,0.317376,0.0,0.317376,0.4,0.002944,0.332016,0.0,0.32392,0.317376,0.320272
Method of Equal Shares (aka Rule X) with Phragmén phase,0.06387520000000001,0.320272,0.090048,0.239776,0.189424,0.01672,0.01672,0.32392,0.01672,0.306288,0.320976,0.115872,0.32392,0.0,0.01672,0.19864
E Pluribus Hugo (EPH),0.05944640000000001,0.320576,0.089984,0.240256,0.18912,0.0,0.0,0.317376,0.0,0.313584,0.314432,0.118288,0.317376,0.01672,0.0,0.199568
Random Serial Dictator,0.20489999999999997,0.320256,0.2084,0.27712,0.246384,0.199568,0.199568,0.320272,0.199568,0.31104,0.318032,0.21104,0.320272,0.19864,0.199568,0.0
NN,,0.32059519999999997,0.061076,0.2208216,0.1585624,0.05944640000000001,0.05944640000000001,0.3145456,0.05944640000000001,0.31591279999999994,0.3116016,0.13184240000000003,0.3145456,0.06387520000000001,0.05944640000000001,0.20489999999999997
