,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.32112160000000006,0.0,0.32064,0.318544,0.319328,0.321312,0.321312,0.320864,0.321312,0.320464,0.320784,0.321008,0.320864,0.321296,0.321312,0.319472
Borda ranking,0.0758144,0.32064,0.0,0.200944,0.139616,0.118832,0.118832,0.318832,0.118832,0.304592,0.318288,0.1644,0.318832,0.118272,0.118832,0.225072
Plurality ranking,0.24005519999999997,0.318544,0.200944,0.0,0.118032,0.265856,0.265856,0.329616,0.265856,0.306016,0.329408,0.277328,0.329616,0.265232,0.265856,0.292208
STV,0.18453679999999997,0.319328,0.139616,0.118032,0.0,0.22648,0.22648,0.31816,0.22648,0.314208,0.317616,0.244096,0.31816,0.22648,0.22648,0.268
Approval Voting (AV),0.08736559999999999,0.321312,0.118832,0.265856,0.22648,0.0,0.0,0.312464,0.0,0.311632,0.31192,0.13632,0.312464,0.022592,0.0,0.212272
Proportional Approval Voting (PAV),0.08736559999999999,0.321312,0.118832,0.265856,0.22648,0.0,0.0,0.312464,0.0,0.311632,0.31192,0.13632,0.312464,0.022592,0.0,0.212272
Approval Chamberlin-Courant (CC),0.3079512,0.320864,0.318832,0.329616,0.31816,0.312464,0.312464,0.0,0.312464,0.4,0.000544,0.331168,0.0,0.321376,0.312464,0.318736
Lexicographic Chamberlin-Courant (lex-CC),0.08736559999999999,0.321312,0.118832,0.265856,0.22648,0.0,0.0,0.312464,0.0,0.311632,0.31192,0.13632,0.312464,0.022592,0.0,0.212272
Sequential Approval Chamberlin-Courant (seq-CC),0.31756159999999994,0.320464,0.304592,0.306016,0.314208,0.311632,0.311632,0.4,0.311632,0.0,0.399952,0.294224,0.4,0.300768,0.311632,0.312912
Monroe's Approval Rule (Monroe),0.3074072,0.320784,0.318288,0.329408,0.317616,0.31192,0.31192,0.000544,0.31192,0.399952,0.0,0.330624,0.000544,0.320832,0.31192,0.318384
Greedy Monroe,0.1551304,0.321008,0.1644,0.277328,0.244096,0.13632,0.13632,0.331168,0.13632,0.294224,0.330624,0.0,0.331168,0.131104,0.13632,0.229248
Minimax Approval Voting (MAV),0.3079512,0.320864,0.318832,0.329616,0.31816,0.312464,0.312464,0.0,0.312464,0.4,0.000544,0.331168,0.0,0.321376,0.312464,0.318736
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0924216,0.321296,0.118272,0.265232,0.22648,0.022592,0.022592,0.321376,0.022592,0.300768,0.320832,0.131104,0.321376,0.0,0.022592,0.211856
E Pluribus Hugo (EPH),0.08736559999999999,0.321312,0.118832,0.265856,0.22648,0.0,0.0,0.312464,0.0,0.311632,0.31192,0.13632,0.312464,0.022592,0.0,0.212272
Random Serial Dictator,0.22018559999999998,0.319472,0.225072,0.292208,0.268,0.212272,0.212272,0.318736,0.212272,0.312912,0.318384,0.229248,0.318736,0.211856,0.212272,0.0
NN,,0.32112160000000006,0.0758144,0.24005519999999997,0.18453679999999997,0.08736559999999999,0.08736559999999999,0.3079512,0.08736559999999999,0.31756159999999994,0.3074072,0.1551304,0.3079512,0.0924216,0.08736559999999999,0.22018559999999998
