,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.44235066666666667,0.0,0.44164,0.44238666666666665,0.44082666666666664,0.44228,0.4420133333333333,0.44328,0.44248,0.44272,0.44262666666666667,0.44210666666666665,0.44288,0.44168,0.44232,0.44362666666666667
Borda ranking,0.08258733333333335,0.44164,0.0,0.25869333333333333,0.17956,0.15048,0.16544,0.2742133333333333,0.23230666666666666,0.26069333333333333,0.21494666666666667,0.20301333333333332,0.394,0.16718666666666668,0.15162666666666666,0.31256
Plurality ranking,0.2638573333333333,0.44238666666666665,0.25869333333333333,0.0,0.15710666666666667,0.23690666666666665,0.26404,0.3404933333333333,0.31350666666666666,0.3134133333333333,0.2924,0.29096,0.4236,0.2638933333333333,0.24238666666666667,0.34818666666666664
STV,0.18965533333333334,0.44082666666666664,0.17956,0.15710666666666667,0.0,0.17544,0.18444,0.2789333333333333,0.2442,0.2756133333333333,0.21730666666666668,0.21758666666666668,0.3864666666666667,0.18578666666666666,0.17484,0.3187066666666667
Approval Voting (AV),0.14804399999999998,0.44228,0.15048,0.23690666666666665,0.17544,0.0,0.09653333333333333,0.22937333333333335,0.1832,0.22376,0.16602666666666666,0.16070666666666666,0.3808,0.10548,0.029906666666666668,0.29918666666666666
Proportional Approval Voting (PAV),0.18138600000000002,0.4420133333333333,0.16544,0.26404,0.18444,0.09653333333333333,0.0,0.14530666666666667,0.09484,0.15773333333333334,0.08597333333333333,0.09302666666666666,0.38332,0.03846666666666667,0.07922666666666667,0.3029733333333333
Approval Chamberlin-Courant (CC),0.2896973333333333,0.44328,0.2742133333333333,0.3404933333333333,0.2789333333333333,0.22937333333333335,0.14530666666666667,0.0,0.054933333333333334,0.16957333333333333,0.0948,0.14685333333333334,0.37109333333333333,0.16166666666666665,0.21497333333333332,0.35116
Lexicographic Chamberlin-Courant (lex-CC),0.2538,0.44248,0.23230666666666666,0.31350666666666666,0.2442,0.1832,0.09484,0.054933333333333334,0.0,0.12242666666666667,0.08998666666666667,0.10169333333333333,0.37810666666666665,0.11182666666666667,0.16769333333333333,0.3243066666666667
Sequential Approval Chamberlin-Courant (seq-CC),0.286628,0.44272,0.26069333333333333,0.3134133333333333,0.2756133333333333,0.22376,0.15773333333333334,0.16957333333333333,0.12242666666666667,0.0,0.18689333333333333,0.076,0.4300933333333333,0.12694666666666668,0.20728,0.34889333333333333
Monroe's Approval Rule (Monroe),0.22836066666666668,0.44262666666666667,0.21494666666666667,0.2924,0.21730666666666668,0.16602666666666666,0.08597333333333333,0.0948,0.08998666666666667,0.18689333333333333,0.0,0.12157333333333334,0.36149333333333333,0.1016,0.15177333333333334,0.31568
Greedy Monroe,0.225686,0.44210666666666665,0.20301333333333332,0.29096,0.21758666666666668,0.16070666666666666,0.09302666666666666,0.14685333333333334,0.10169333333333333,0.076,0.12157333333333334,0.0,0.40248,0.06462666666666667,0.14396,0.313
Minimax Approval Voting (MAV),0.35291666666666666,0.44288,0.394,0.4236,0.3864666666666667,0.3808,0.38332,0.37109333333333333,0.37810666666666665,0.4300933333333333,0.36149333333333333,0.40248,0.0,0.39414666666666665,0.38422666666666666,0.39344
Method of Equal Shares (aka Rule X) with Phragmén phase,0.18448066666666665,0.44168,0.16718666666666668,0.2638933333333333,0.18578666666666666,0.10548,0.03846666666666667,0.16166666666666665,0.11182666666666667,0.12694666666666668,0.1016,0.06462666666666667,0.39414666666666665,0.0,0.08704,0.30389333333333335
E Pluribus Hugo (EPH),0.15565533333333334,0.44232,0.15162666666666666,0.24238666666666667,0.17484,0.029906666666666668,0.07922666666666667,0.21497333333333332,0.16769333333333333,0.20728,0.15177333333333334,0.14396,0.38422666666666666,0.08704,0.0,0.3004133333333333
Random Serial Dictator,0.31352133333333326,0.44362666666666667,0.31256,0.34818666666666664,0.3187066666666667,0.29918666666666666,0.3029733333333333,0.35116,0.3243066666666667,0.34889333333333333,0.31568,0.313,0.39344,0.30389333333333335,0.3004133333333333,0.0
NN,,0.44235066666666667,0.08258733333333335,0.2638573333333333,0.18965533333333334,0.14804399999999998,0.18138600000000002,0.2896973333333333,0.2538,0.286628,0.22836066666666668,0.225686,0.35291666666666666,0.18448066666666665,0.15565533333333334,0.31352133333333326
