,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.2771866666666667,0.0,0.2771866666666667,0.27826666666666666,0.2771866666666667,0.2771866666666667,0.2771866666666667,0.27713333333333334,0.2771866666666667,0.27785333333333334,0.2771866666666667,0.2771866666666667,0.2771866666666667,0.2771866666666667,0.2771866666666667,0.2771866666666667
Borda ranking,0.0,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666665,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.26636,0.27826666666666666,0.26636,0.0,0.26636,0.26636,0.26636,0.3333333333333333,0.26636,0.05470666666666667,0.26636,0.26636,0.26636,0.26636,0.26636,0.26636
STV,0.0,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666665,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666665,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666665,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.27686666666666654,0.27713333333333334,0.27686666666666665,0.3333333333333333,0.27686666666666665,0.27686666666666665,0.27686666666666665,0.0,0.27686666666666665,0.3333333333333333,0.27686666666666665,0.27686666666666665,0.27686666666666665,0.27686666666666665,0.27686666666666665,0.27686666666666665
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666665,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.27753333333333335,0.27785333333333334,0.27753333333333335,0.05470666666666667,0.27753333333333335,0.27753333333333335,0.27753333333333335,0.3333333333333333,0.27753333333333335,0.0,0.27753333333333335,0.27753333333333335,0.27753333333333335,0.27753333333333335,0.27753333333333335,0.27753333333333335
Monroe's Approval Rule (Monroe),0.0,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666665,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666665,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666665,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666665,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.0,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666665,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.0,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666665,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
NN,,0.2771866666666667,0.0,0.26636,0.0,0.0,0.0,0.27686666666666654,0.0,0.27753333333333335,0.0,0.0,0.0,0.0,0.0,0.0
