,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.27740533333333334,0.0,0.27773333333333333,0.2786533333333333,0.27836,0.2774,0.2774,0.27813333333333334,0.2774,0.27810666666666667,0.27813333333333334,0.2777866666666667,0.27813333333333334,0.2776666666666667,0.2774,0.2778933333333333
Borda ranking,0.04738733333333333,0.27773333333333333,0.0,0.23756,0.17493333333333333,0.047413333333333335,0.047413333333333335,0.27856,0.047413333333333335,0.27628,0.27856,0.12196,0.27856,0.04686666666666667,0.047413333333333335,0.14832
Plurality ranking,0.2505926666666666,0.2786533333333333,0.23756,0.0,0.12338666666666667,0.2506,0.2506,0.2898,0.2506,0.26372,0.2898,0.26322666666666666,0.2898,0.24930666666666668,0.2506,0.27201333333333333
STV,0.19354866666666662,0.27836,0.17493333333333333,0.12338666666666667,0.0,0.19356,0.19356,0.27585333333333334,0.19356,0.28004,0.27585333333333334,0.2242,0.27585333333333334,0.19413333333333332,0.19356,0.23832
Approval Voting (AV),4.9333333333333344e-05,0.2774,0.047413333333333335,0.2506,0.19356,0.0,0.0,0.27112,0.0,0.28341333333333335,0.27112,0.12417333333333333,0.27112,0.038253333333333334,0.0,0.14709333333333333
Proportional Approval Voting (PAV),4.9333333333333344e-05,0.2774,0.047413333333333335,0.2506,0.19356,0.0,0.0,0.27112,0.0,0.28341333333333335,0.27112,0.12417333333333333,0.27112,0.038253333333333334,0.0,0.14709333333333333
Approval Chamberlin-Courant (CC),0.2711186666666668,0.27813333333333334,0.27856,0.2898,0.27585333333333334,0.27112,0.27112,0.0,0.27112,0.3333333333333333,0.0,0.29192,0.0,0.28408,0.27112,0.2776533333333333
Lexicographic Chamberlin-Courant (lex-CC),4.9333333333333344e-05,0.2774,0.047413333333333335,0.2506,0.19356,0.0,0.0,0.27112,0.0,0.28341333333333335,0.27112,0.12417333333333333,0.27112,0.038253333333333334,0.0,0.14709333333333333
Sequential Approval Chamberlin-Courant (seq-CC),0.283388,0.27810666666666667,0.27628,0.26372,0.28004,0.28341333333333335,0.28341333333333335,0.3333333333333333,0.28341333333333335,0.0,0.3333333333333333,0.26296,0.3333333333333333,0.27036,0.28341333333333335,0.2762266666666667
Monroe's Approval Rule (Monroe),0.2711186666666668,0.27813333333333334,0.27856,0.2898,0.27585333333333334,0.27112,0.27112,0.0,0.27112,0.3333333333333333,0.0,0.29192,0.0,0.28408,0.27112,0.2776533333333333
Greedy Monroe,0.124138,0.2777866666666667,0.12196,0.26322666666666666,0.2242,0.12417333333333333,0.12417333333333333,0.29192,0.12417333333333333,0.26296,0.29192,0.0,0.29192,0.11341333333333334,0.12417333333333333,0.15764
Minimax Approval Voting (MAV),0.2711186666666668,0.27813333333333334,0.27856,0.2898,0.27585333333333334,0.27112,0.27112,0.0,0.27112,0.3333333333333333,0.0,0.29192,0.0,0.28408,0.27112,0.2776533333333333
Method of Equal Shares (aka Rule X) with Phragmén phase,0.038207333333333336,0.2776666666666667,0.04686666666666667,0.24930666666666668,0.19413333333333332,0.038253333333333334,0.038253333333333334,0.28408,0.038253333333333334,0.27036,0.28408,0.11341333333333334,0.28408,0.0,0.038253333333333334,0.14612
E Pluribus Hugo (EPH),4.9333333333333344e-05,0.2774,0.047413333333333335,0.2506,0.19356,0.0,0.0,0.27112,0.0,0.28341333333333335,0.27112,0.12417333333333333,0.27112,0.038253333333333334,0.0,0.14709333333333333
Random Serial Dictator,0.14708733333333335,0.2778933333333333,0.14832,0.27201333333333333,0.23832,0.14709333333333333,0.14709333333333333,0.2776533333333333,0.14709333333333333,0.2762266666666667,0.2776533333333333,0.15764,0.2776533333333333,0.14612,0.14709333333333333,0.0
NN,,0.27740533333333334,0.04738733333333333,0.2505926666666666,0.19354866666666662,4.9333333333333344e-05,4.9333333333333344e-05,0.2711186666666668,4.9333333333333344e-05,0.283388,0.2711186666666668,0.124138,0.2711186666666668,0.038207333333333336,4.9333333333333344e-05,0.14708733333333335
