,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Random Choice,0.2447914285714286,0.0,0.24371428571428572,0.24506285714285714,0.24483428571428573,0.24513142857142858,0.24513142857142858,0.24513142857142858,0.24513142857142858,0.24506285714285714,0.24513142857142858,0.24506285714285714,0.24346285714285715,0.24506285714285714,0.24513142857142858,0.24469714285714286,0.24570285714285714,0.2437942857142857,0.24441142857142859,0.24506285714285714,0.24446857142857142,0.24450285714285713,0.24561142857142856,0.24428571428571427,0.24445714285714285,0.24450285714285713,0.24441142857142859,0.2445942857142857,0.24448,0.24446857142857142,0.2444457142857143,0.2445142857142857,0.24434285714285714,0.24454857142857142,0.2445142857142857,0.2444,0.24449142857142858,0.2445142857142857,0.24443428571428572,0.24450285714285713,0.24429714285714285,0.24448,0.24409142857142857,0.24450285714285713,0.24443428571428572,0.24430857142857143,0.24430857142857143,0.2444457142857143,0.2444457142857143,0.2445142857142857,0.24454857142857142,0.24422857142857143,0.24458285714285713,0.24462857142857142,0.2444457142857143,0.24449142857142858,0.24486857142857144,0.24454857142857142,0.24448,0.2445257142857143,0.24432,0.24386285714285713,0.2438742857142857,0.24562285714285714,0.2445942857142857
Borda ranking,0.05389371428571428,0.24371428571428572,0.0,0.2015542857142857,0.13214857142857142,0.20041142857142857,0.20041142857142857,0.20041142857142857,0.20041142857142857,0.2015542857142857,0.20041142857142857,0.2015542857142857,0.2464457142857143,0.2015542857142857,0.20041142857142857,0.22906285714285715,0.1833942857142857,0.13142857142857142,0.06176,0.13688,0.054342857142857144,0.05817142857142857,0.15546285714285715,0.054354285714285716,0.05278857142857143,0.05237714285714286,0.05217142857142857,0.15657142857142858,0.053245714285714285,0.054662857142857145,0.03789714285714286,0.05328,0.06388571428571428,0.05161142857142857,0.052354285714285714,0.05422857142857143,0.052571428571428575,0.05328,0.05416,0.052411428571428574,0.05536,0.052617142857142855,0.053874285714285715,0.05180571428571429,0.05196571428571429,0.06317714285714286,0.06317714285714286,0.047542857142857144,0.047542857142857144,0.052514285714285715,0.05817142857142857,0.034274285714285715,0.059725714285714285,0.05897142857142857,0.05496,0.05180571428571429,0.06418285714285714,0.05145142857142857,0.04137142857142857,0.05033142857142857,0.06750857142857143,0.11196571428571428,0.046502857142857144,0.09883428571428571,0.05834285714285714
Plurality ranking,0.17774342857142858,0.24506285714285714,0.2015542857142857,0.0,0.13452571428571428,0.029165714285714284,0.029165714285714284,0.029165714285714284,0.029165714285714284,0.0,0.029165714285714284,0.0,0.24929142857142858,0.0,0.029165714285714284,0.2045942857142857,0.23898285714285714,0.1694857142857143,0.2178057142857143,0.12965714285714286,0.1737942857142857,0.17109714285714286,0.10232,0.18328,0.17613714285714285,0.17610285714285714,0.17618285714285714,0.20248,0.17627428571428572,0.17554285714285714,0.18213714285714286,0.17737142857142857,0.18245714285714285,0.17652571428571429,0.17626285714285714,0.17662857142857144,0.17627428571428572,0.17737142857142857,0.1772,0.1762057142857143,0.17757714285714285,0.1763542857142857,0.17662857142857144,0.1762057142857143,0.17629714285714285,0.18149714285714286,0.18149714285714286,0.17909714285714284,0.17909714285714284,0.17601142857142857,0.16674285714285714,0.1830057142857143,0.16934857142857143,0.1702057142857143,0.17530285714285715,0.1762057142857143,0.15309714285714285,0.17634285714285713,0.1804342857142857,0.17672,0.2025142857142857,0.19413714285714287,0.19181714285714285,0.14797714285714286,0.16902857142857142
STV,0.10422057142857144,0.24483428571428573,0.13214857142857142,0.13452571428571428,0.0,0.13214857142857142,0.13214857142857142,0.13214857142857142,0.13214857142857142,0.13452571428571428,0.13214857142857142,0.13452571428571428,0.2404,0.13452571428571428,0.13214857142857142,0.21248,0.21540571428571428,0.13185142857142856,0.15658285714285713,0.036262857142857145,0.10729142857142857,0.10084571428571429,0.08630857142857143,0.11881142857142857,0.11044571428571429,0.11012571428571429,0.10976,0.18264,0.11094857142857142,0.10868571428571429,0.11042285714285714,0.11206857142857143,0.11790857142857143,0.10984,0.11052571428571428,0.11249142857142858,0.11038857142857143,0.11205714285714286,0.11273142857142857,0.11044571428571429,0.11313142857142858,0.11042285714285714,0.10795428571428571,0.11035428571428571,0.11044571428571429,0.11732571428571428,0.11732571428571428,0.10867428571428571,0.10867428571428571,0.11002285714285714,0.10643428571428572,0.11141714285714285,0.09821714285714286,0.09985142857142858,0.10835428571428571,0.11035428571428571,0.10394285714285714,0.10974857142857143,0.10923428571428571,0.11089142857142857,0.14190857142857144,0.15104,0.12797714285714284,0.07472,0.10116571428571429
Approval Voting (AV),0.1759977142857143,0.24513142857142858,0.20041142857142857,0.029165714285714284,0.13214857142857142,0.0,0.0,0.0,0.0,0.029165714285714284,0.0,0.029165714285714284,0.24061714285714286,0.029165714285714284,0.0,0.20478857142857143,0.24421714285714285,0.16995428571428572,0.21737142857142858,0.1296342857142857,0.17352,0.1703542857142857,0.10491428571428571,0.18290285714285714,0.17597714285714286,0.17582857142857142,0.17592,0.2086742857142857,0.17622857142857143,0.17521142857142857,0.18125714285714287,0.17748571428571427,0.18282285714285715,0.17627428571428572,0.17606857142857144,0.17683428571428572,0.17609142857142857,0.17748571428571427,0.17741714285714286,0.17601142857142857,0.17797714285714286,0.17618285714285714,0.17601142857142857,0.17589714285714286,0.17601142857142857,0.18208,0.18208,0.17827428571428572,0.17827428571428572,0.1757257142857143,0.16722285714285715,0.18216,0.16862857142857143,0.16994285714285715,0.1750057142857143,0.17589714285714286,0.1560342857142857,0.17604571428571428,0.1796457142857143,0.17648,0.20208,0.1973257142857143,0.1909142857142857,0.14714285714285713,0.16824
Proportional Approval Voting (PAV),0.1759977142857143,0.24513142857142858,0.20041142857142857,0.029165714285714284,0.13214857142857142,0.0,0.0,0.0,0.0,0.029165714285714284,0.0,0.029165714285714284,0.24061714285714286,0.029165714285714284,0.0,0.20478857142857143,0.24421714285714285,0.16995428571428572,0.21737142857142858,0.1296342857142857,0.17352,0.1703542857142857,0.10491428571428571,0.18290285714285714,0.17597714285714286,0.17582857142857142,0.17592,0.2086742857142857,0.17622857142857143,0.17521142857142857,0.18125714285714287,0.17748571428571427,0.18282285714285715,0.17627428571428572,0.17606857142857144,0.17683428571428572,0.17609142857142857,0.17748571428571427,0.17741714285714286,0.17601142857142857,0.17797714285714286,0.17618285714285714,0.17601142857142857,0.17589714285714286,0.17601142857142857,0.18208,0.18208,0.17827428571428572,0.17827428571428572,0.1757257142857143,0.16722285714285715,0.18216,0.16862857142857143,0.16994285714285715,0.1750057142857143,0.17589714285714286,0.1560342857142857,0.17604571428571428,0.1796457142857143,0.17648,0.20208,0.1973257142857143,0.1909142857142857,0.14714285714285713,0.16824
Approval Chamberlin-Courant (CC),0.1759977142857143,0.24513142857142858,0.20041142857142857,0.029165714285714284,0.13214857142857142,0.0,0.0,0.0,0.0,0.029165714285714284,0.0,0.029165714285714284,0.24061714285714286,0.029165714285714284,0.0,0.20478857142857143,0.24421714285714285,0.16995428571428572,0.21737142857142858,0.1296342857142857,0.17352,0.1703542857142857,0.10491428571428571,0.18290285714285714,0.17597714285714286,0.17582857142857142,0.17592,0.2086742857142857,0.17622857142857143,0.17521142857142857,0.18125714285714287,0.17748571428571427,0.18282285714285715,0.17627428571428572,0.17606857142857144,0.17683428571428572,0.17609142857142857,0.17748571428571427,0.17741714285714286,0.17601142857142857,0.17797714285714286,0.17618285714285714,0.17601142857142857,0.17589714285714286,0.17601142857142857,0.18208,0.18208,0.17827428571428572,0.17827428571428572,0.1757257142857143,0.16722285714285715,0.18216,0.16862857142857143,0.16994285714285715,0.1750057142857143,0.17589714285714286,0.1560342857142857,0.17604571428571428,0.1796457142857143,0.17648,0.20208,0.1973257142857143,0.1909142857142857,0.14714285714285713,0.16824
Lexicographic Chamberlin-Courant (lex-CC),0.1759977142857143,0.24513142857142858,0.20041142857142857,0.029165714285714284,0.13214857142857142,0.0,0.0,0.0,0.0,0.029165714285714284,0.0,0.029165714285714284,0.24061714285714286,0.029165714285714284,0.0,0.20478857142857143,0.24421714285714285,0.16995428571428572,0.21737142857142858,0.1296342857142857,0.17352,0.1703542857142857,0.10491428571428571,0.18290285714285714,0.17597714285714286,0.17582857142857142,0.17592,0.2086742857142857,0.17622857142857143,0.17521142857142857,0.18125714285714287,0.17748571428571427,0.18282285714285715,0.17627428571428572,0.17606857142857144,0.17683428571428572,0.17609142857142857,0.17748571428571427,0.17741714285714286,0.17601142857142857,0.17797714285714286,0.17618285714285714,0.17601142857142857,0.17589714285714286,0.17601142857142857,0.18208,0.18208,0.17827428571428572,0.17827428571428572,0.1757257142857143,0.16722285714285715,0.18216,0.16862857142857143,0.16994285714285715,0.1750057142857143,0.17589714285714286,0.1560342857142857,0.17604571428571428,0.1796457142857143,0.17648,0.20208,0.1973257142857143,0.1909142857142857,0.14714285714285713,0.16824
Sequential Approval Chamberlin-Courant (seq-CC),0.17774342857142858,0.24506285714285714,0.2015542857142857,0.0,0.13452571428571428,0.029165714285714284,0.029165714285714284,0.029165714285714284,0.029165714285714284,0.0,0.029165714285714284,0.0,0.24929142857142858,0.0,0.029165714285714284,0.2045942857142857,0.23898285714285714,0.1694857142857143,0.2178057142857143,0.12965714285714286,0.1737942857142857,0.17109714285714286,0.10232,0.18328,0.17613714285714285,0.17610285714285714,0.17618285714285714,0.20248,0.17627428571428572,0.17554285714285714,0.18213714285714286,0.17737142857142857,0.18245714285714285,0.17652571428571429,0.17626285714285714,0.17662857142857144,0.17627428571428572,0.17737142857142857,0.1772,0.1762057142857143,0.17757714285714285,0.1763542857142857,0.17662857142857144,0.1762057142857143,0.17629714285714285,0.18149714285714286,0.18149714285714286,0.17909714285714284,0.17909714285714284,0.17601142857142857,0.16674285714285714,0.1830057142857143,0.16934857142857143,0.1702057142857143,0.17530285714285715,0.1762057142857143,0.15309714285714285,0.17634285714285713,0.1804342857142857,0.17672,0.2025142857142857,0.19413714285714287,0.19181714285714285,0.14797714285714286,0.16902857142857142
Monroe's Approval Rule (Monroe),0.1759977142857143,0.24513142857142858,0.20041142857142857,0.029165714285714284,0.13214857142857142,0.0,0.0,0.0,0.0,0.029165714285714284,0.0,0.029165714285714284,0.24061714285714286,0.029165714285714284,0.0,0.20478857142857143,0.24421714285714285,0.16995428571428572,0.21737142857142858,0.1296342857142857,0.17352,0.1703542857142857,0.10491428571428571,0.18290285714285714,0.17597714285714286,0.17582857142857142,0.17592,0.2086742857142857,0.17622857142857143,0.17521142857142857,0.18125714285714287,0.17748571428571427,0.18282285714285715,0.17627428571428572,0.17606857142857144,0.17683428571428572,0.17609142857142857,0.17748571428571427,0.17741714285714286,0.17601142857142857,0.17797714285714286,0.17618285714285714,0.17601142857142857,0.17589714285714286,0.17601142857142857,0.18208,0.18208,0.17827428571428572,0.17827428571428572,0.1757257142857143,0.16722285714285715,0.18216,0.16862857142857143,0.16994285714285715,0.1750057142857143,0.17589714285714286,0.1560342857142857,0.17604571428571428,0.1796457142857143,0.17648,0.20208,0.1973257142857143,0.1909142857142857,0.14714285714285713,0.16824
