,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.48999085714285706,0.0,0.4886857142857143,0.48953142857142856,0.48954285714285717,0.48754285714285717,0.4882057142857143,0.4886628571428571,0.4894742857142857,0.48861714285714286,0.48848,0.48674285714285714,0.4895542857142857,0.4881028571428571,0.48793142857142857,0.4881714285714286
Borda ranking,0.28511714285714285,0.4886857142857143,0.0,0.2960685714285714,0.25688,0.18193142857142858,0.20816,0.3368342857142857,0.2961485714285714,0.308,0.33592,0.2787428571428571,0.4806057142857143,0.21835428571428572,0.1875542857142857,0.44293714285714286
Plurality ranking,0.4013108571428572,0.48953142857142856,0.2960685714285714,0.0,0.18770285714285714,0.35169142857142854,0.35579428571428573,0.41546285714285713,0.39232,0.39289142857142856,0.41497142857142855,0.37872,0.5153371428571428,0.3590857142857143,0.35152,0.4633942857142857
STV,0.34641028571428567,0.48954285714285717,0.25688,0.18770285714285714,0.0,0.29956571428571427,0.30342857142857144,0.36941714285714283,0.34858285714285714,0.3632457142857143,0.36874285714285715,0.3475885714285714,0.4577942857142857,0.3100342857142857,0.30002285714285715,0.4561485714285714
Approval Voting (AV),0.3086628571428572,0.48754285714285717,0.18193142857142858,0.35169142857142854,0.29956571428571427,0.0,0.12422857142857142,0.3037485714285714,0.25808,0.28166857142857143,0.30261714285714286,0.2445142857142857,0.4477942857142857,0.14765714285714285,0.041851428571428574,0.4341942857142857
Proportional Approval Voting (PAV),0.33618057142857144,0.4882057142857143,0.20816,0.35579428571428573,0.30342857142857144,0.12422857142857142,0.0,0.24885714285714286,0.17429714285714284,0.21752,0.24794285714285713,0.20834285714285714,0.45885714285714285,0.07425142857142857,0.10498285714285714,0.4393142857142857
Approval Chamberlin-Courant (CC),0.37935199999999997,0.4886628571428571,0.3368342857142857,0.41546285714285713,0.36941714285714283,0.3037485714285714,0.24885714285714286,0.0,0.11966857142857143,0.25801142857142856,0.0032228571428571428,0.30168,0.40032,0.2586857142857143,0.2950285714285714,0.45702857142857145
Lexicographic Chamberlin-Courant (lex-CC),0.38564228571428566,0.4894742857142857,0.2961485714285714,0.39232,0.34858285714285714,0.25808,0.17429714285714284,0.11966857142857143,0.0,0.1859657142857143,0.12018285714285715,0.24979428571428572,0.4519657142857143,0.18738285714285716,0.24493714285714285,0.4506514285714286
Sequential Approval Chamberlin-Courant (seq-CC),0.420416,0.48861714285714286,0.308,0.39289142857142856,0.3632457142857143,0.28166857142857143,0.21752,0.25801142857142856,0.1859657142857143,0.0,0.25869714285714285,0.22294857142857144,0.5101142857142857,0.18830857142857144,0.26888,0.4539657142857143
Monroe's Approval Rule (Monroe),0.37883142857142854,0.48848,0.33592,0.41497142857142855,0.36874285714285715,0.30261714285714286,0.24794285714285713,0.0032228571428571428,0.12018285714285715,0.25869714285714285,0.0,0.30107428571428574,0.40089142857142857,0.2578628571428571,0.2939085714285714,0.4565828571428571
Greedy Monroe,0.3975645714285715,0.48674285714285714,0.2787428571428571,0.37872,0.3475885714285714,0.2445142857142857,0.20834285714285714,0.30168,0.24979428571428572,0.22294857142857144,0.30107428571428574,0.0,0.5055428571428572,0.19610285714285713,0.2337257142857143,0.44962285714285716
Minimax Approval Voting (MAV),0.24866628571428567,0.4895542857142857,0.4806057142857143,0.5153371428571428,0.4577942857142857,0.4477942857142857,0.45885714285714285,0.40032,0.4519657142857143,0.5101142857142857,0.40089142857142857,0.5055428571428572,0.0,0.4697257142857143,0.4576342857142857,0.4865028571428571
Method of Equal Shares (aka Rule X) with Phragmén phase,0.3469617142857143,0.4881028571428571,0.21835428571428572,0.3590857142857143,0.3100342857142857,0.14765714285714285,0.07425142857142857,0.2586857142857143,0.18738285714285716,0.18830857142857144,0.2578628571428571,0.19610285714285713,0.4697257142857143,0.0,0.13189714285714285,0.44057142857142856
E Pluribus Hugo (EPH),0.3187891428571428,0.48793142857142857,0.1875542857142857,0.35152,0.30002285714285715,0.041851428571428574,0.10498285714285714,0.2950285714285714,0.24493714285714285,0.26888,0.2939085714285714,0.2337257142857143,0.4576342857142857,0.13189714285714285,0.0,0.43586285714285716
Random Serial Dictator,0.4615714285714285,0.4881714285714286,0.44293714285714286,0.4633942857142857,0.4561485714285714,0.4341942857142857,0.4393142857142857,0.45702857142857145,0.4506514285714286,0.4539657142857143,0.4565828571428571,0.44962285714285716,0.4865028571428571,0.44057142857142856,0.43586285714285716,0.0
NN,,0.48999085714285706,0.28511714285714285,0.4013108571428572,0.34641028571428567,0.3086628571428572,0.33618057142857144,0.37935199999999997,0.38564228571428566,0.420416,0.37883142857142854,0.3975645714285715,0.24866628571428567,0.3469617142857143,0.3187891428571428,0.4615714285714285
