,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.4908342857142856,0.0,0.4908342857142857,0.4908342857142857,0.4908342857142857,0.4908342857142857,0.4908342857142857,0.49065142857142857,0.4908342857142857,0.48786285714285715,0.4908342857142857,0.4908342857142857,0.4908342857142857,0.4908342857142857,0.4908342857142857,0.4908342857142857
Borda ranking,0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
STV,0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.4592342857142859,0.49065142857142857,0.4592342857142857,0.4592342857142857,0.4592342857142857,0.4592342857142857,0.4592342857142857,0.0,0.4592342857142857,0.8404228571428571,0.4592342857142857,0.4592342857142857,0.4592342857142857,0.4592342857142857,0.4592342857142857,0.4592342857142857
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.45641142857142847,0.48786285714285715,0.4564114285714286,0.4564114285714286,0.4564114285714286,0.4564114285714286,0.4564114285714286,0.8404228571428571,0.4564114285714286,0.0,0.4564114285714286,0.4564114285714286,0.4564114285714286,0.4564114285714286,0.4564114285714286,0.4564114285714286
Monroe's Approval Rule (Monroe),0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.0,0.4908342857142857,0.0,0.0,0.0,0.0,0.0,0.4592342857142857,0.0,0.4564114285714286,0.0,0.0,0.0,0.0,0.0,0.0
NN,,0.4908342857142856,0.0,0.0,0.0,0.0,0.0,0.4592342857142859,0.0,0.45641142857142847,0.0,0.0,0.0,0.0,0.0,0.0
